window_id,target_name,object_A,object_B,quantile_scheme,fraction_each_tail,high_n,low_n,high_P_A_earlier,high_P_B_earlier,low_P_A_earlier,low_P_B_earlier,high_delta_median,low_delta_median,high_dominant_direction,low_dominant_direction,high_dominant_probability,low_dominant_probability,high_order_level,low_order_level,high_low_reversal_flag
W081,W081_Je_vs_Jw_delta_peak,Je,Jw,tercile,0.3333333333333333,330,330,0.7757575757575758,0.1696969696969697,0.24848484848484848,0.6515151515151515,5.0,-2.0,Je_earlier,Jw_earlier,0.7757575757575758,0.6515151515151515,weak_or_none,weak_or_none,True
W081,W081_Je_vs_Jw_delta_peak,Je,Jw,quartile,0.25,247,247,0.7935222672064778,0.1659919028340081,0.20242914979757085,0.708502024291498,5.0,-2.0,Je_earlier,Jw_earlier,0.7935222672064778,0.708502024291498,weak_or_none,weak_or_none,True
W081,W081_Je_vs_Jw_delta_peak,Je,Jw,quintile,0.2,198,198,0.7676767676767676,0.18181818181818182,0.16666666666666666,0.7575757575757576,6.0,-3.0,Je_earlier,Jw_earlier,0.7676767676767676,0.7575757575757576,weak_or_none,weak_or_none,True
W081,W081_Je_vs_Jw_delta_peak,Je,Jw,decile,0.1,99,99,0.797979797979798,0.16161616161616163,0.1111111111111111,0.8282828282828283,7.0,-4.0,Je_earlier,Jw_earlier,0.797979797979798,0.8282828282828283,weak_or_none,weak_or_none,True
W113,W113_P_vs_V_delta_peak,P,V,tercile,0.3333333333333333,333,333,0.9159159159159159,0.06306306306306306,0.2042042042042042,0.6906906906906907,5.0,-2.0,P_earlier,V_earlier,0.9159159159159159,0.6906906906906907,usable_90,weak_or_none,True
W113,W113_P_vs_V_delta_peak,P,V,quartile,0.25,250,250,0.92,0.064,0.16,0.756,6.0,-2.0,P_earlier,V_earlier,0.92,0.756,usable_90,weak_or_none,True
W113,W113_P_vs_V_delta_peak,P,V,quintile,0.2,200,200,0.935,0.055,0.125,0.82,6.0,-3.0,P_earlier,V_earlier,0.935,0.82,usable_90,weak_or_none,True
W113,W113_P_vs_V_delta_peak,P,V,decile,0.1,100,100,0.92,0.07,0.03,0.94,8.0,-4.0,P_earlier,V_earlier,0.92,0.94,usable_90,usable_90,True
W113,W113_P_vs_H_delta_peak,P,H,tercile,0.3333333333333333,333,333,0.9429429429429429,0.04804804804804805,0.35735735735735735,0.4264264264264264,4.0,0.0,P_earlier,H_earlier,0.9429429429429429,0.4264264264264264,usable_90,weak_or_none,True
W113,W113_P_vs_H_delta_peak,P,H,quartile,0.25,250,250,0.936,0.052,0.292,0.512,4.0,-1.0,P_earlier,H_earlier,0.936,0.512,usable_90,weak_or_none,True
W113,W113_P_vs_H_delta_peak,P,H,quintile,0.2,200,200,0.94,0.05,0.22,0.58,5.0,-1.0,P_earlier,H_earlier,0.94,0.58,usable_90,weak_or_none,True
W113,W113_P_vs_H_delta_peak,P,H,decile,0.1,100,100,0.96,0.04,0.1,0.74,6.0,-1.0,P_earlier,H_earlier,0.96,0.74,credible_95,weak_or_none,True
W113,W113_P_vs_Je_delta_peak,P,Je,tercile,0.3333333333333333,333,333,0.39039039039039036,0.43843843843843844,0.06606606606606606,0.8708708708708709,0.0,-4.0,Je_earlier,Je_earlier,0.43843843843843844,0.8708708708708709,weak_or_none,weak_or_none,False
W113,W113_P_vs_Je_delta_peak,P,Je,quartile,0.25,249,249,0.42971887550200805,0.39759036144578314,0.05622489959839357,0.8875502008032129,0.0,-4.0,P_earlier,Je_earlier,0.42971887550200805,0.8875502008032129,weak_or_none,weak_or_none,True
W113,W113_P_vs_Je_delta_peak,P,Je,quintile,0.2,199,199,0.4723618090452261,0.35175879396984927,0.06030150753768844,0.8944723618090452,0.0,-5.0,P_earlier,Je_earlier,0.4723618090452261,0.8944723618090452,weak_or_none,weak_or_none,True
