window,source_index,target_index,family_direction,v1_status,failure_reason,evidence_tier,v1_stability_judgement,observed_stat_recomputed,observed_lag_recomputed,p_pos_surrogate_existing,p_pos_surrogate_recomputed,abs_diff,same_decision_at_005,same_decision_at_010,match_class,n_surrogate_valid
T3,P_main_band_share,V_strength,P→V,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.0827450615978013,5,0.6233766233766234,0.9590409590409591,0.33566433566433573,True,True,good_match,1000
T3,P_main_band_share,V_NS_diff,P→V,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.17978237490012455,1,0.2027972027972027,0.48951048951048953,0.28671328671328683,True,True,good_match,1000
T3,P_main_band_share,H_west_extent_lon,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.09670363495055054,5,0.4515484515484515,0.8101898101898102,0.35864135864135865,True,True,good_match,1000
T3,P_main_band_share,H_zonal_width,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.09622965691169014,1,0.2627372627372627,0.4225774225774226,0.15984015984015987,True,True,good_match,1000
T3,P_main_band_share,Je_strength,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.10016656418307039,5,0.5284715284715285,0.926073926073926,0.3976023976023976,True,True,good_match,1000
T3,P_main_band_share,Je_meridional_width,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.025536490253871256,1,0.8331668331668332,0.985014985014985,0.1518481518481518,True,True,good_match,1000
T3,P_main_band_share,Jw_meridional_width,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.025685276755751597,4,0.9110889110889112,0.998001998001998,0.08691308691308675,True,True,good_match,1000
T3,P_south_band_share_18_24,V_strength,P→V,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.03401753874512053,5,0.91008991008991,0.999000999000999,0.08891108891108901,True,True,good_match,1000
T3,P_south_band_share_18_24,V_NS_diff,P→V,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.18528749248523704,1,0.1808191808191808,0.43356643356643354,0.25274725274725274,True,True,good_match,1000
T3,P_south_band_share_18_24,H_strength,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.12034336074678657,1,0.4225774225774226,0.8441558441558441,0.4215784215784215,True,True,good_match,1000
T3,P_south_band_share_18_24,H_west_extent_lon,P→H,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.09129958852776905,1,0.5004995004995005,0.8271728271728271,0.3266733266733266,True,True,good_match,1000
T3,P_south_band_share_18_24,Je_strength,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.16149785873253153,1,0.2507492507492507,0.5794205794205795,0.32867132867132876,True,True,good_match,1000
T3,P_south_band_share_18_24,Je_meridional_width,P→Je,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.03707774131353417,5,0.6513486513486514,0.936063936063936,0.2847152847152846,True,True,good_match,1000
T3,P_south_band_share_18_24,Jw_strength,P→Jw,positive_lag_not_supported,positive_lag_not_supported,Tier5a_no_not_supported,not_supported,0.09920786732694448,4,0.5314685314685315,0.9230769230769231,0.39160839160839167,True,True,good_match,1000
