object_name,cube_shape,lat_grid_min,lat_grid_max,n_lat_features,lon_range,lat_range
P,45x183x13,15.0,39.0,13,"(105.0, 125.0)","(15.0, 39.0)"
V,45x183x11,10.0,30.0,11,"(105.0, 125.0)","(10.0, 30.0)"
H,45x183x11,15.0,35.0,11,"(110.0, 140.0)","(15.0, 35.0)"
Je,45x183x11,25.0,45.0,11,"(120.0, 150.0)","(25.0, 45.0)"
Jw,45x183x11,25.0,45.0,11,"(80.0, 110.0)","(25.0, 45.0)"
