object_name,lat_feature_index,lat_value,nan_fraction,finite_fraction,all_nan_any_day,all_nan_all_days
P,0,15.0,0.04371584699453552,0.9562841530054644,True,False
P,1,17.0,0.04371584699453552,0.9562841530054644,True,False
P,2,19.0,0.04371584699453552,0.9562841530054644,True,False
P,3,21.0,0.04371584699453552,0.9562841530054644,True,False
P,4,23.0,0.04371584699453552,0.9562841530054644,True,False
P,5,25.0,0.04371584699453552,0.9562841530054644,True,False
P,6,27.0,0.04371584699453552,0.9562841530054644,True,False
P,7,29.0,0.04371584699453552,0.9562841530054644,True,False
P,8,31.0,0.04371584699453552,0.9562841530054644,True,False
P,9,33.0,0.04371584699453552,0.9562841530054644,True,False
P,10,35.0,0.04371584699453552,0.9562841530054644,True,False
P,11,37.0,0.04371584699453552,0.9562841530054644,True,False
P,12,39.0,0.04371584699453552,0.9562841530054644,True,False
V,0,10.0,0.04371584699453552,0.9562841530054644,True,False
V,1,12.0,0.04371584699453552,0.9562841530054644,True,False
V,2,14.0,0.04371584699453552,0.9562841530054644,True,False
V,3,16.0,0.04371584699453552,0.9562841530054644,True,False
V,4,18.0,0.04371584699453552,0.9562841530054644,True,False
V,5,20.0,0.04371584699453552,0.9562841530054644,True,False
V,6,22.0,0.04371584699453552,0.9562841530054644,True,False
V,7,24.0,0.04371584699453552,0.9562841530054644,True,False
V,8,26.0,0.04371584699453552,0.9562841530054644,True,False
V,9,28.0,0.04371584699453552,0.9562841530054644,True,False
V,10,30.0,0.04371584699453552,0.9562841530054644,True,False
H,0,15.0,0.04371584699453552,0.9562841530054644,True,False
H,1,17.0,0.04371584699453552,0.9562841530054644,True,False
H,2,19.0,0.04371584699453552,0.9562841530054644,True,False
H,3,21.0,0.04371584699453552,0.9562841530054644,True,False
H,4,23.0,0.04371584699453552,0.9562841530054644,True,False
H,5,25.0,0.04371584699453552,0.9562841530054644,True,False
H,6,27.0,0.04371584699453552,0.9562841530054644,True,False
H,7,29.0,0.04371584699453552,0.9562841530054644,True,False
H,8,31.0,0.04371584699453552,0.9562841530054644,True,False
H,9,33.0,0.04371584699453552,0.9562841530054644,True,False
H,10,35.0,0.04371584699453552,0.9562841530054644,True,False
Je,0,25.0,0.04371584699453552,0.9562841530054644,True,False
Je,1,27.0,0.04371584699453552,0.9562841530054644,True,False
Je,2,29.0,0.04371584699453552,0.9562841530054644,True,False
Je,3,31.0,0.04371584699453552,0.9562841530054644,True,False
Je,4,33.0,0.04371584699453552,0.9562841530054644,True,False
Je,5,35.0,0.04371584699453552,0.9562841530054644,True,False
Je,6,37.0,0.04371584699453552,0.9562841530054644,True,False
Je,7,39.0,0.04371584699453552,0.9562841530054644,True,False
Je,8,41.0,0.04371584699453552,0.9562841530054644,True,False
Je,9,43.0,0.04371584699453552,0.9562841530054644,True,False
Je,10,45.0,0.04371584699453552,0.9562841530054644,True,False
Jw,0,25.0,0.04371584699453552,0.9562841530054644,True,False
Jw,1,27.0,0.04371584699453552,0.9562841530054644,True,False
Jw,2,29.0,0.04371584699453552,0.9562841530054644,True,False
Jw,3,31.0,0.04371584699453552,0.9562841530054644,True,False
Jw,4,33.0,0.04371584699453552,0.9562841530054644,True,False
Jw,5,35.0,0.04371584699453552,0.9562841530054644,True,False
Jw,6,37.0,0.04371584699453552,0.9562841530054644,True,False
Jw,7,39.0,0.04371584699453552,0.9562841530054644,True,False
Jw,8,41.0,0.04371584699453552,0.9562841530054644,True,False
Jw,9,43.0,0.04371584699453552,0.9562841530054644,True,False
Jw,10,45.0,0.04371584699453552,0.9562841530054644,True,False
