feature_index,object_name,lat_value,n_invalid_days
0,P,15.0,8
1,P,17.0,8
2,P,19.0,8
3,P,21.0,8
4,P,23.0,8
5,P,25.0,8
6,P,27.0,8
7,P,29.0,8
8,P,31.0,8
9,P,33.0,8
10,P,35.0,8
11,P,37.0,8
12,P,39.0,8
13,V,10.0,8
14,V,12.0,8
15,V,14.0,8
16,V,16.0,8
17,V,18.0,8
18,V,20.0,8
19,V,22.0,8
20,V,24.0,8
21,V,26.0,8
22,V,28.0,8
23,V,30.0,8
24,H,15.0,8
25,H,17.0,8
26,H,19.0,8
27,H,21.0,8
28,H,23.0,8
29,H,25.0,8
30,H,27.0,8
31,H,29.0,8
32,H,31.0,8
33,H,33.0,8
34,H,35.0,8
35,Je,25.0,8
36,Je,27.0,8
37,Je,29.0,8
38,Je,31.0,8
39,Je,33.0,8
40,Je,35.0,8
41,Je,37.0,8
42,Je,39.0,8
43,Je,41.0,8
44,Je,43.0,8
45,Je,45.0,8
46,Jw,25.0,8
47,Jw,27.0,8
48,Jw,29.0,8
49,Jw,31.0,8
50,Jw,33.0,8
51,Jw,35.0,8
52,Jw,37.0,8
53,Jw,39.0,8
54,Jw,41.0,8
55,Jw,43.0,8
56,Jw,45.0,8
