candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days
CP001,18,0.582,0.745,0.025,0.23,3.9623212840330275,2.0
CP002,45,0.901,0.993,0.006,0.001,6.509541424571214,1.0
CP003,81,0.574,0.951,0.043,0.006,10.602442900771202,2.0
CP004,96,0.551,0.807,0.041,0.152,8.365785708333403,2.0
CP005,113,0.814,0.987,0.005,0.008,10.551466230461433,1.0
CP006,132,0.467,0.899,0.082,0.019,5.152466035000627,3.0
CP007,135,0.485,0.854,0.133,0.013,5.1328621956521285,3.0
CP008,160,0.7,0.962,0.029,0.009,8.207705103010262,2.0
