feature_index,object_name,lat_value
0,P,15.0
1,P,17.0
2,P,19.0
3,P,21.0
4,P,23.0
5,P,25.0
6,P,27.0
7,P,29.0
8,P,31.0
9,P,33.0
10,P,35.0
11,P,37.0
12,P,39.0
13,V,10.0
14,V,12.0
15,V,14.0
16,V,16.0
17,V,18.0
18,V,20.0
19,V,22.0
20,V,24.0
21,V,26.0
22,V,28.0
23,V,30.0
24,H,15.0
25,H,17.0
26,H,19.0
27,H,21.0
28,H,23.0
29,H,25.0
30,H,27.0
31,H,29.0
32,H,31.0
33,H,33.0
34,H,35.0
35,Je,25.0
36,Je,27.0
37,Je,29.0
38,Je,31.0
39,Je,33.0
40,Je,35.0
41,Je,37.0
42,Je,39.0
43,Je,41.0
44,Je,43.0
45,Je,45.0
46,Jw,25.0
47,Jw,27.0
48,Jw,29.0
49,Jw,31.0
50,Jw,33.0
51,Jw,35.0
52,Jw,37.0
53,Jw,39.0
54,Jw,41.0
55,Jw,43.0
56,Jw,45.0
