window_id,object_A,object_B,baseline,branch,initial_leader,final_leader,crossing_count,crossing_days,A_ahead_then_B_catchup,B_ahead_then_A_catchup,persistent_A_ahead,persistent_B_ahead,state_relation_type
W045,P,V,C0_full_stage,dist,B,A,7,16;18;20;22;39;63;65,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,H,C0_full_stage,dist,B,B,6,19;23;45;55;65;68,False,False,False,False,multiple_crossings
W045,P,Je,C0_full_stage,dist,B,A,7,20;23;44;56;66;68;72,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,Jw,C0_full_stage,dist,B,A,7,16;23;39;56;66;68;71,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,V,H,C0_full_stage,dist,B,B,6,19;21;22;25;64;65,False,False,False,False,multiple_crossings
W045,V,Je,C0_full_stage,dist,B,B,6,19;21;22;26;50;53,False,False,False,False,multiple_crossings
W045,V,Jw,C0_full_stage,dist,B,B,8,9;16;18;25;30;39;40;53,False,False,False,False,multiple_crossings
W045,H,Je,C0_full_stage,dist,A,A,6,16;22;32;34;63;67,False,False,False,False,multiple_crossings
W045,H,Jw,C0_full_stage,dist,A,A,4,20;21;63;67,False,False,False,False,multiple_crossings
W045,Je,Jw,C0_full_stage,dist,A,A,8,23;27;53;54;58;64;66;70,False,False,False,False,multiple_crossings
W045,P,V,C0_full_stage,pattern,B,A,5,17;18;24;52;67,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,H,C0_full_stage,pattern,A,B,5,18;25;34;45;64,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,P,Je,C0_full_stage,pattern,A,B,5,20;24;30;46;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,P,Jw,C0_full_stage,pattern,B,B,6,11;19;23;33;43;59,False,False,False,False,multiple_crossings
W045,V,H,C0_full_stage,pattern,A,B,5,18;21;22;47;64,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,V,Je,C0_full_stage,pattern,A,B,5,21;24;25;47;63,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,V,Jw,C0_full_stage,pattern,A,B,3,32;47;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,H,Je,C0_full_stage,pattern,A,A,4,21;24;28;68,False,False,False,False,multiple_crossings
W045,H,Jw,C0_full_stage,pattern,B,A,5,13;32;40;47;66,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,Je,Jw,C0_full_stage,pattern,B,A,3,20;47;65,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,V,C1_buffered_stage,dist,B,A,7,16;18;21;23;39;62;64,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,H,C1_buffered_stage,dist,B,B,4,18;21;45;56,False,False,False,False,multiple_crossings
W045,P,Je,C1_buffered_stage,dist,B,B,4,19;22;44;56,False,False,False,False,multiple_crossings
W045,P,Jw,C1_buffered_stage,dist,B,A,7,16;18;19;22;39;58;73,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,V,H,C1_buffered_stage,dist,B,B,4,18;21;48;54,False,False,False,False,multiple_crossings
W045,V,Je,C1_buffered_stage,dist,B,B,6,9;11;18;21;49;54,False,False,False,False,multiple_crossings
W045,V,Jw,C1_buffered_stage,dist,B,B,8,9;16;17;21;30;38;40;54,False,False,False,False,multiple_crossings
W045,H,Je,C1_buffered_stage,dist,A,A,8,15;20;32;34;48;49;64;65,False,False,False,False,multiple_crossings
W045,H,Jw,C1_buffered_stage,dist,A,A,2,18;20,False,False,False,False,multiple_crossings
W045,Je,Jw,C1_buffered_stage,dist,A,A,8,5;9;19;21;58;63;67;70,False,False,False,False,multiple_crossings
W045,P,V,C1_buffered_stage,pattern,B,A,7,16;19;24;54;56;57;63,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,H,C1_buffered_stage,pattern,A,B,9,11;12;13;15;18;27;33;45;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,P,Je,C1_buffered_stage,pattern,A,B,3,19;46;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,P,Jw,C1_buffered_stage,pattern,B,B,6,13;18;24;33;43;60,False,False,False,False,multiple_crossings
W045,V,H,C1_buffered_stage,pattern,A,B,3,17;47;63,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,V,Je,C1_buffered_stage,pattern,A,B,3,19;47;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,V,Jw,C1_buffered_stage,pattern,A,B,9,5;6;18;21;25;27;28;47;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,H,Je,C1_buffered_stage,pattern,A,A,4,20;58;60;64,False,False,False,False,multiple_crossings
W045,H,Jw,C1_buffered_stage,pattern,B,A,5,13;32;39;47;64,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,Je,Jw,C1_buffered_stage,pattern,B,A,3,20;48;65,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,V,C2_immediate_pre,dist,B,A,5,29;30;34;63;64,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,H,C2_immediate_pre,dist,B,B,4,29;31;43;58,False,False,False,False,multiple_crossings
W045,P,Je,C2_immediate_pre,dist,B,A,7,29;30;42;59;66;69;71,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,Jw,C2_immediate_pre,dist,B,A,5,25;32;34;59;72,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,V,H,C2_immediate_pre,dist,B,B,6,23;26;27;32;45;55,False,False,False,False,multiple_crossings
W045,V,Je,C2_immediate_pre,dist,B,B,6,28;29;30;32;45;55,False,False,False,False,multiple_crossings
W045,V,Jw,C2_immediate_pre,dist,B,B,8,9;16;21;29;30;38;41;55,False,False,False,False,multiple_crossings
W045,H,Je,C2_immediate_pre,dist,A,A,6,17;36;46;50;63;66,False,False,False,False,multiple_crossings
W045,H,Jw,C2_immediate_pre,dist,A,A,8,29;30;48;56;59;62;63;67,False,False,False,False,multiple_crossings
W045,Je,Jw,C2_immediate_pre,dist,A,B,3,49;64;65,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,P,V,C2_immediate_pre,pattern,B,A,5,28;31;35;57;63,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,P,H,C2_immediate_pre,pattern,A,B,11,7;9;11;12;13;15;17;28;33;45;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,P,Je,C2_immediate_pre,pattern,A,B,3,31;45;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,P,Jw,C2_immediate_pre,pattern,B,B,4,25;31;43;60,False,False,False,False,multiple_crossings
W045,V,H,C2_immediate_pre,pattern,A,B,7,25;27;28;30;33;47;63,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,V,Je,C2_immediate_pre,pattern,A,B,3,31;47;63,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,V,Jw,C2_immediate_pre,pattern,A,B,3,32;47;62,True,False,False,False,A_ahead_then_B_catchup_or_reversal
W045,H,Je,C2_immediate_pre,pattern,A,A,6,31;46;50;57;62;63,False,False,False,False,multiple_crossings
W045,H,Jw,C2_immediate_pre,pattern,B,A,5,21;31;39;47;64,False,True,False,False,B_ahead_then_A_catchup_or_reversal
W045,Je,Jw,C2_immediate_pre,pattern,B,A,3,31;47;65,False,True,False,False,B_ahead_then_A_catchup_or_reversal
