object,baseline_config,pre_start,pre_end,post_start,post_end,pattern_dynamic_range,pattern_branch_valid,Rdiff_pre_mean,Rdiff_post_mean
P,C0_full_stage,0,39,49,74,0.4175008204719022,True,-0.20776746659863776,0.2097333538732644
P,C1_buffered_stage,0,34,54,69,0.4337346491213188,True,-0.21616280340229502,0.2175718457190238
P,C2_immediate_pre,25,34,54,69,0.33177452313793954,True,-0.1657334055755609,0.1660411175623786
V,C0_full_stage,0,39,49,74,0.449685163053368,True,-0.21940490155991182,0.23028026149345615
V,C1_buffered_stage,0,34,54,69,0.5082689779557676,True,-0.2521309089181434,0.2561380690376243
V,C2_immediate_pre,25,34,54,69,0.5229753576374743,True,-0.259481314255546,0.2634940433819283
H,C0_full_stage,0,39,49,74,0.009789116139862327,True,-0.00464174459897536,0.005147371540886967
H,C1_buffered_stage,0,34,54,69,0.009777185621311704,True,-0.004792305845470044,0.004984879775841659
H,C2_immediate_pre,25,34,54,69,0.007742278906888447,True,-0.00383183018033999,0.003910448726548457
Je,C0_full_stage,0,39,49,74,0.4637350171696859,True,-0.21690027980037577,0.24683473736931014
Je,C1_buffered_stage,0,34,54,69,0.5967455928836798,True,-0.28264492038112127,0.3141006725025585
Je,C2_immediate_pre,25,34,54,69,0.23970310100197922,True,-0.11765085557782942,0.1220522454241498
Jw,C0_full_stage,0,39,49,74,2.8022705279948834,True,-1.3034321083624616,1.4988384196324216
Jw,C1_buffered_stage,0,34,54,69,3.0572879628533283,True,-1.4943590857525144,1.5629288771008136
Jw,C2_immediate_pre,25,34,54,69,2.7535976176195245,True,-1.3366743390893172,1.416923278530207
