window_id,object_A,object_B,baseline,branch,range_name,range_start,range_end,mean_delta_observed,area_A_ahead_observed,area_B_ahead_observed,area_balance_observed,duration_A_ahead,duration_B_ahead,crossing_count_full,crossing_days_full,initial_leader_full,final_leader_full,mean_delta_median,mean_delta_q025,mean_delta_q975,P_A_ahead_mean,P_B_ahead_mean,mean_delta_decision,area_balance_median,area_balance_q025,area_balance_q975,P_A_ahead_area,P_B_ahead_area,area_balance_decision,state_progress_decision
W045,P,V,C0_full_stage,dist,full_analysis,0,74,0.022514735412059506,3.1748736568844924,1.5763274426282678,1.5985462142562246,38,33,7,16;18;20;22;39;63;65,B,A,0.00951732796382403,-0.034454665464587905,0.046877355894562496,0.663,0.337,unresolved,0.675730285431506,-2.446281247985741,3.328292268513937,0.663,0.337,unresolved,unresolved
W045,P,V,C0_full_stage,dist,early,30,39,-0.05818608687878235,0.013833781046087401,0.595694649833911,-0.5818608687878235,1,9,7,16;18;20;22;39;63;65,B,A,-0.05447763833011102,-0.1579737992368881,0.0393281585038121,0.147,0.853,B_direction_tendency,-0.5447763833011102,-1.579737992368881,0.3932815850381211,0.147,0.853,B_direction_tendency,B_direction_tendency
W045,P,V,C0_full_stage,dist,core,40,45,0.10390893646175177,0.6234536187705106,0.0,0.6234536187705106,6,0,7,16;18;20;22;39;63;65,B,A,0.09260828165215465,-0.07974908316117085,0.2458058442812383,0.83,0.17,A_direction_tendency,0.555649689912928,-0.4784944989670252,1.4748350656874296,0.83,0.17,A_direction_tendency,A_direction_tendency
W045,P,V,C0_full_stage,dist,late,46,53,0.11519060367960061,0.9215248294368049,0.0,0.9215248294368049,8,0,7,16;18;20;22;39;63;65,B,A,0.08762318044176805,-0.046720567116566615,0.17990174642064363,0.904,0.096,A_direction_tendency,0.7009854435341444,-0.3737645369325329,1.439213971365149,0.904,0.096,A_direction_tendency,A_direction_tendency
W045,P,V,C0_full_stage,dist,system_window,40,48,0.11728621150400935,1.055575903536084,0.0,1.055575903536084,9,0,7,16;18;20;22;39;63;65,B,A,0.09956439921102614,-0.0593648312623231,0.23346866254346868,0.873,0.127,A_direction_tendency,0.8960795928992352,-0.5342834813609079,2.101217962891218,0.873,0.127,A_direction_tendency,A_direction_tendency
W045,P,V,C0_full_stage,dist,pre_anchor,30,45,0.002599546873917946,0.637287399816598,0.595694649833911,0.04159274998268703,7,9,7,16;18;20;22;39;63;65,B,A,0.0007489810803725482,-0.11134122033755431,0.10086068514991904,0.505,0.495,unresolved,0.011983697285960826,-1.781459525400869,1.6137709623987047,0.505,0.495,unresolved,unresolved
W045,P,V,C0_full_stage,dist,post_anchor,46,53,0.11519060367960061,0.9215248294368049,0.0,0.9215248294368049,8,0,7,16;18;20;22;39;63;65,B,A,0.08762318044176805,-0.046720567116566615,0.17990174642064363,0.904,0.096,A_direction_tendency,0.7009854435341444,-0.3737645369325329,1.439213971365149,0.904,0.096,A_direction_tendency,A_direction_tendency
W045,P,H,C0_full_stage,dist,full_analysis,0,74,-0.07065574236547195,0.9283630638336444,5.9449207717821535,-5.016557707948509,17,54,6,19;23;45;55;65;68,B,B,-0.07452757473766553,-0.1213494414184649,-0.038309617702767196,0.0,1.0,B_direction_supported,-5.29145780637425,-8.615810340711006,-2.7199828568964715,0.0,1.0,B_direction_supported,B_direction_supported
W045,P,H,C0_full_stage,dist,early,30,39,-0.2422853857775272,0.0,2.422853857775272,-2.422853857775272,0,10,6,19;23;45;55;65;68,B,B,-0.2327461512066623,-0.3636567659231788,-0.10134593878559844,0.0,1.0,B_direction_supported,-2.3274615120666233,-3.636567659231788,-1.0134593878559846,0.0,1.0,B_direction_supported,B_direction_supported
W045,P,H,C0_full_stage,dist,core,40,45,-0.10675136968475513,0.03219593293417178,0.6727041510427025,-0.6405082181085308,1,5,6,19;23;45;55;65;68,B,B,-0.1062872422894015,-0.3318652347358581,0.07648197294993872,0.139,0.861,B_direction_tendency,-0.637723453736409,-1.9911914084151487,0.4588918376996323,0.139,0.861,B_direction_tendency,B_direction_tendency
