window_id,object,baseline,branch,positive_area_observed,negative_area_observed,negative_ratio_observed,net_change_observed,gross_change_observed,efficiency_observed,observed_negative_intervals,negative_area_median,negative_area_q025,negative_area_q975,P_negative_area_gt0,negative_area_observed_P_negative,negative_area_decision,negative_ratio_median,negative_ratio_q025,negative_ratio_q975,negative_ratio_observed_P_positive,negative_ratio_observed_P_negative,negative_ratio_observed_decision,negative_growth_decision
W045,H,C0_full_stage,dist,0.982042736495172,0.4292242236634655,0.3041410560729186,0.5528185128317064,1.4112669601586376,0.3917178878541627,5-8;11-20;44-47;63-74,0.4368118696483224,0.3633193418227048,0.5772253478469812,1.0,0.0,A_direction_supported,0.30649073698106954,0.2728466023954909,0.3464633674814918,1.0,0.0,A_direction_supported,negative_growth_supported
W045,H,C0_full_stage,pattern,2.4575504608368828,0.3279998402187836,0.11775046391891698,2.129550620618099,2.7855503010556664,0.7644990721621661,15-16;25-31;44-50;60-61,0.5310634072477404,0.23673700033846257,1.0140993664940743,1.0,0.0,A_direction_supported,0.16696202318322395,0.09706951317470944,0.23232130986068336,1.0,0.0,A_direction_supported,negative_growth_supported
W045,H,C1_buffered_stage,dist,0.9843607141839109,0.38523920055574223,0.28127863941125625,0.5991215136281688,1.3695999147396531,0.43744272117748756,5-8;11-19;44-47;63-74,0.40404207611324666,0.3239250989156361,0.5399379804162889,1.0,0.0,A_direction_supported,0.28776189447408357,0.24848563490583273,0.3319253255369823,1.0,0.0,A_direction_supported,negative_growth_supported
W045,H,C1_buffered_stage,pattern,2.4630816655207974,0.32694128239904385,0.11718229150867795,2.1361403831217536,2.7900229479198413,0.7656354169826441,15-16;25-31;44-50;60-61,0.5250658479251438,0.23520303248056515,1.0507478320791865,1.0,0.0,A_direction_supported,0.16587809945516882,0.09645952526327801,0.23037367836109798,1.0,0.0,A_direction_supported,negative_growth_supported
W045,H,C2_immediate_pre,dist,0.9877206158661348,0.56093659214609,0.3622083629895598,0.42678402372004476,1.5486572080122247,0.27558327402088056,5-8;11-29;44-47;63-74,0.5846436017669062,0.47081147288868463,0.7962814884265802,1.0,0.0,A_direction_supported,0.3663772668487506,0.32517152699179136,0.40940238182732286,1.0,0.0,A_direction_supported,negative_growth_supported
W045,H,C2_immediate_pre,pattern,2.7379656902681226,0.3586571949946934,0.11582204494502195,2.3793084952734294,3.096622885262816,0.7683559101099562,15-16;25-31;44-50;60-61,0.575334498379213,0.254600291027351,1.2001973425814445,1.0,0.0,A_direction_supported,0.16406640278901857,0.09262491169404341,0.23003920760839788,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Je,C0_full_stage,dist,0.9122336708584213,0.3750705487070578,0.2913612361448332,0.5371631221513634,1.2873042195654791,0.41727752771033344,5-8;11-23;64-74,0.3777687448587182,0.3173360882667346,0.4447117075946709,1.0,0.0,A_direction_supported,0.29266735408391925,0.26176741610872273,0.32199071553365194,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Je,C0_full_stage,pattern,2.3727755125416694,0.4968503067231771,0.17314114731880356,1.8759252058184925,2.8696258192648463,0.653717705362393,10-12;23-26;40-49;56-58,0.7150455925166055,0.32392634079776783,1.3735039702148761,1.0,0.0,A_direction_supported,0.21505752708742043,0.1340140791742912,0.28505281466876853,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Je,C1_buffered_stage,dist,0.9371675928857257,0.3621372298567277,0.27871614383171583,0.575030363028998,1.2993048227424535,0.4425677123365683,5-19;63-74,0.3616829965658826,0.29214930554997065,0.4246300688217814,1.0,0.0,A_direction_supported,0.27951252327630516,0.24224451223125898,0.3110590246056428,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Je,C1_buffered_stage,pattern,2.0561783483185474,0.4261712507680504,0.17168059282417908,1.630007097550497,2.482349599086598,0.6566388143516418,10-12;23-26;40-49;56-58,0.6128176277054685,0.28370906252031775,1.1465575432862498,1.0,0.0,A_direction_supported,0.21389388685243133,0.1327105593962202,0.2835072739036059,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Je,C2_immediate_pre,dist,0.8997843742453855,0.5027764902429782,0.3584703544586528,0.3970078840024073,1.4025608644883638,0.2830592910826944,5-7;11-29;64-74,0.5097578956998314,0.4301268429571437,0.5886533621859195,1.0,0.0,A_direction_supported,0.3605087580146521,0.32533196557782557,0.38942761990784064,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Je,C2_immediate_pre,pattern,3.1506657330361634,0.6635456935377939,0.17396667864681303,2.48712003949837,3.8142114265739573,0.652066642706374,10-11;23-26;40-49;56-58,0.9517216881395818,0.3981674955729939,2.1424072809263044,1.0,0.0,A_direction_supported,0.21550426383987661,0.13414217177218454,0.28583226255058525,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Jw,C0_full_stage,dist,0.9479433355654865,0.40275477851571534,0.2981826762893536,0.5451885570497711,1.3506981140812018,0.40363464742129285,6-20;63-74,0.3713770667080856,0.3028322355949691,0.44006128796673966,1.0,0.0,A_direction_supported,0.28911401530489944,0.25286764634833037,0.3228402673452868,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Jw,C0_full_stage,pattern,1.215533834691166,0.058458048208756185,0.04588573050849518,1.1570757864824095,1.2739918828999222,0.9082285389830094,5-5;9-16;23-25;28-28,0.11645257088189596,0.03598458161960171,0.3171332542331784,1.0,0.0,A_direction_supported,0.08297122432153897,0.028486024600878682,0.1696966058484306,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Jw,C1_buffered_stage,dist,0.9377531050068858,0.3691856123244438,0.28248119627084967,0.5685674926824421,1.3069387173313296,0.4350376074583008,6-17;63-74,0.35743709643961474,0.29586101427009726,0.4267349685512838,1.0,0.0,A_direction_supported,0.2799181557019135,0.2444272411360131,0.3149442645780835,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Jw,C1_buffered_stage,pattern,1.1281159406290384,0.05645652246244515,0.04765983021005365,1.0716594181665933,1.1845724630914836,0.9046803395798927,5-5;9-16;23-25;28-28,0.11232697636389755,0.034121082597342166,0.29405925219407886,1.0,0.0,A_direction_supported,0.08607811887694067,0.02988974776615401,0.1742244284309112,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Jw,C2_immediate_pre,dist,0.9534927529992383,0.5205355893415055,0.35313811436956466,0.43295716365773274,1.4740283423407439,0.29372377126087046,6-29;63-74,0.5095804088844894,0.43479116530432477,0.5838925515265061,1.0,0.0,A_direction_supported,0.3523978126905861,0.31639190519505356,0.38251096466670753,1.0,0.0,A_direction_supported,negative_growth_supported
W045,Jw,C2_immediate_pre,pattern,1.1913148239774225,0.060992888910859515,0.048704394521524974,1.1303219350665632,1.252307712888282,0.9025912109569502,5-5;9-16;23-28,0.12058202082005608,0.033446348649451965,0.31729807118682635,1.0,0.0,A_direction_supported,0.0883764351341709,0.026301372076466784,0.17471036766590006,1.0,0.0,A_direction_supported,negative_growth_supported
W045,P,C0_full_stage,dist,1.0107474272454957,0.3828165361308044,0.2747032401751577,0.6279308911146912,1.3935639633763002,0.4505935196496846,5-8;11-18;21-23;26-26;49-49;53-56;59-60;65-74,0.4043643098601145,0.3069188336821638,0.5285338999996303,1.0,0.0,A_direction_supported,0.2876430302869951,0.24512130520743455,0.33128246703950964,1.0,0.0,A_direction_supported,negative_growth_supported
W045,P,C0_full_stage,pattern,1.6988582515786657,0.7968340058506568,0.31928375923697916,0.902024245728009,2.4956922574293223,0.36143248152604174,5-7;17-20;30-33;50-64;68-74,1.1721057542375752,0.7215642181326527,1.8876972983866458,1.0,0.0,A_direction_supported,0.36349742169646737,0.27913168460781107,0.43017413229824686,1.0,0.0,A_direction_supported,negative_growth_supported
W045,P,C1_buffered_stage,dist,1.0274176369593193,0.38247302627748214,0.27127850141188076,0.6449446106818371,1.4098906632368013,0.45744299717623843,5-8;11-18;21-23;49-49;53-56;59-60;64-74,0.40510568672107267,0.3065361739021107,0.5323484436394008,1.0,0.0,A_direction_supported,0.285623015415745,0.23910878507946443,0.33347917327160226,1.0,0.0,A_direction_supported,negative_growth_supported
W045,P,C1_buffered_stage,pattern,1.668942298609821,0.7848696255258822,0.31985728727043083,0.8840726730839387,2.453811924135703,0.36028542545913833,5-7;17-20;30-33;50-64;68-74,1.1400328239318698,0.7118118389831123,1.9831189545798642,1.0,0.0,A_direction_supported,0.3635747718953163,0.27916105339407377,0.43244909411418747,1.0,0.0,A_direction_supported,negative_growth_supported
