window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window,pcmci_plus_supported,support_rule
T1,P_main_band_share,H_west_extent_lon,P,H,False,2,,False,-0.10624089751735104,0.15811431810908394,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_west_extent_lon,P,H,False,3,,False,-0.03468017459423532,0.6448867196807756,lagged_direct_edge_control,source(t-tau)->target(t),0.88427585863921,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_west_extent_lon,P,H,False,4,,False,0.047219124885239716,0.5302180502395362,lagged_direct_edge_control,source(t-tau)->target(t),0.8298128022041521,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_west_extent_lon,P,H,False,5,,False,0.0818243562231531,0.27620115911157317,lagged_direct_edge_control,source(t-tau)->target(t),0.7065611047040244,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_zonal_width,P,H,False,1,,False,0.14621841165518729,0.05081086452765832,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_zonal_width,P,H,False,2,,False,0.09594913417380498,0.20136635453138194,lagged_direct_edge_control,source(t-tau)->target(t),0.665402735464208,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_zonal_width,P,H,False,3,,False,0.04541662193649558,0.5460513141282092,lagged_direct_edge_control,source(t-tau)->target(t),0.8341346802469427,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_zonal_width,P,H,False,4,,False,0.14337146219698121,0.05485024372611943,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,H_zonal_width,P,H,False,5,,False,0.09792609773177197,0.19093808915132632,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_strength,P,Je,False,1,,False,-0.04445116105315172,0.5546264865804279,lagged_direct_edge_control,source(t-tau)->target(t),0.8373772444449598,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_strength,P,Je,False,2,,False,0.0007068966874004771,0.9925068762603293,lagged_direct_edge_control,source(t-tau)->target(t),0.9977106257491254,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_strength,P,Je,False,3,,False,0.05914240857571282,0.4316233905028386,lagged_direct_edge_control,source(t-tau)->target(t),0.7810811061978513,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_strength,P,Je,False,4,,False,0.10529099189511978,0.16069718016039936,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_strength,P,Je,False,5,,False,0.12199130022748429,0.10378389502100434,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_axis_lat,P,Je,False,1,,False,-0.029413910056973653,0.6959015387697025,lagged_direct_edge_control,source(t-tau)->target(t),0.9114552771453713,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_axis_lat,P,Je,False,2,,False,-0.038991927313413485,0.6043056035705234,lagged_direct_edge_control,source(t-tau)->target(t),0.862999410236108,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_axis_lat,P,Je,False,3,,False,-0.04525848492513178,0.5474514043937456,lagged_direct_edge_control,source(t-tau)->target(t),0.8341346802469427,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_axis_lat,P,Je,False,4,,False,-0.054818801838744505,0.4661022056089442,lagged_direct_edge_control,source(t-tau)->target(t),0.7957759692194977,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_axis_lat,P,Je,False,5,,False,-0.052215022983139237,0.4875762537364778,lagged_direct_edge_control,source(t-tau)->target(t),0.8071103222049208,False,graph_selected_and_window_BH_q_le_alpha
