feature_index,object_name,lat_value
0,V,10.0
1,V,12.0
2,V,14.0
3,V,16.0
4,V,18.0
5,V,20.0
6,V,22.0
7,V,24.0
8,V,26.0
9,V,28.0
10,V,30.0
