object,window_id,main_peak_day,main_peak_candidate_id,main_peak_bootstrap_match_fraction,n_returned_replicates_for_interval,return_day_median,return_day_q02_5,return_day_q97_5,return_day_p10,return_day_p90,return_day_iqr,return_day_width95,return_day_width80
V,W001,16,CP001,0.589,667,17.0,15.0,24.0,15.0,22.0,3.0,9.0,7.0
V,W002,30,CP002,0.669,750,30.0,22.0,35.0,25.0,32.0,3.0,13.0,7.0
V,W003,45,CP003,0.984,994,45.0,40.825,49.0,43.0,47.0,2.0,8.174999999999997,4.0
V,W004,80,CP005,0.901,960,80.0,74.0,86.0,76.0,84.0,4.0,12.0,8.0
V,W005,95,CP006,0.943,963,95.0,93.0,100.0,93.0,98.0,3.0,7.0,5.0
V,W006,114,CP007,0.933,986,114.0,110.0,121.0,111.0,117.5,3.0,11.0,6.5
V,W007,136,CP008,0.833,904,136.0,131.0,143.0,134.0,140.0,2.0,12.0,6.0
V,W008,161,CP009,0.879,953,161.0,154.0,166.0,156.0,163.0,2.0,12.0,7.0
