object,day,detector_score
V,14,4.689069360033319
V,15,5.101033195704611
V,16,5.335538519795408
V,17,5.272810501572227
V,18,4.950908114829897
V,19,4.3845330545052486
V,20,3.797568801469305
V,21,3.4946978650071223
V,22,3.5091585762373683
V,23,3.692783586566124
V,24,3.942859910022266
V,25,4.265022094404673
V,26,4.738527422782342
V,27,5.312876198471043
V,28,5.957652183946038
V,29,6.6102859603440285
V,30,6.941599316355871
V,31,6.741751054745135
V,32,6.23685485209638
V,33,5.74252157315015
V,34,5.488306559140682
V,35,5.5231952285900725
V,36,5.97766501711585
V,37,6.867710033578259
V,38,8.126451448039939
V,39,9.79089190044655
V,40,11.723371554917993
V,41,13.619042058255335
V,42,15.454294380933383
V,43,17.17299025462375
V,44,18.575540197036105
V,45,19.235007755373612
V,46,18.753834070287763
V,47,17.231841496314843
V,48,15.223386141224116
V,49,13.123626056626083
V,50,10.972375391612863
V,51,8.69287070272132
V,52,6.349150896157054
V,53,4.260674462028415
V,54,2.7155623208435875
V,55,1.9209870931078865
V,56,1.7768464571194142
V,57,2.0186809542074986
V,58,2.4136398197494975
V,59,2.9836851507702806
V,60,4.029921852067707
V,61,5.722740604235266
V,62,7.830137499468828
V,63,10.031855075586051
V,64,12.039528952666217
V,65,13.475085311113489
V,66,14.387973451048428
V,67,15.067933633308899
V,68,15.52234266736076
V,69,15.678308096706484
V,70,15.483832580479003
V,71,15.376277492229582
V,72,15.666766019545522
V,73,16.40613533870948
V,74,17.391488270211497
V,75,18.574462746294607
V,76,19.52154228642429
V,77,20.14945937845848
V,78,20.606371017910877
V,79,20.893911808495147
V,80,20.958436491781047
V,81,20.60992109511487
V,82,19.813936480235007
V,83,18.50567658893936
V,84,16.876986976424295
V,85,14.92834023071871
V,86,12.784746065475893
V,87,10.686603613825113
V,88,8.862263422625851
V,89,7.463613671055438
V,90,6.7579498191746525
V,91,6.913889703464083
V,92,7.882447395766093
V,93,9.180749220866156
V,94,10.254025291210144
V,95,10.70290382054478
V,96,10.428302967570835
V,97,9.638267164645955
V,98,8.620580567302197
V,99,7.415420181661165
V,100,6.115400808223223
V,101,4.910423923142234
V,102,3.9083507680690843
V,103,3.2931147581878255
V,104,3.310156757879513
V,105,4.083709405694646
V,106,5.524400956982682
V,107,7.3658308048829895
V,108,9.380851088340549
V,109,11.699134803640984
V,110,14.277789757541305
V,111,16.650406213534104
V,112,18.494079195534308
V,113,19.59434522224982
V,114,20.004865865386734
V,115,19.743516174760764
V,116,18.926013726039233
V,117,17.878941440245736
V,118,16.6755871013496
V,119,15.352789043376896
V,120,14.26555932340824
V,121,13.507099109014508
V,122,12.779736687982352
V,123,11.806308605857426
V,124,10.505037043596552
V,125,8.96149651115969
V,126,7.17056149794948
V,127,5.285658467481652
V,128,3.927745459460759
V,129,3.3617180024645705
V,130,3.4190251240350555
V,131,3.874254144604839
V,132,4.58666703490997
V,133,5.5031504187055695
V,134,6.653392937766398
V,135,7.837632064477557
V,136,8.498506242322458
V,137,8.277366218978703
V,138,7.554137883974091
V,139,6.7707832662312075
V,140,6.1305428147278604
V,141,5.588357771188993
V,142,5.1089790752996
V,143,4.673339226731834
V,144,4.3633699145939895
V,145,4.257472817570308
V,146,4.384161402889835
V,147,4.953999420495874
V,148,6.060419802693465
V,149,7.378682481401112
V,150,8.59316664770476
V,151,9.905125175237888
V,152,11.801109714904982
V,153,14.729375434145773
V,154,18.565749147048223
V,155,22.37029727573204
V,156,25.227418961709308
V,157,27.139169207696106
V,158,28.818893059905392
V,159,30.857005968908307
V,160,32.95904552211712
V,161,34.08042868585578
V,162,33.59825982364314
V,163,31.582649697346206
V,164,29.00517277605967
V,165,26.62284114777471
V,166,24.428359717363843
V,167,22.46992797355086
V,168,20.733141945033893
