field,region_scheme,region_id,region_label,day,progress_raw,progress_clipped_0_1,distance_to_pre,distance_to_post,daily_delta_progress,phase_label
H,whole_field,H_whole,whole_field,30,-0.27932292258956154,0.0,5.066900082905719,21.406293967050665,,pre_period
H,whole_field,H_whole,whole_field,31,-0.2022403390967924,0.0,3.60090859685461,20.068346123545787,0.07708258349276914,pre_period
H,whole_field,H_whole,whole_field,32,-0.12806544979530293,0.0,2.3323904566837377,18.816002119150124,0.07417488930148947,pre_period
H,whole_field,H_whole,whole_field,33,-0.05301941917209566,0.0,1.0506515216744523,17.551414681595393,0.07504603062320728,pre_period
H,whole_field,H_whole,whole_field,34,0.02738631032387676,0.02738631032387676,0.5660826787696133,16.206180471027924,0.08040572949597243,pre_period
H,whole_field,H_whole,whole_field,35,0.11972868149353018,0.11972868149353018,2.1388693732428745,14.684713929538791,0.09234237116965342,pre_period
H,whole_field,H_whole,whole_field,36,0.21424366054582122,0.21424366054582122,3.8903578008058832,13.181095710853477,0.09451497905229105,pre_period
H,whole_field,H_whole,whole_field,37,0.3012894782905205,0.3012894782905205,5.468521615286431,11.840488033205869,0.08704581774469927,pre_period
H,whole_field,H_whole,whole_field,38,0.390110800123,0.390110800123,6.9602055508089125,10.461235126048413,0.08882132183247948,early_progress
H,whole_field,H_whole,whole_field,39,0.45830373374260547,0.45830373374260547,8.103112285463574,9.423563750570535,0.06819293361960549,early_progress
H,whole_field,H_whole,whole_field,40,0.4999055141252115,0.4999055141252115,8.920720055132053,8.923658992176936,0.041601780382606035,early_progress
H,whole_field,H_whole,whole_field,41,0.5095276178597373,0.5095276178597373,9.287035624316086,8.997822789232094,0.009622103734525822,early_progress
H,whole_field,H_whole,whole_field,42,0.5244093076466873,0.5244093076466873,9.58393505820205,8.848935069090906,0.014881689786949925,early_progress
H,whole_field,H_whole,whole_field,43,0.5374646581077257,0.5374646581077257,9.820809134383417,8.697923992399604,0.01305535046103845,early_progress
H,whole_field,H_whole,whole_field,44,0.5325989933500594,0.5325989933500594,9.73800081602688,8.75984541059387,-0.004865664757666255,early_progress
