bootstrap_id,field,region_scheme,region_id,region_label,sample_status,n_cells,transition_norm,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,departure90,departure95,t10,t25,t50,t75,peak_raw,peak_smooth3,duration_25_75,tail_50_75,early_span_25_50,n_crossings_025,n_crossings_050,n_crossings_075,progress_monotonicity_corr
0,H,whole_field,H_whole,whole_field,ok,9801,17.38726726742351,4.056629102197926,1.5700607561250925,3.090141398446585,clear_separation,37.0,37.0,35.0,36.0,39.0,52.0,31.0,30.0,16.0,13.0,3.0,1,3,1,0.9394327907323997
0,H,equal_count_three_region,H_three_0,R1_low,ok,3267,3.2578485324067894,0.6939400747238043,0.8879956523243695,2.05940638213273,clear_separation,37.0,37.0,37.0,39.0,41.0,45.0,39.0,39.0,6.0,4.0,2.0,1,1,1,0.9286840420357361
0,H,equal_count_three_region,H_three_1,R2_mid,ok,3267,12.752295772423826,3.502730242770942,1.760195180681341,2.4230432214748725,clear_separation,37.0,37.0,35.0,36.0,38.0,41.0,35.0,35.0,5.0,3.0,2.0,1,1,3,0.857283265057249
0,H,equal_count_three_region,H_three_2,R3_high,ok,3267,27.874518086986697,6.210766121839197,1.8813809025810035,3.444638116790012,clear_separation,37.0,37.0,35.0,36.0,50.0,52.0,31.0,30.0,16.0,2.0,14.0,1,3,1,0.9415710367487826
0,H,contribution_region,H_H_early_frontloaded_positive_core,H_early_frontloaded_positive_core,ok,2369,8.555556772354608,3.84604216846452,1.6193179332634595,1.5654150162309712,clear_separation,37.0,37.0,35.0,35.0,36.0,37.0,35.0,35.0,2.0,1.0,1.0,1,3,3,0.6252489673526685
0,H,contribution_region,H_H_early_frontloaded_negative_core,H_early_frontloaded_negative_core,ok,82,0.36925265185711326,0.925955761935596,1.152618081705163,0.17764711751127538,no_clear_separation,30.0,30.0,30.0,30.0,30.0,30.0,45.0,44.0,0.0,0.0,0.0,3,3,3,0.04921121831160151
0,H,contribution_region,H_H_retreat_positive_core,H_retreat_positive_core,ok,940,2.308106390535326,0.6582495474748568,1.0087303985731992,1.3846035736705782,moderate_separation,42.0,43.0,30.0,43.0,44.0,45.0,45.0,46.0,2.0,1.0,1.0,2,1,2,0.7867139664348958
0,H,contribution_region,H_H_retreat_negative_core,H_retreat_negative_core,ok,1511,9.335048191379123,3.988045805737694,1.5726739510508114,1.6787481836290943,clear_separation,37.0,37.0,35.0,35.0,36.0,37.0,31.0,30.0,2.0,1.0,1.0,1,3,3,0.630509225928891
0,H,contribution_region,H_H_late_recovery_positive_core,H_late_recovery_positive_core,ok,2305,27.873093739140447,4.921247328148407,1.6535770624549397,4.2393670284146765,clear_separation,37.0,37.0,35.0,37.0,50.0,52.0,50.0,50.0,15.0,2.0,13.0,1,1,1,0.9498418135858488
0,H,contribution_region,H_H_late_recovery_negative_core,H_late_recovery_negative_core,ok,146,0.6260365272616236,0.9483163647808136,1.2675389117087472,0.28252590947790307,no_clear_separation,30.0,30.0,30.0,30.0,30.0,30.0,45.0,46.0,0.0,0.0,0.0,3,3,3,0.13064668762635753
0,Jw,whole_field,Jw_whole,whole_field,ok,9801,5.826678205393115,0.513125770733077,0.6044582011369812,5.21363794761955,clear_separation,37.0,37.0,38.0,41.0,48.0,52.0,53.0,52.0,11.0,4.0,7.0,1,1,1,0.9861178414349807
0,Jw,equal_count_three_region,Jw_three_0,R1_low,ok,3267,9.040443227645389,0.5586193142004607,0.8886973704961043,6.2463476882675115,clear_separation,37.0,37.0,38.0,45.0,49.0,52.0,50.0,51.0,7.0,3.0,4.0,1,1,1,0.9698509456596892
0,Jw,equal_count_three_region,Jw_three_1,R2_mid,ok,3267,3.2716986408807296,0.5500316234692784,0.3079296810238541,3.8133405594714884,clear_separation,37.0,37.0,36.0,37.0,39.0,40.0,39.0,39.0,3.0,1.0,2.0,1,1,1,0.83686379931536
0,Jw,equal_count_three_region,Jw_three_2,R3_high,ok,3267,1.7491052276510297,0.3937472375750141,0.3309503614746031,2.4135656444078757,clear_separation,37.0,37.0,37.0,38.0,40.0,43.0,53.0,38.0,5.0,3.0,2.0,1,1,3,0.90481885167649
0,Jw,contribution_region,Jw_Jw_catchup_positive_core,Jw_catchup_positive_core,ok,2081,2.9525324553831798,0.41745009958193957,0.5637585170339358,3.0090771782725185,clear_separation,50.0,50.0,50.0,50.0,52.0,54.0,49.0,50.0,4.0,2.0,2.0,1,1,1,0.8268916235772971
0,Jw,contribution_region,Jw_Jw_catchup_negative_core,Jw_catchup_negative_core,ok,370,0.9506919333344703,0.41727417405697975,0.41571668468792355,1.14129935923536,moderate_separation,41.0,41.0,40.0,41.0,42.0,43.0,40.0,41.0,2.0,1.0,1.0,2,1,1,0.837035822252596
1,H,whole_field,H_whole,whole_field,ok,9801,18.25849868791593,3.900479264617195,1.685564576399083,3.2685920854846233,clear_separation,37.0,37.0,35.0,37.0,40.0,51.0,34.0,35.0,14.0,11.0,3.0,1,1,1,0.9504757366395781
1,H,equal_count_three_region,H_three_0,R1_low,ok,3267,3.3669546334823903,0.7024672481101415,0.637126850037419,2.5134140544052395,clear_separation,37.0,37.0,35.0,38.0,45.0,49.0,60.0,60.0,11.0,4.0,7.0,1,1,1,0.9878997211359178
1,H,equal_count_three_region,H_three_1,R2_mid,ok,3267,14.563558941608822,2.1645378300454277,1.1124970155559846,4.444126970806155,clear_separation,37.0,37.0,36.0,37.0,40.0,43.0,41.0,41.0,6.0,3.0,3.0,1,1,3,0.9408903295925436
1,H,equal_count_three_region,H_three_2,R3_high,ok,3267,28.675574392943485,6.541584280070683,2.671014444452773,3.112647717588155,clear_separation,37.0,37.0,35.0,36.0,39.0,51.0,34.0,35.0,15.0,12.0,3.0,1,1,1,0.9473230027883575
1,H,contribution_region,H_H_early_frontloaded_positive_core,H_early_frontloaded_positive_core,ok,2369,8.784333471141426,2.788670747404959,1.3180699762551922,2.139003667928749,clear_separation,37.0,37.0,35.0,36.0,37.0,39.0,41.0,41.0,3.0,2.0,1.0,1,1,1,0.7652039875570024
