field,region_scheme,region_id,region_label,lat_min,lat_max,lon_min,lon_max,n_grid_cells,bootstrap_eligible,region_construction_note
H,whole_field,H_whole,whole_field,15.0,35.0,110.0,140.0,9801,True,all raw grid cells in object domain
H,raw_latband,H_lat_000,lat_15.000,15.0,15.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_001,lat_15.250,15.25,15.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_002,lat_15.500,15.5,15.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_003,lat_15.750,15.75,15.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_004,lat_16.000,16.0,16.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_005,lat_16.250,16.25,16.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_006,lat_16.500,16.5,16.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_007,lat_16.750,16.75,16.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_008,lat_17.000,17.0,17.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_009,lat_17.250,17.25,17.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_010,lat_17.500,17.5,17.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_011,lat_17.750,17.75,17.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_012,lat_18.000,18.0,18.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_013,lat_18.250,18.25,18.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_014,lat_18.500,18.5,18.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_015,lat_18.750,18.75,18.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_016,lat_19.000,19.0,19.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_017,lat_19.250,19.25,19.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_018,lat_19.500,19.5,19.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_019,lat_19.750,19.75,19.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_020,lat_20.000,20.0,20.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_021,lat_20.250,20.25,20.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_022,lat_20.500,20.5,20.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_023,lat_20.750,20.75,20.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_024,lat_21.000,21.0,21.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_025,lat_21.250,21.25,21.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_026,lat_21.500,21.5,21.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_027,lat_21.750,21.75,21.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_028,lat_22.000,22.0,22.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_029,lat_22.250,22.25,22.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_030,lat_22.500,22.5,22.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_031,lat_22.750,22.75,22.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_032,lat_23.000,23.0,23.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_033,lat_23.250,23.25,23.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_034,lat_23.500,23.5,23.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_035,lat_23.750,23.75,23.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_036,lat_24.000,24.0,24.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_037,lat_24.250,24.25,24.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_038,lat_24.500,24.5,24.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_039,lat_24.750,24.75,24.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_040,lat_25.000,25.0,25.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_041,lat_25.250,25.25,25.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_042,lat_25.500,25.5,25.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_043,lat_25.750,25.75,25.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_044,lat_26.000,26.0,26.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_045,lat_26.250,26.25,26.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_046,lat_26.500,26.5,26.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_047,lat_26.750,26.75,26.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_048,lat_27.000,27.0,27.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_049,lat_27.250,27.25,27.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_050,lat_27.500,27.5,27.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_051,lat_27.750,27.75,27.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_052,lat_28.000,28.0,28.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_053,lat_28.250,28.25,28.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_054,lat_28.500,28.5,28.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_055,lat_28.750,28.75,28.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_056,lat_29.000,29.0,29.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_057,lat_29.250,29.25,29.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_058,lat_29.500,29.5,29.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_059,lat_29.750,29.75,29.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_060,lat_30.000,30.0,30.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_061,lat_30.250,30.25,30.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_062,lat_30.500,30.5,30.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_063,lat_30.750,30.75,30.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_064,lat_31.000,31.0,31.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_065,lat_31.250,31.25,31.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_066,lat_31.500,31.5,31.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_067,lat_31.750,31.75,31.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_068,lat_32.000,32.0,32.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_069,lat_32.250,32.25,32.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_070,lat_32.500,32.5,32.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_071,lat_32.750,32.75,32.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_072,lat_33.000,33.0,33.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_073,lat_33.250,33.25,33.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_074,lat_33.500,33.5,33.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_075,lat_33.750,33.75,33.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_076,lat_34.000,34.0,34.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_077,lat_34.250,34.25,34.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_078,lat_34.500,34.5,34.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_079,lat_34.750,34.75,34.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,raw_latband,H_lat_080,lat_35.000,35.0,35.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
H,equal_count_three_region,H_three_0,R1_low,15.0,21.5,110.0,140.0,3267,True,three equal-count raw latitude chunks after sorting latitude ascending
H,equal_count_three_region,H_three_1,R2_mid,21.75,28.25,110.0,140.0,3267,True,three equal-count raw latitude chunks after sorting latitude ascending
H,equal_count_three_region,H_three_2,R3_high,28.5,35.0,110.0,140.0,3267,True,three equal-count raw latitude chunks after sorting latitude ascending
H,contribution_region,H_H_early_frontloaded_positive_core,H_early_frontloaded_positive_core,15.0,31.5,110.0,140.0,2369,True,post-processing diagnostic mask from H_early_frontloaded: positive contribution cells; not a physical region until independently justified
H,contribution_region,H_H_early_frontloaded_negative_core,H_early_frontloaded_negative_core,15.5,21.0,110.0,131.25,82,True,post-processing diagnostic mask from H_early_frontloaded: negative contribution cells; not a physical region until independently justified
H,contribution_region,H_H_retreat_positive_core,H_retreat_positive_core,15.0,21.0,110.0,138.75,940,True,post-processing diagnostic mask from H_retreat: positive contribution cells; not a physical region until independently justified
H,contribution_region,H_H_retreat_negative_core,H_retreat_negative_core,15.0,32.0,110.0,136.5,1511,True,post-processing diagnostic mask from H_retreat: negative contribution cells; not a physical region until independently justified
H,contribution_region,H_H_late_recovery_positive_core,H_late_recovery_positive_core,15.0,35.0,110.0,140.0,2305,True,post-processing diagnostic mask from H_late_recovery: positive contribution cells; not a physical region until independently justified
H,contribution_region,H_H_late_recovery_negative_core,H_late_recovery_negative_core,15.0,21.0,110.0,131.5,146,True,post-processing diagnostic mask from H_late_recovery: negative contribution cells; not a physical region until independently justified
Jw,whole_field,Jw_whole,whole_field,25.0,45.0,80.0,110.0,9801,True,all raw grid cells in object domain
Jw,raw_latband,Jw_lat_000,lat_25.000,25.0,25.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_001,lat_25.250,25.25,25.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_002,lat_25.500,25.5,25.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_003,lat_25.750,25.75,25.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_004,lat_26.000,26.0,26.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_005,lat_26.250,26.25,26.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_006,lat_26.500,26.5,26.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_007,lat_26.750,26.75,26.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_008,lat_27.000,27.0,27.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_009,lat_27.250,27.25,27.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_010,lat_27.500,27.5,27.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_011,lat_27.750,27.75,27.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_012,lat_28.000,28.0,28.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_013,lat_28.250,28.25,28.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_014,lat_28.500,28.5,28.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_015,lat_28.750,28.75,28.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_016,lat_29.000,29.0,29.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_017,lat_29.250,29.25,29.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_018,lat_29.500,29.5,29.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_019,lat_29.750,29.75,29.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_020,lat_30.000,30.0,30.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_021,lat_30.250,30.25,30.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_022,lat_30.500,30.5,30.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_023,lat_30.750,30.75,30.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_024,lat_31.000,31.0,31.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_025,lat_31.250,31.25,31.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_026,lat_31.500,31.5,31.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_027,lat_31.750,31.75,31.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_028,lat_32.000,32.0,32.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_029,lat_32.250,32.25,32.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_030,lat_32.500,32.5,32.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_031,lat_32.750,32.75,32.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_032,lat_33.000,33.0,33.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_033,lat_33.250,33.25,33.25,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_034,lat_33.500,33.5,33.5,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_035,lat_33.750,33.75,33.75,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
Jw,raw_latband,Jw_lat_036,lat_34.000,34.0,34.0,80.0,110.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost
