field,day,progress_raw,progress_clipped_0_1,distance_to_pre,distance_to_post,daily_delta_progress,phase_label
H,30,-0.27932292258956154,0.0,5.066900082905719,21.406293967050665,,pre_period
H,31,-0.2022403390967924,0.0,3.60090859685461,20.068346123545787,0.07708258349276914,pre_period
H,32,-0.12806544979530293,0.0,2.3323904566837377,18.816002119150124,0.07417488930148947,pre_period
H,33,-0.05301941917209566,0.0,1.0506515216744523,17.551414681595393,0.07504603062320728,pre_period
H,34,0.02738631032387676,0.02738631032387676,0.5660826787696133,16.206180471027924,0.08040572949597243,pre_period
H,35,0.11972868149353018,0.11972868149353018,2.1388693732428745,14.684713929538791,0.09234237116965342,pre_period
H,36,0.21424366054582122,0.21424366054582122,3.8903578008058832,13.181095710853477,0.09451497905229105,pre_period
H,37,0.3012894782905205,0.3012894782905205,5.468521615286431,11.840488033205869,0.08704581774469927,pre_period
H,38,0.390110800123,0.390110800123,6.9602055508089125,10.461235126048413,0.08882132183247948,early_progress
H,39,0.45830373374260547,0.45830373374260547,8.103112285463574,9.423563750570535,0.06819293361960549,early_progress
H,40,0.4999055141252115,0.4999055141252115,8.920720055132053,8.923658992176936,0.041601780382606035,early_progress
H,41,0.5095276178597373,0.5095276178597373,9.287035624316086,8.997822789232094,0.009622103734525822,early_progress
H,42,0.5244093076466873,0.5244093076466873,9.58393505820205,8.848935069090906,0.014881689786949925,early_progress
H,43,0.5374646581077257,0.5374646581077257,9.820809134383417,8.697923992399604,0.01305535046103845,early_progress
H,44,0.5325989933500594,0.5325989933500594,9.73800081602688,8.75984541059387,-0.004865664757666255,early_progress
H,45,0.512858889451946,0.512858889451946,9.248110878619878,8.853832376254012,-0.019740103898113426,anchor_near
H,46,0.5038388217948457,0.5038388217948457,8.884430538309855,8.763698056861077,-0.009020067657100284,anchor_near
H,47,0.4988286802363925,0.4988286802363925,8.629824771169686,8.667410555023578,-0.005010141558453252,retreat_or_crossing
H,48,0.5105654573138799,0.5105654573138799,8.723408188325003,8.380548403068355,0.011736777077487437,late_recovery_or_catchup
H,49,0.561762391476392,0.561762391476392,9.491494814816564,7.470464006099589,0.05119693416251203,late_recovery_or_catchup
H,50,0.6548563596719005,0.6548563596719005,10.967319226372242,5.859224168138779,0.09309396819550853,late_recovery_or_catchup
H,51,0.7317850026173657,0.7317850026173657,12.22044639088901,4.5485380684183925,0.0769286429454652,late_recovery_or_catchup
H,52,0.7829896629084704,0.7829896629084704,13.070771021104148,3.7113707532705775,0.05120466029110471,late_recovery_or_catchup
H,53,0.8388969003813589,0.8388969003813589,14.002364207962666,2.8221673677498447,0.055907237472888505,post_period
H,54,0.8951933138816759,0.8951933138816759,14.93244743201787,1.905153660279441,0.056296413500317,post_period
H,55,0.9470849336605295,0.9470849336605295,15.792072297778166,1.1131982543525778,0.05189161977885359,post_period
H,56,1.0027047278520997,1.0,16.7151343587363,0.611661429741059,0.05561979419157026,post_period
H,57,1.0447261529270435,1.0,17.408581265512463,0.8446971777929134,0.042021425074943775,post_period
H,58,1.0699280695155473,1.0,17.836954063718903,1.3504267274268662,0.025201916588503792,post_period
H,59,1.086717176022177,1.0,18.12858181001525,1.730191605909248,0.01678910650662968,post_period
H,60,1.1147487257595703,1.0,18.60967230654398,2.2603842059389483,0.028031549737393302,post_period
Jw,30,-0.13292746192023167,0.0,0.9890895666871885,7.674108518310978,,pre_period
Jw,31,-0.09090545767670717,0.0,0.6729335045151003,7.383861974991102,0.042022004243524494,pre_period
Jw,32,-0.0367850447952043,0.0,0.31135629656874114,7.015228890075863,0.05412041288150287,pre_period
Jw,33,0.008856517369236133,0.008856517369236133,0.17366924107948467,6.7059969737892,0.04564156216444043,pre_period
Jw,34,0.03462873997047512,0.03462873997047512,0.27872689619508406,6.531441872659689,0.02577222260123899,pre_period
Jw,35,0.04554420663951705,0.04554420663951705,0.35268857117822133,6.458146391869758,0.010915466669041925,pre_period
Jw,36,0.06314533450041017,0.06314533450041017,0.489727972146551,6.341338515633163,0.017601127860893122,pre_period
Jw,37,0.1084431659125046,0.1084431659125046,0.795592490866433,6.03828623475899,0.045297831412094425,pre_period
Jw,38,0.15859356360961527,0.15859356360961527,1.160435787504499,5.708390422575031,0.050150397697110674,early_progress
Jw,39,0.20329014382555358,0.20329014382555358,1.5286735412399346,5.430116074221074,0.04469658021593831,early_progress
Jw,40,0.23205414728912688,0.23205414728912688,1.7935266591217256,5.266318815654865,0.0287640034635733,early_progress
Jw,41,0.2589105075264171,0.2589105075264171,2.0545111579372395,5.126499976057513,0.02685636023729021,early_progress
Jw,42,0.29413876628320684,0.29413876628320684,2.380094056713025,4.949889342257534,0.035228258756789754,early_progress
