field,region_scheme,region_id,region_label,n_samples,departure90_valid_fraction,departure90_median,departure90_q05,departure90_q95,departure90_q025,departure90_q975,departure90_q90_width,departure90_q95_width,departure95_valid_fraction,departure95_median,departure95_q05,departure95_q95,departure95_q025,departure95_q975,departure95_q90_width,departure95_q95_width,t10_valid_fraction,t10_median,t10_q05,t10_q95,t10_q025,t10_q975,t10_q90_width,t10_q95_width,t25_valid_fraction,t25_median,t25_q05,t25_q95,t25_q025,t25_q975,t25_q90_width,t25_q95_width,t50_valid_fraction,t50_median,t50_q05,t50_q95,t50_q025,t50_q975,t50_q90_width,t50_q95_width,t75_valid_fraction,t75_median,t75_q05,t75_q95,t75_q025,t75_q975,t75_q90_width,t75_q95_width,peak_raw_valid_fraction,peak_raw_median,peak_raw_q05,peak_raw_q95,peak_raw_q025,peak_raw_q975,peak_raw_q90_width,peak_raw_q95_width,peak_smooth3_valid_fraction,peak_smooth3_median,peak_smooth3_q05,peak_smooth3_q95,peak_smooth3_q025,peak_smooth3_q975,peak_smooth3_q90_width,peak_smooth3_q95_width,duration_25_75_valid_fraction,duration_25_75_median,duration_25_75_q05,duration_25_75_q95,duration_25_75_q025,duration_25_75_q975,duration_25_75_q90_width,duration_25_75_q95_width,tail_50_75_valid_fraction,tail_50_75_median,tail_50_75_q05,tail_50_75_q95,tail_50_75_q025,tail_50_75_q975,tail_50_75_q90_width,tail_50_75_q95_width,early_span_25_50_valid_fraction,early_span_25_50_median,early_span_25_50_q05,early_span_25_50_q95,early_span_25_50_q025,early_span_25_50_q975,early_span_25_50_q90_width,early_span_25_50_q95_width,progress_monotonicity_corr_valid_fraction,progress_monotonicity_corr_median,progress_monotonicity_corr_q05,progress_monotonicity_corr_q95,progress_monotonicity_corr_q025,progress_monotonicity_corr_q975,progress_monotonicity_corr_q90_width,progress_monotonicity_corr_q95_width,separation_ratio_valid_fraction,separation_ratio_median,separation_ratio_q05,separation_ratio_q95,separation_ratio_q025,separation_ratio_q975,separation_ratio_q90_width,separation_ratio_q95_width,dominant_pre_post_separation_label
H,contribution_region,H_H_early_frontloaded_negative_core,H_early_frontloaded_negative_core,1000,1.0,42.0,36.0,54.0,30.0,55.0,18.0,25.0,1.0,42.5,36.0,55.0,30.0,55.0,19.0,25.0,1.0,32.0,30.0,44.0,30.0,47.02499999999998,14.0,17.024999999999977,1.0,36.0,30.0,53.0,30.0,53.02499999999998,23.0,23.024999999999977,1.0,42.0,30.0,54.0,30.0,55.0,24.0,25.0,1.0,47.0,30.0,55.0,30.0,56.0,25.0,26.0,1.0,48.0,36.0,60.0,34.975,60.0,24.0,25.025,1.0,47.5,34.0,60.0,33.0,60.0,26.0,27.0,1.0,4.0,0.0,25.0,0.0,25.0,25.0,25.0,1.0,1.0,0.0,18.0,0.0,24.0,18.0,24.0,1.0,1.0,0.0,21.0,0.0,23.0,21.0,23.0,1.0,0.7061020181002057,0.28696532205276387,0.8881948059061223,0.2052575130675839,0.9195156521120103,0.6012294838533585,0.7142581390444264,1.0,1.119293397225403,0.3590815005594266,2.7984630412444265,0.2819225620145074,3.037856155528391,2.439381540685,2.755933593513884,clear_separation
H,contribution_region,H_H_early_frontloaded_positive_core,H_early_frontloaded_positive_core,1000,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,35.0,34.0,36.0,34.0,36.0,2.0,2.0,1.0,36.0,35.0,38.0,35.0,38.0,3.0,3.0,1.0,37.0,36.0,42.0,36.0,42.02499999999998,6.0,6.024999999999977,1.0,39.0,36.0,54.0,36.0,55.0,18.0,19.0,1.0,36.0,31.0,54.049999999999955,31.0,56.0,23.049999999999955,25.0,1.0,36.0,30.0,51.0,30.0,56.0,21.0,26.0,1.0,3.0,1.0,17.0,1.0,18.0,16.0,17.0,1.0,2.0,1.0,14.0,0.0,15.0,13.0,15.0,1.0,1.0,1.0,4.0,0.0,5.0,3.0,5.0,1.0,0.7749523793349553,0.5102479659398146,0.9559966112922714,0.4295751435915746,0.968048078591983,0.44574864535245684,0.5384729350004085,1.0,2.2278694656811413,1.0054587654077403,3.8807090817997985,0.838625590815284,4.369472596746482,2.875250316392058,3.5308470059311974,clear_separation
H,contribution_region,H_H_late_recovery_negative_core,H_late_recovery_negative_core,1000,1.0,42.0,37.0,54.0,37.0,55.0,17.0,18.0,1.0,43.0,37.0,54.0,37.0,55.0,17.0,18.0,1.0,32.0,30.0,44.0,30.0,47.0,14.0,17.0,1.0,37.0,30.0,52.0,30.0,53.0,22.0,23.0,1.0,45.0,30.0,54.0,30.0,55.0,24.0,25.0,1.0,47.0,37.0,55.0,30.0,56.0,18.0,26.0,1.0,48.0,37.0,60.0,36.0,60.0,23.0,24.0,1.0,47.0,37.0,60.0,34.0,60.0,23.0,26.0,1.0,5.0,1.0,25.0,0.0,25.0,24.0,25.0,1.0,1.0,0.0,16.0,0.0,18.024999999999977,16.0,18.024999999999977,1.0,1.0,0.0,21.049999999999955,0.0,23.024999999999977,21.049999999999955,23.024999999999977,1.0,0.7370500025483515,0.3723024431711592,0.8953933717051423,0.3120961489303141,0.9215645056684276,0.5230909285339831,0.6094683567381135,1.0,1.285467833627414,0.4344551900570063,3.1728244574651434,0.3607822110595043,3.7266094083757357,2.738369267408137,3.3658271973162313,clear_separation
H,contribution_region,H_H_late_recovery_positive_core,H_late_recovery_positive_core,1000,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,35.0,35.0,36.0,35.0,37.0,1.0,2.0,1.0,38.0,36.0,45.0,36.0,47.0,9.0,11.0,1.0,49.0,39.0,51.0,38.0,51.0,12.0,13.0,1.0,52.0,50.0,53.0,50.0,53.0,3.0,3.0,1.0,50.0,31.0,50.0,31.0,53.0,19.0,22.0,1.0,50.0,30.0,51.0,30.0,53.0,21.0,23.0,1.0,14.0,7.0,17.0,6.0,17.0,10.0,11.0,1.0,3.0,2.0,13.0,2.0,14.0,11.0,12.0,1.0,11.0,2.0,14.0,2.0,14.0,12.0,12.0,1.0,0.960756209537863,0.890960766857463,0.9876477989558278,0.8688088862305622,0.9896162621947812,0.09668703209836482,0.12080737596421898,1.0,4.286172365523322,2.794028306886816,6.126033023524783,2.5725029813923763,6.724442248988402,3.3320047166379667,4.151939267596026,clear_separation
H,contribution_region,H_H_retreat_negative_core,H_retreat_negative_core,1000,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,35.0,34.0,36.0,34.0,36.0,2.0,2.0,1.0,36.0,35.0,37.049999999999955,35.0,38.0,2.0499999999999545,3.0,1.0,37.0,36.0,41.0,35.0,43.0,5.0,8.0,1.0,39.0,36.0,54.0,36.0,54.0,18.0,18.0,1.0,36.0,31.0,54.0,31.0,56.0,23.0,25.0,1.0,36.0,30.0,51.0,30.0,56.0,21.0,26.0,1.0,3.0,1.0,17.0,1.0,18.0,16.0,17.0,1.0,2.0,0.0,15.0,0.0,16.0,15.0,16.0,1.0,1.0,0.0,4.0,0.0,5.024999999999977,4.0,5.024999999999977,1.0,0.766037114013235,0.4665207604040103,0.9487872956265981,0.3669813088198702,0.9647242879949821,0.48226653522258783,0.5977429791751119,1.0,2.2274365559881875,0.984932384022551,3.7930645392835602,0.7861256075003621,4.264737641022267,2.808132155261009,3.4786120335219044,clear_separation
H,contribution_region,H_H_retreat_positive_core,H_retreat_positive_core,1000,1.0,40.0,37.0,49.0,37.0,50.0,12.0,13.0,1.0,40.0,37.0,49.0,37.0,50.0,12.0,13.0,1.0,37.0,30.0,46.0,30.0,47.0,16.0,17.0,1.0,41.0,30.0,49.0,30.0,51.0,19.0,21.0,1.0,45.0,39.0,53.0,38.0,53.0,14.0,15.0,1.0,47.0,41.0,54.0,40.0,55.0,13.0,15.0,1.0,47.0,40.0,60.0,36.975,60.0,20.0,23.025,1.0,46.0,39.95,60.0,36.975,60.0,20.049999999999997,23.025,1.0,4.0,2.0,16.049999999999955,2.0,21.0,14.049999999999955,19.0,1.0,2.0,1.0,7.0,1.0,11.0,6.0,10.0,1.0,2.0,1.0,12.0,1.0,17.0,11.0,16.0,1.0,0.8917643042033568,0.7722149020766863,0.9621555732146664,0.7319518961340253,0.9706008025393493,0.18994067113798008,0.238648906405324,1.0,2.099914252262126,1.0149601844132101,4.269703711660277,0.9236432986959904,5.085604153398295,3.254743527247067,4.161960854702304,clear_separation
H,equal_count_three_region,H_three_0,R1_low,1000,1.0,37.0,37.0,39.0,37.0,41.0,2.0,4.0,1.0,37.0,37.0,39.0,37.0,41.0,2.0,4.0,1.0,37.0,35.0,40.0,35.0,41.0,5.0,6.0,1.0,39.0,37.0,44.0,37.0,46.0,7.0,9.0,1.0,42.0,39.0,50.0,39.0,51.0,11.0,12.0,1.0,49.0,42.0,54.0,41.0,54.0,12.0,13.0,1.0,41.0,36.0,60.0,34.0,60.0,24.0,26.0,1.0,41.0,36.0,60.0,34.0,60.0,24.0,26.0,1.0,9.0,4.0,15.0,4.0,15.024999999999977,11.0,11.024999999999977,1.0,4.0,2.0,11.0,1.0,12.0,9.0,11.0,1.0,3.0,2.0,10.0,2.0,11.0,8.0,9.0,1.0,0.9622029778915875,0.8829427975909443,0.989149954900904,0.8670784263511778,0.9908294216092162,0.10620715730995967,0.12375099525803834,1.0,2.7166891586574384,1.8334351090014278,3.928735843248735,1.6975597061158532,4.290999789646594,2.0953007342473073,2.5934400835307407,clear_separation
H,equal_count_three_region,H_three_1,R2_mid,1000,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,35.0,35.0,37.0,35.0,37.0,2.0,2.0,1.0,37.0,36.0,39.0,36.0,39.0,3.0,3.0,1.0,39.0,37.0,50.0,37.0,51.0,13.0,14.0,1.0,50.0,39.0,54.0,39.0,54.0,15.0,15.0,1.0,38.0,35.0,55.0,32.0,55.0,20.0,23.0,1.0,37.0,34.95,55.0,31.0,55.0,20.049999999999997,24.0,1.0,12.0,3.0,17.0,3.0,17.0,14.0,14.0,1.0,5.0,2.0,15.0,1.0,15.0,13.0,14.0,1.0,2.0,1.0,11.0,1.0,12.0,10.0,11.0,1.0,0.9273128610269523,0.7973538538448469,0.9828450555335707,0.7665939183931639,0.986145721507349,0.1854912016887238,0.2195518031141851,1.0,3.4639401611776695,2.152054647718718,5.5049700256619944,1.9808782157930787,6.063655942081801,3.3529153779432765,4.082777726288722,clear_separation
H,equal_count_three_region,H_three_2,R3_high,1000,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,35.0,35.0,36.0,34.975,36.0,1.0,1.0249999999999986,1.0,37.0,36.0,39.0,36.0,40.0,3.0,4.0,1.0,43.0,38.0,51.0,37.0,51.0,13.0,14.0,1.0,52.0,49.0,54.0,41.0,54.0,5.0,13.0,1.0,37.0,31.0,50.0,31.0,53.0,19.0,22.0,1.0,36.0,30.0,51.0,30.0,53.0,21.0,23.0,1.0,15.0,8.0,17.0,5.0,18.0,9.0,13.0,1.0,6.0,2.0,15.0,2.0,15.0,13.0,13.0,1.0,6.0,2.0,14.0,1.0,14.0,12.0,13.0,1.0,0.9582289520014289,0.8700497109823918,0.9875382832183882,0.8407236539887099,0.9898580617318827,0.1174885722359964,0.14913440774317288,1.0,3.4402317513384135,2.1452092615047995,5.100547731757727,1.9597914502534222,5.460354003364486,2.9553384702529275,3.500562553111064,clear_separation
H,whole_field,H_whole,whole_field,1000,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,35.0,35.0,36.0,35.0,36.0,1.0,1.0,1.0,37.0,36.0,39.0,36.0,39.0,3.0,3.0,1.0,41.0,38.0,50.0,38.0,51.0,12.0,13.0,1.0,52.0,42.0,54.0,40.0,54.0,12.0,14.0,1.0,37.0,31.0,51.0,31.0,54.0,20.0,23.0,1.0,36.0,30.0,51.0,30.0,54.0,21.0,24.0,1.0,15.0,5.950000000000003,17.0,4.0,17.0,11.049999999999997,13.0,1.0,9.0,2.0,14.0,2.0,15.0,12.0,13.0,1.0,4.0,2.0,13.0,1.0,14.0,11.0,13.0,1.0,0.9594684795601647,0.8875978488005788,0.9871515869661218,0.85658008565772,0.9892334902953357,0.09955373816554303,0.13265340463761566,1.0,3.3782760844097925,2.2168875966074686,4.881156969033443,2.0331512821029074,5.261119222115816,2.664269372425974,3.227967940012909,clear_separation
