field,region_scheme,region_id,region_label,lat_min,lat_max,lon_min,lon_max,n_grid_cells,bootstrap_eligible,region_construction_note,n_cells,transition_norm,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,departure90,departure95,t10,t25,t50,t75,peak_raw,peak_smooth3,duration_25_75,tail_50_75,early_span_25_50,n_crossings_025,n_crossings_050,n_crossings_075,progress_monotonicity_corr
H,whole_field,H_whole,whole_field,15.0,35.0,110.0,140.0,9801,True,all raw grid cells in object domain,9801,16.658942129382318,3.014335265777915,1.5797350536488624,3.626183530308027,clear_separation,37.0,37.0,35.0,37.0,41.0,52.0,36.0,36.0,15.0,11.0,4.0,1,3,1,0.9719135074549925
H,raw_latband,H_lat_000,lat_15.000,15.0,15.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.2516649262553114,0.8637668349387044,0.3023148019398703,3.646112580622039,clear_separation,37.0,37.0,36.0,38.0,41.0,47.0,40.0,39.0,9.0,6.0,3.0,1,1,1,0.9664010844181771
H,raw_latband,H_lat_001,lat_15.250,15.25,15.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.297031303297468,0.8525951223572306,0.2905133246282757,3.7590758030256697,clear_separation,37.0,37.0,36.0,38.0,41.0,47.0,40.0,39.0,9.0,6.0,3.0,1,1,1,0.9669738475901973
H,raw_latband,H_lat_002,lat_15.500,15.5,15.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.329811470156133,0.8380307563809491,0.2799256643441487,3.872969813392056,clear_separation,37.0,37.0,36.0,38.0,41.0,47.0,40.0,39.0,9.0,6.0,3.0,1,1,1,0.9675795547304493
H,raw_latband,H_lat_003,lat_15.750,15.75,15.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.347880642211696,0.8200085840055485,0.2710647881896839,3.9849571559644876,clear_separation,37.0,37.0,36.0,38.0,41.0,47.0,40.0,39.0,9.0,6.0,3.0,1,1,1,0.9682286915177037
H,raw_latband,H_lat_004,lat_16.000,16.0,16.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.349927349350391,0.798718565422111,0.26435026869438777,4.091858598192801,clear_separation,37.0,37.0,36.0,38.0,41.0,47.0,40.0,39.0,9.0,6.0,3.0,1,1,1,0.9688795287687606
H,raw_latband,H_lat_005,lat_16.250,16.25,16.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.335220740086602,0.774758116246612,0.26002678242420113,4.189489763191575,clear_separation,37.0,37.0,36.0,38.0,42.0,47.0,40.0,39.0,9.0,5.0,4.0,1,1,1,0.9694296723175442
H,raw_latband,H_lat_006,lat_16.500,16.5,16.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.301595054185731,0.7480704068578774,0.2586005396089009,4.273089502864371,clear_separation,37.0,37.0,36.0,38.0,42.0,47.0,40.0,39.0,9.0,5.0,4.0,1,1,1,0.9698075419514867
H,raw_latband,H_lat_007,lat_16.750,16.75,16.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.249574812640488,0.7186787893843744,0.2602967289789886,4.3408386960941225,clear_separation,37.0,37.0,36.0,39.0,42.0,47.0,40.0,39.0,8.0,5.0,3.0,1,1,1,0.9700082367181073
H,raw_latband,H_lat_008,lat_17.000,17.0,17.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.180629589811602,0.686892626964166,0.26518642623683725,4.3910530073693215,clear_separation,37.0,37.0,36.0,39.0,42.0,47.0,40.0,39.0,8.0,5.0,3.0,1,1,1,0.9700245592538153
H,raw_latband,H_lat_009,lat_17.250,17.25,17.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.093799537867408,0.6529417264234465,0.2732170450408603,4.42019194116673,clear_separation,37.0,37.0,36.0,39.0,42.0,47.0,40.0,40.0,8.0,5.0,3.0,1,1,1,0.9698012859703842
H,raw_latband,H_lat_010,lat_17.500,17.5,17.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.9885154292350977,0.6169295507484902,0.2840344630018451,4.426941995865718,clear_separation,37.0,37.0,36.0,39.0,43.0,47.0,40.0,40.0,8.0,4.0,4.0,1,1,1,0.9693039114040718
H,raw_latband,H_lat_011,lat_17.750,17.75,17.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.8660381208782604,0.5789534670451075,0.2973886804838134,4.411562460826037,clear_separation,37.0,37.0,36.0,39.0,43.0,47.0,45.0,46.0,8.0,4.0,4.0,1,1,1,0.9685773361073494
H,raw_latband,H_lat_012,lat_18.000,18.0,18.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.727611861254504,0.5394528054579961,0.313144741468807,4.372064961587939,clear_separation,37.0,37.0,37.0,40.0,43.0,47.0,45.0,46.0,7.0,4.0,3.0,1,1,1,0.9677278129504928
H,raw_latband,H_lat_013,lat_18.250,18.25,18.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.57664859211906,0.49867794612274596,0.33116101834306466,4.310051401866197,clear_separation,37.0,37.0,37.0,40.0,44.0,47.0,45.0,46.0,7.0,3.0,4.0,1,1,1,0.9668975719749371
H,raw_latband,H_lat_014,lat_18.500,18.5,18.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.4194113151808065,0.45740267507107346,0.351175871438525,4.228916695776093,clear_separation,37.0,37.0,37.0,40.0,44.0,47.0,45.0,46.0,7.0,3.0,4.0,1,1,1,0.9663563329404814
H,raw_latband,H_lat_015,lat_18.750,18.75,18.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.262647569724525,0.41716209840545593,0.37309022259393576,4.128614979072029,clear_separation,37.0,37.0,37.0,40.0,44.0,47.0,45.0,46.0,7.0,3.0,4.0,1,1,1,0.9666144654292472
H,raw_latband,H_lat_016,lat_19.000,19.0,19.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.114914525594935,0.3802252195819528,0.3972200074272087,4.006603188726282,clear_separation,37.0,37.0,37.0,41.0,44.0,47.0,45.0,46.0,6.0,3.0,3.0,1,1,1,0.9681993498483789
H,raw_latband,H_lat_017,lat_19.250,19.25,19.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,2.9872061133696572,0.3492240509603485,0.4238068273360081,3.8642778668208035,clear_separation,37.0,37.0,37.0,41.0,44.0,48.0,45.0,46.0,7.0,4.0,3.0,1,1,1,0.9717820051401035
H,raw_latband,H_lat_018,lat_19.500,19.5,19.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,2.892267908598917,0.32690763625001046,0.45252072808025223,3.710755267527566,clear_separation,37.0,37.0,37.0,41.0,44.0,48.0,41.0,44.0,7.0,4.0,3.0,1,1,1,0.9776299658443697
H,raw_latband,H_lat_019,lat_19.750,19.75,19.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,2.8462141427092478,0.3163970921432075,0.4829779148116812,3.5605493265939314,clear_separation,37.0,37.0,37.0,40.0,44.0,49.0,41.0,42.0,9.0,5.0,4.0,1,1,1,0.9840769210693536
H,raw_latband,H_lat_020,lat_20.000,20.0,20.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,2.8638993469788456,0.3210456735031916,0.5150444472013262,3.4253476701358787,clear_separation,37.0,37.0,37.0,39.0,43.0,51.0,37.0,37.0,12.0,8.0,4.0,1,1,1,0.9865975295399347
H,raw_latband,H_lat_021,lat_20.250,20.25,20.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,2.9570395474753393,0.3434133843863782,0.5485784618925237,3.3150970603724024,clear_separation,37.0,37.0,37.0,38.0,42.0,51.0,37.0,37.0,13.0,9.0,4.0,1,1,1,0.9798506549203604
