phenomenon,v7_p_2deg_status,v7_q_feature_status,v7_r_relation_status,raw025_status,raw025_evidence,decision,interpretation_boundary
H early-frontloaded,wholefield_reference_available,feature_level_available,yes_from_feature_relation_v7_r,yes,H day35-43 progress change=0.4177,robust_across_representation_candidate,comparison table only; V7-p/q/r are not used to construct raw025 progress
H anchor retreat,wholefield_curve_reference_available,feature_progress_may_contain_signal,not_primary_v7_r_metric,yes,multi_day_retreat_candidate drop=-0.038635977871333216 start=43.0 end=47.0,raw025_supports_phenomenon,comparison table only; V7-p/q/r are not used to construct raw025 progress
Jw mid_late_catchup,wholefield_reference_available,feature_level_available,partial_support_duration_tail_v7_r,yes,Jw day43-53 progress change=0.5702,raw025_supports_phenomenon,comparison table only; V7-p/q/r are not used to construct raw025 progress
H_Jw progress crossing,pairwise_daily_reference_available,feature_distribution_available,phase_specific_relation_not_global_order,yes,Jw_to_H_progress_crossing;H_retreat_with_Jw_overtake;Jw_to_H_progress_crossing,raw025_supports_phenomenon,comparison table only; V7-p/q/r are not used to construct raw025 progress
same_departure_candidate,marker_reference_available,feature_marker_available,yes_near_same_phase_candidate,yes,departure90 Jw-H=0 days,robust_across_representation_candidate,comparison table only; V7-p/q/r are not used to construct raw025 progress
global_clean_order,clean_global_lead_not_supported_or_unresolved,feature_heterogeneity_present,global_clean_order_not_supported,no,retreat/crossing evidence prevents clean global H-Jw order,raw025_does_not_support,comparison table only; V7-p/q/r are not used to construct raw025 progress
