feature_index,object_name,lat_value,raw_mean_day,raw_std_day,z_mean_day,z_std_day
0,Jw,25.0,5.091065325653257,15.700857005769528,1.6240976817373719e-16,0.9999999999999999
1,Jw,27.0,9.244983668450717,15.3296444256022,-3.2481953634747437e-16,1.0
2,Jw,29.0,13.54329557994682,13.844283010290114,-8.932537249555546e-16,0.9999999999999998
3,Jw,31.0,17.57779333566657,11.246426585882938,-3.2481953634747437e-16,0.9999999999999998
4,Jw,33.0,21.46896426177367,8.344543387233802,4.0602442043434295e-16,1.0
5,Jw,35.0,25.334783494295216,6.096035954928158,3.2075929214313092e-15,0.9999999999999997
6,Jw,37.0,28.70921559234429,4.699627899714598,2.7000623958883807e-15,1.0
7,Jw,39.0,30.664390674005087,4.010873940672834,-2.7203636169100977e-15,1.0
8,Jw,41.0,30.567697203973538,3.724918084673134,-1.827109891954543e-15,1.0
9,Jw,43.0,28.577164237421687,3.5408795947259075,8.120488408686859e-17,1.0000000000000002
10,Jw,45.0,25.698029809785154,3.2763045345278035,-4.953497929298984e-15,0.9999999999999999
