v_component,region,S3_R2,T3_early_R2,T3_full_R2,T3_late_R2,S4_R2
V_strength,north_northeast,0.0172498754877488,0.0328159523335378,0.0284378162490576,0.046305967135757,0.0117820188862351
V_strength,main_meiyu,0.0447267957144325,0.0668652545743868,0.0399537047952609,0.0325082152285443,0.0288515498324707
V_strength,south_china,0.0474736962059573,0.0520420269045181,0.0401628881926558,0.0494588431085265,0.0380455976284534
V_strength,scs,0.0722083301857477,0.0546958421878716,0.0372716079365069,0.0356856602093077,0.0311103241561978
V_strength,south_china_scs,0.0799535208917498,0.0755685239739148,0.0496408422566216,0.0445868319343493,0.0359328225104528
V_strength,main_easm_domain,0.0499591321310795,0.0588043976601741,0.040821925702704,0.0449713800065639,0.0270740200719227
V_NS_diff,north_northeast,0.0211814908092808,0.0387733969044091,0.0299363037480609,0.0421424482504816,0.0082141841625821
V_NS_diff,main_meiyu,0.0569373401406986,0.0829313612589204,0.0584181586380208,0.0485607375244218,0.0399642328259528
V_NS_diff,south_china,0.0708531553802311,0.0763201065931416,0.0600176763123564,0.0590592647872326,0.0331622055685991
V_NS_diff,scs,0.0757463175157462,0.0692361326305485,0.0570835171218456,0.0613070224644302,0.0462450311825804
V_NS_diff,south_china_scs,0.0923083607448869,0.0959312548216213,0.0769224763552531,0.0741861862510121,0.0517709706506921
V_NS_diff,main_easm_domain,0.0581746016340427,0.070150702192273,0.0547749756884578,0.0592097897259665,0.0355030515381205
V_pos_centroid_lat,north_northeast,0.0230027924375187,0.0347285955498787,0.0205013131442151,0.0321649079464206,0.0063001722366393
V_pos_centroid_lat,main_meiyu,0.0471805411746303,0.0476799621130515,0.0451736814988839,0.0597139518318881,0.0313954389835111
V_pos_centroid_lat,south_china,0.0608394967279825,0.0602968037694243,0.0719086023833929,0.100185390250632,0.03745095712995
V_pos_centroid_lat,scs,0.0522804108750558,0.0674036999822401,0.060673999474418,0.0674635977637387,0.0504486505109589
V_pos_centroid_lat,south_china_scs,0.0599779281209039,0.0674320178465765,0.0681681061143788,0.0843962635052494,0.0522557049847815
V_pos_centroid_lat,main_easm_domain,0.0423127433477386,0.0510016930057239,0.0442464293145208,0.0568860737700972,0.0301618292558322
