comparison,target_window,reference_window,region,P_delta,P_delta_percent,P_integrated_delta,V850_delta,V850_delta_percent,V850_abs_delta
T3_full_minus_S3,T3_full,S3,north_northeast,0.26195827686033635,5.6452179770881,1186.4019875885897,0.4327945603297991,34.84883187830168,0.3559706622991159
T3_full_minus_S3,T3_full,S3,main_meiyu,-1.1343705386407317,-15.286749367793135,-4480.103837518513,-0.20630515494387414,-6.493489390060686,-0.24117581826913748
T3_full_minus_S3,T3_full,S3,south_china,1.077922480746218,15.259802678199897,1772.9799870460265,-0.9389855977333581,-19.90217621385914,-0.9389855977333581
T3_full_minus_S3,T3_full,S3,scs,0.9198090799848533,10.842702988483211,3674.2420378987663,-0.45541740795138885,-18.404334071791705,-0.4551379155200568
T3_full_minus_S3,T3_full,S3,south_china_scs,0.8518963718085706,10.773393170650545,4990.856999742726,-0.7095703473826989,-22.188268483271944,-0.7091208712937886
T3_full_minus_S3,T3_full,S3,main_easm_domain,0.10239203631448301,1.5800858546327619,1971.854938594115,-0.24510751595904434,-10.575331106102054,-0.302541233130619
T3_late_minus_T3_early,T3_late,T3_early,north_northeast,-0.09331942904727075,-1.8872489612934231,-422.64118328027325,0.02939206355812174,1.7691627926997446,-0.017663349649839954
T3_late_minus_T3_early,T3_late,T3_early,main_meiyu,-0.7688456365140262,-11.5864725467195,-3036.493076356921,-0.48789571068654425,-15.282208208355527,-0.5056875126914147
T3_late_minus_T3_early,T3_late,T3_early,south_china,-0.1822833477990784,-2.216323528665895,-299.8218641806088,-0.8390181133879406,-20.1668095769815,-0.8390181133879406
T3_late_minus_T3_early,T3_late,T3_early,scs,0.41934401829207957,4.551948722024382,1675.0991633780359,-0.3306264241766399,-15.240601706801796,-0.32177149391187987
T3_late_minus_T3_early,T3_late,T3_early,south_china_scs,0.343312583044165,3.9904963189326406,2011.3056762386914,-0.5241683408439308,-19.22396041152924,-0.5172562426778988
T3_late_minus_T3_early,T3_late,T3_early,main_easm_domain,-0.016977684143063776,-0.25761759826659897,-326.9544344305177,-0.2730897138741124,-12.43151562295292,-0.29913163691216327
S4_minus_T3_full,S4,T3_full,north_northeast,-0.4948279278300278,-10.093759443534076,-2241.0623711839544,-0.7883483479725973,-47.073599143898086,-0.7310298020394861
S4_minus_T3_full,S4,T3_full,main_meiyu,-0.2844915303451465,-4.5256212096587,-1123.5760745056432,-1.5807466894397952,-53.20941518362925,-1.5713000167462912
S4_minus_T3_full,S4,T3_full,south_china,0.7878838265808419,9.677110544233456,1295.9208863313033,-1.6794312774759041,-44.44093182834305,-1.6745892207101778
S4_minus_T3_full,S4,T3_full,scs,0.012519830312465174,0.13314694427368345,50.011342399637215,-0.18539936348548758,-9.182303184421604,-0.1708170749277731
S4_minus_T3_full,S4,T3_full,south_china_scs,0.4847307103355192,5.533893761376545,2839.807444574857,-0.6101980681574855,-24.521876610265824,-0.5985479626397974
S4_minus_T3_full,S4,T3_full,main_easm_domain,0.08681861029960025,1.3189209276200289,1671.9435577523545,-0.6897029916222048,-33.276842719347066,-0.6699552435471938
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",north_northeast,-0.04241792229421382,-0.8578404369515525,,-0.016032034668066242,-0.9482222909633156,-0.010359867242482723
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",main_meiyu,-0.3494752893245572,-5.266578430327043,,-0.2217707775847928,-6.946458276525239,-0.2311698986616788
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",south_china,-0.0828560671813996,-1.007419785757229,,-0.3813718697217916,-9.166731625900692,-0.3813718697217916
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",scs,-0.22873310088658805,-2.3747822507885674,,-0.15028473826210886,-6.9275462303644435,-0.14795075432850258
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",south_china_scs,-0.18726140893318188,-2.093108921324737,,-0.23825833674724128,-8.738163823422381,-0.23643789964825057
T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",main_easm_domain,-0.0077171291559379185,-0.11709890830299707,,-0.12413168812459663,-5.650688919524058,-0.13806285496476756
