window,region,P_mean,P_integrated,V850_mean,V850_abs_mean,V850_positive_fraction,V850_negative_fraction,n_valid_grid
S3,north_northeast,4.640357164657421,21016.05274417687,1.2419198492540429,1.3998913291244892,0.8792403830546989,0.12075961694530109,6161
S3,main_meiyu,7.420613181705449,29307.105976090723,3.177107754417168,3.2436770988071393,0.9273927392739274,0.07260726072607261,4545
S3,south_china,7.063803533227428,11618.629837061395,4.718004642524887,4.718004642524887,1.0,0.0,1769
S3,scs,8.483208301120547,33886.7719774436,2.4745117436734994,2.4786919331042827,0.9934798357884569,0.006520164211543105,4141
S3,south_china_scs,7.9074100268553495,46325.76682840356,3.1979527736364566,3.2009747124221044,0.9948060379808472,0.005193962019152735,6161
S3,main_easm_domain,6.480156506323551,124794.16436851857,2.317729000632569,2.4266628835859354,0.8894321836042465,0.11056781639575348,22701
T3_early,north_northeast,4.944733363811971,22394.56436052922,1.6613543806937865,1.7662218586660878,0.9108910891089109,0.0891089108910891,6161
T3_early,main_meiyu,6.635717932389275,26207.226264188994,3.192573377058087,3.2336711791996806,0.9397139713971397,0.06028602860286029,4545
T3_early,south_china,8.224582081155045,13527.892489644062,4.160390914513321,4.160390914513321,1.0,0.0,1769
T3_early,scs,9.212406463699908,36799.60530471598,2.1693790739842194,2.1715047719127285,0.9963776865491427,0.003622313450857281,4141
T3_early,south_china_scs,8.603255224552937,50402.39397531052,2.726640763000999,2.7282917407765663,0.9967537737380295,0.0032462262619704593,6161
T3_early,main_easm_domain,6.590265671793972,126914.63495912656,2.1967531727981213,2.262184505420084,0.9163032465530153,0.08369675344698471,22701
T3_full,north_northeast,4.902315441517757,22202.45473176546,1.674714409583842,1.755861991423605,0.9185197208245415,0.08148027917545853,6161
T3_full,main_meiyu,6.286242643064718,24827.00213857221,2.970802599473294,3.002501280538002,0.9458745874587459,0.05412541254125412,4545
T3_full,south_china,8.141726013973646,13391.609824107421,3.779019044791529,3.779019044791529,1.0,0.0,1769
T3_full,scs,9.4030173811054,37561.01401534236,2.0190943357221105,2.023554017584226,0.9934798357884569,0.006520164211543105,4141
T3_full,south_china_scs,8.75930639866392,51316.62382814629,2.4883824262537577,2.4918538411283158,0.9943191040415517,0.005680895958448304,6161
T3_full,main_easm_domain,6.582548542638034,126766.01930711269,2.0726214846735247,2.1241216504553164,0.9240562089775781,0.07594379102242192,22701
T3_late,north_northeast,4.8514139347647,21971.923177248947,1.6907464442519082,1.7485585090162479,0.9344262295081968,0.06557377049180328,6161
T3_late,main_meiyu,5.866872295875249,23170.733187832073,2.7046776663715426,2.727983666508266,0.9535753575357536,0.04642464246424643,4545
T3_late,south_china,8.042298733355967,13228.070625463453,3.32137280112538,3.32137280112538,1.0,0.0,1769
T3_late,scs,9.631750481991988,38474.704468094016,1.8387526498075795,1.8497332780008486,0.9818884327457136,0.018111567254286403,4141
T3_late,south_china_scs,8.946567807597102,52413.699651549214,2.202472422157068,2.2110354980986675,0.9858789157604285,0.014121084239571499,6161
T3_late,main_easm_domain,6.573287987650908,126587.68052469604,1.923663458924009,1.9630528685079207,0.9331306990881459,0.0668693009118541,22701
S4,north_northeast,4.407487513687729,19961.392360581507,0.8863660616112446,1.024832189384119,0.8258399610452849,0.17416003895471516,6161
S4,main_meiyu,6.001751112719571,23703.426064066567,1.3900559100334988,1.4312012637917106,0.9372937293729373,0.0627062706270627,4545
S4,south_china,8.929609840554487,14687.530710438725,2.099587767315625,2.1044298240813513,0.9903900508762012,0.009609949123798756,1769
S4,scs,9.415537211417865,37611.025357742,1.833694972236623,1.8527369426564528,0.9642598406182081,0.035740159381791835,4141
S4,south_china_scs,9.24403710899944,54156.43127272114,1.8781843580962723,1.8933058784885184,0.9715955202077585,0.02840447979224152,6161
S4,main_easm_domain,6.669367152937634,128437.96286486504,1.3829184930513199,1.4541664069081226,0.8857759570062993,0.11422404299370072,22701
