v_component,window,north_R2,main_R2,south_R2,north_minus_main,south_minus_main,north_minus_south,dominant_region
V_strength,S3,0.0172498754877488,0.0447267957144325,0.0799535208917498,-0.027476920226683698,0.0352267251773173,-0.062703645404001,south
V_strength,T3_early,0.0328159523335378,0.0668652545743868,0.0755685239739148,-0.034049302240849004,0.008703269399527994,-0.042752571640377,south
V_strength,T3_full,0.0284378162490576,0.0399537047952609,0.0496408422566216,-0.0115158885462033,0.009687137461360705,-0.021203026007564005,south
V_strength,T3_late,0.046305967135757,0.0325082152285443,0.0445868319343493,0.013797751907212698,0.012078616705804998,0.0017191352014076997,north
V_strength,S4,0.0117820188862351,0.0288515498324707,0.0359328225104528,-0.017069530946235603,0.007081272677982101,-0.024150803624217704,south
V_NS_diff,S3,0.0211814908092808,0.0569373401406986,0.0923083607448869,-0.0357558493314178,0.03537102060418829,-0.0711268699356061,south
V_NS_diff,T3_early,0.0387733969044091,0.0829313612589204,0.0959312548216213,-0.044157964354511296,0.012999893562700912,-0.05715785791721221,south
V_NS_diff,T3_full,0.0299363037480609,0.0584181586380208,0.0769224763552531,-0.028481854889959902,0.018504317717232294,-0.04698617260719219,south
V_NS_diff,T3_late,0.0421424482504816,0.0485607375244218,0.0741861862510121,-0.0064182892739401975,0.025625448726590304,-0.0320437380005305,south
V_NS_diff,S4,0.0082141841625821,0.0399642328259528,0.0517709706506921,-0.0317500486633707,0.011806737824739295,-0.04355678648811,south
V_pos_centroid_lat,S3,0.0230027924375187,0.0471805411746303,0.0599779281209039,-0.024177748737111603,0.012797386946273595,-0.0369751356833852,south
V_pos_centroid_lat,T3_early,0.0347285955498787,0.0476799621130515,0.0674320178465765,-0.012951366563172799,0.019752055733525002,-0.0327034222966978,south
V_pos_centroid_lat,T3_full,0.0205013131442151,0.0451736814988839,0.0681681061143788,-0.0246723683546688,0.022994424615494904,-0.047666792970163706,south
V_pos_centroid_lat,T3_late,0.0321649079464206,0.0597139518318881,0.0843962635052494,-0.0275490438854675,0.024682311673361296,-0.052231355558828796,south
V_pos_centroid_lat,S4,0.0063001722366393,0.0313954389835111,0.0522557049847815,-0.0250952667468718,0.020860266001270403,-0.0459555327481422,south
