v_component,region,comparison,target_window,reference_window,R2_target,R2_reference,R2_delta,R2_delta_percent,direction
V_strength,north_northeast,T3_full_minus_S3,T3_full,S3,0.0284378162490576,0.0172498754877488,0.011187940761308798,64.8580957541096,increase
V_strength,north_northeast,T3_late_minus_T3_early,T3_late,T3_early,0.046305967135757,0.0328159523335378,0.013490014802219202,41.1081009172251,increase
V_strength,north_northeast,S4_minus_T3_full,S4,T3_full,0.0117820188862351,0.0284378162490576,-0.0166557973628225,-58.569185541363275,decrease
V_strength,north_northeast,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0284378162490576,0.046305967135757,-0.0178681508866994,-38.587145441352405,decrease
V_strength,main_meiyu,T3_full_minus_S3,T3_full,S3,0.0399537047952609,0.0447267957144325,-0.004773090919171601,-10.671658550383063,near_zero
V_strength,main_meiyu,T3_late_minus_T3_early,T3_late,T3_early,0.0325082152285443,0.0668652545743868,-0.0343570393458425,-51.38249987161972,decrease
V_strength,main_meiyu,S4_minus_T3_full,S4,T3_full,0.0288515498324707,0.0399537047952609,-0.011102154962790198,-27.787548162760313,decrease
V_strength,main_meiyu,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0399537047952609,0.0668652545743868,-0.026911549779125903,-40.24743486048815,decrease
V_strength,south_china,T3_full_minus_S3,T3_full,S3,0.0401628881926558,0.0474736962059573,-0.007310808013301501,-15.399702567048262,decrease
V_strength,south_china,T3_late_minus_T3_early,T3_late,T3_early,0.0494588431085265,0.0520420269045181,-0.002583183795991595,-4.963649476472125,near_zero
V_strength,south_china,S4_minus_T3_full,S4,T3_full,0.0380455976284534,0.0401628881926558,-0.002117290564202401,-5.271758729218008,near_zero
V_strength,south_china,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0401628881926558,0.0520420269045181,-0.011879138711862296,-22.826049288312774,decrease
V_strength,scs,T3_full_minus_S3,T3_full,S3,0.0372716079365069,0.0722083301857477,-0.0349367222492408,-48.38322969021727,decrease
