window_id,year_index,year,object,yearwise_peak_day,yearwise_peak_score,candidate_rank1_day,candidate_rank1_score,candidate_rank2_day,candidate_rank2_score,rank1_rank2_score_gap,weak_year_flag,ambiguous_year_peak_flag,method_role
W160,0,1979,P,167.0,110.72553869255552,135.0,178.26094784992478,167.0,110.72553869255552,67.53540915736926,False,False,single_year_peak_diagnostic_not_main_result
W160,0,1979,V,159.0,38.79569072681275,136.0,51.71871969131838,159.0,38.79569072681275,12.923028964505626,False,False,single_year_peak_diagnostic_not_main_result
W160,0,1979,H,156.0,32.27073757968131,133.0,39.10583185045401,140.0,35.19589263727019,3.9099392131838187,False,False,single_year_peak_diagnostic_not_main_result
W160,0,1979,Je,155.0,11.222814403806666,141.0,83.14506372138885,155.0,11.222814403806666,71.92224931758219,False,False,single_year_peak_diagnostic_not_main_result
W160,0,1979,Jw,152.0,94.55670550182168,152.0,94.55670550182168,135.0,84.76736824255143,9.789337259270255,False,False,single_year_peak_diagnostic_not_main_result
W160,1,1980,P,158.0,73.36751445738011,158.0,73.36751445738011,135.0,65.83044082082623,7.537073636553885,False,False,single_year_peak_diagnostic_not_main_result
W160,1,1980,V,158.0,125.26887778868957,158.0,125.26887778868957,134.0,17.02832674044,108.24055104824956,False,False,single_year_peak_diagnostic_not_main_result
W160,1,1980,H,158.0,95.29496761437869,158.0,95.29496761437869,133.0,31.019168180475905,64.27579943390279,False,False,single_year_peak_diagnostic_not_main_result
W160,1,1980,Je,158.0,13.46113861603382,135.0,64.92210444357497,148.0,22.95673882583916,41.965365617735806,False,False,single_year_peak_diagnostic_not_main_result
W160,1,1980,Jw,156.0,27.39733124257573,149.0,32.23986962193549,156.0,27.39733124257573,4.842538379359759,False,False,single_year_peak_diagnostic_not_main_result
W160,2,1981,P,159.0,85.83477919325986,146.0,139.752830260807,159.0,85.83477919325986,53.91805106754714,False,False,single_year_peak_diagnostic_not_main_result
