window_id,k,year_index,year,cluster_id,cluster_size,cluster_label_provisional,cluster_stability,peak_P,relative_peak_P,peak_V,relative_peak_V,peak_H,relative_peak_H,peak_Je,relative_peak_Je,peak_Jw,relative_peak_Jw,method_role
W160,2,0,1979,1,17,k2_cluster1,not_tested_first_pass,167.0,7.0,159.0,-1.0,156.0,-4.0,155.0,-5.0,152.0,-8.0,provisional_year_type_cluster_not_physical_type
W160,2,1,1980,1,17,k2_cluster1,not_tested_first_pass,158.0,-2.0,158.0,-2.0,158.0,-2.0,158.0,-2.0,156.0,-4.0,provisional_year_type_cluster_not_physical_type
W160,2,2,1981,2,28,k2_cluster2,not_tested_first_pass,159.0,-1.0,160.0,0.0,157.0,-3.0,160.0,0.0,163.0,3.0,provisional_year_type_cluster_not_physical_type
W160,2,3,1982,2,28,k2_cluster2,not_tested_first_pass,164.0,4.0,157.0,-3.0,162.0,2.0,154.0,-6.0,159.0,-1.0,provisional_year_type_cluster_not_physical_type
W160,2,4,1983,1,17,k2_cluster1,not_tested_first_pass,165.0,5.0,149.0,-11.0,147.0,-13.0,160.0,0.0,155.0,-5.0,provisional_year_type_cluster_not_physical_type
W160,2,5,1984,2,28,k2_cluster2,not_tested_first_pass,157.0,-3.0,163.0,3.0,154.0,-6.0,157.0,-3.0,164.0,4.0,provisional_year_type_cluster_not_physical_type
W160,2,6,1985,2,28,k2_cluster2,not_tested_first_pass,162.0,2.0,155.0,-5.0,156.0,-4.0,163.0,3.0,157.0,-3.0,provisional_year_type_cluster_not_physical_type
W160,2,7,1986,1,17,k2_cluster1,not_tested_first_pass,160.0,0.0,164.0,4.0,154.0,-6.0,156.0,-4.0,139.0,-21.0,provisional_year_type_cluster_not_physical_type
W160,2,8,1987,2,28,k2_cluster2,not_tested_first_pass,160.0,0.0,153.0,-7.0,155.0,-5.0,162.0,2.0,162.0,2.0,provisional_year_type_cluster_not_physical_type
W160,2,9,1988,2,28,k2_cluster2,not_tested_first_pass,160.0,0.0,160.0,0.0,162.0,2.0,155.0,-5.0,160.0,0.0,provisional_year_type_cluster_not_physical_type
W160,2,10,1989,1,17,k2_cluster1,not_tested_first_pass,158.0,-2.0,157.0,-3.0,155.0,-5.0,161.0,1.0,150.0,-10.0,provisional_year_type_cluster_not_physical_type
W160,2,11,1990,2,28,k2_cluster2,not_tested_first_pass,165.0,5.0,161.0,1.0,151.0,-9.0,160.0,0.0,164.0,4.0,provisional_year_type_cluster_not_physical_type
W160,2,12,1991,1,17,k2_cluster1,not_tested_first_pass,163.0,3.0,161.0,1.0,167.0,7.0,151.0,-9.0,149.0,-11.0,provisional_year_type_cluster_not_physical_type
W160,2,13,1992,1,17,k2_cluster1,not_tested_first_pass,158.0,-2.0,157.0,-3.0,158.0,-2.0,163.0,3.0,151.0,-9.0,provisional_year_type_cluster_not_physical_type
W160,2,14,1993,2,28,k2_cluster2,not_tested_first_pass,164.0,4.0,161.0,1.0,163.0,3.0,164.0,4.0,159.0,-1.0,provisional_year_type_cluster_not_physical_type
W160,2,15,1994,2,28,k2_cluster2,not_tested_first_pass,161.0,1.0,162.0,2.0,165.0,5.0,155.0,-5.0,157.0,-3.0,provisional_year_type_cluster_not_physical_type
