replicate_type,replicate_id,point_id,point_day,matched_peak_exists,matched_peak_day,center_offset_days,matched_peak_score,matched_peak_prominence,matched_peak_rank,matched_stat,local_background_median,local_background_mad,match_quality_flag,local_window_start,local_window_end
observed,-1,RP001,45,True,45.0,0.0,5.878578493131532,3.6472619692422086,5.0,2.3526894143749066,4.181669642123781,0.7212634260658302,matched_peak,43,47
observed,-1,RP002,81,True,81.0,0.0,9.238311473412097,4.2285212740596405,2.0,1.8065659429142245,7.857270783561768,0.7644562752892772,matched_peak,79,83
observed,-1,RP003,113,True,113.0,0.0,9.678099825113602,7.556092339736476,1.0,2.108081916398763,6.931550221428607,1.3028666302000769,matched_peak,111,115
observed,-1,LP006,132,True,132.0,0.0,3.7541518352022365,0.00977477683365846,7.0,1.0943331098921916,3.42711239728408,0.29884815146189236,matched_peak,130,134
observed,-1,RP004,135,True,135.0,0.0,3.7666081070788318,1.4709574724059107,6.0,1.1411886961761106,3.42711239728408,0.2974930434558678,matched_peak,133,137
observed,-1,RP005,160,True,160.0,0.0,7.120567750300529,2.684733245250058,3.0,1.6737421945670503,6.045540521599742,0.6422896043685173,matched_peak,158,162
null,0,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,0,RP002,81,True,82.0,1.0,18.00325063074801,5.788019269230528,11.0,2.6143434643580683,15.906317432013916,0.8020878668693001,matched_peak,79,83
null,0,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,0,LP006,132,True,130.0,-2.0,37.56041818482572,17.531095560216585,5.0,2.0458387058995644,28.7684798967977,4.297473814634756,matched_peak,130,134
null,0,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,0,RP005,160,True,160.0,0.0,14.814170442115724,0.2211033235055666,15.0,-0.35298338473890345,15.746084036052295,2.640106108949178,matched_peak,158,162
null,1,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,1,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,1,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,1,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,1,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,1,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,2,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,2,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,2,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,2,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,2,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,2,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,3,RP001,45,True,43.0,-2.0,16.659113072501118,0.0034894467300254917,14.0,-0.5046965966154882,17.149745346920028,0.9721331046457227,matched_peak,43,47
null,3,RP002,81,True,83.0,2.0,19.702248883035217,6.9496497940822195,10.0,2.6989004689562055,15.292288982098452,1.633983885168357,matched_peak,79,83
null,3,RP003,113,True,115.0,2.0,20.72591228983286,3.1818713074155056,8.0,1.1114724531575875,18.27652105795344,2.2037354266461655,matched_peak,111,115
null,3,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,3,RP004,135,True,135.0,0.0,35.6041658376774,23.52108134956918,3.0,2.452929907084581,29.37437012298045,2.5397365298432213,matched_peak,133,137
null,3,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,4,RP001,45,True,46.0,1.0,30.35570044525189,14.868094873058055,7.0,3.5928200160184156,16.380284742563934,3.8898179158574706,matched_peak,43,47
null,4,RP002,81,True,81.0,0.0,17.28304323386,4.802682604867606,12.0,5.2123382168598695,12.939902305938377,0.8332423367597066,matched_peak,79,83
null,4,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,4,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,4,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,4,RP005,160,True,160.0,0.0,54.57769248419221,33.986429738168994,1.0,2.6256866380888617,35.37149553141322,7.314733086542876,matched_peak,158,162
null,5,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,5,RP002,81,True,79.0,-2.0,29.072273918369614,22.898998864452395,3.0,2.4446520233462765,19.818216631714336,3.7854292446667586,matched_peak,79,83
null,5,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,5,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,5,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,5,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,6,RP001,45,True,46.0,1.0,21.300964363137428,4.717288351682189,9.0,1.4058746447261237,17.656333660145634,2.5924293482389764,matched_peak,43,47
null,6,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,6,RP003,113,True,111.0,-2.0,58.004764965583135,49.42115355888767,1.0,2.783896104301991,29.591655519134214,10.20623915335878,matched_peak,111,115
null,6,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,6,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,6,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,7,RP001,45,True,47.0,2.0,17.50939104873415,2.764253057369217,9.0,0.28937241088633214,15.789680386765905,5.942897782850622,matched_peak,43,47
null,7,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,7,RP003,113,True,115.0,2.0,18.92874545743537,13.610410359177916,7.0,3.295433014979601,11.581843384364035,2.2294193226568986,matched_peak,111,115
null,7,LP006,132,True,134.0,2.0,18.93863737823933,3.4843313592981673,6.0,1.438528325773705,15.061772944016296,2.69502125914177,matched_peak,130,134
null,7,RP004,135,True,134.0,-1.0,18.93863737823933,3.4843313592981673,6.0,2.670388300053449,16.241498740329952,1.01001738629229,matched_peak,133,137
null,7,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,8,RP001,45,True,45.0,0.0,20.232704920835516,0.20976181204737188,13.0,0.17398242774505188,19.196902501711037,5.953488698884499,matched_peak,43,47
null,8,RP002,81,True,80.0,-1.0,24.463368384369645,1.7973087490182849,9.0,0.7540381146043592,23.081012504124033,1.8332705548055053,matched_peak,79,83
null,8,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,8,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,8,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,8,RP005,160,True,159.0,-1.0,28.65978173978462,0.8906165219055602,8.0,0.36045086990804703,27.818051793775016,2.3352140684799156,matched_peak,158,162
null,9,RP001,45,True,44.0,-1.0,10.050374815078053,1.0252768557567915,13.0,1.0695797922194945,9.069159802426814,0.917383638970322,matched_peak,43,47
null,9,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,9,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,9,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,9,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,9,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,10,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,10,RP002,81,True,82.0,1.0,24.973687054371382,13.049329832830875,7.0,4.533863610314768,17.296141945055073,1.6933780377757444,matched_peak,79,83
null,10,RP003,113,True,114.0,1.0,21.097035809247313,3.5362427066784896,10.0,1.9729815462734583,16.75608397456364,2.200198893473175,matched_peak,111,115
null,10,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,10,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,10,RP005,160,True,158.0,-2.0,39.355677674820164,27.689319904924982,3.0,6.083552532996084,18.701630825839153,3.3950634396796424,matched_peak,158,162
null,11,RP001,45,True,47.0,2.0,25.643357513846283,14.493513108991301,7.0,3.215182153893859,13.508370106047312,3.774276788937338,matched_peak,43,47
null,11,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,11,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,11,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,11,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,11,RP005,160,True,158.0,-2.0,32.676413970151216,22.024350119359383,5.0,2.2325180594584046,21.320718174253,5.086496714086094,matched_peak,158,162
null,12,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,12,RP002,81,True,83.0,2.0,23.819324914312634,20.018803909250884,3.0,1.5088755018105204,13.390496696781987,6.911655858901677,matched_peak,79,83
null,12,RP003,113,True,115.0,2.0,11.524408624635894,2.8147100539760768,10.0,1.6685000416567006,9.231393962357803,1.3742970262777412,matched_peak,111,115
null,12,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,12,RP004,135,True,137.0,2.0,26.12956013662883,14.039250528894348,1.0,1.4289434903516753,16.42669648238521,6.790236076841796,matched_peak,133,137
null,12,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,13,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,13,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,13,RP003,113,True,114.0,1.0,25.815841753362605,2.87339503085299,11.0,0.5326120971821524,23.161503282828182,4.983624065715734,matched_peak,111,115
null,13,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,13,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,13,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,14,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,14,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,14,RP003,113,True,112.0,-1.0,14.30944395974246,4.991878537703247,11.0,2.5546061335859584,10.117371258685555,1.6409859118385253,matched_peak,111,115
null,14,LP006,132,True,133.0,1.0,23.880699811018573,5.178546377446857,5.0,2.2472051585598476,19.36241471872667,2.010624198066303,matched_peak,130,134
null,14,RP004,135,True,133.0,-2.0,23.880699811018573,5.178546377446857,5.0,2.5277108950460114,17.376859457532717,2.573015901840451,matched_peak,133,137
null,14,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,15,RP001,45,True,45.0,0.0,27.61152897284354,6.496793548030556,4.0,1.9996896155465238,21.336692682551938,3.1379051136292304,matched_peak,43,47
null,15,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,15,RP003,113,True,112.0,-1.0,24.94742939489905,1.766500141936472,7.0,1.1732084731687697,19.315764522527438,4.800225185408625,matched_peak,111,115
null,15,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,15,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,15,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,16,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,16,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,16,RP003,113,True,112.0,-1.0,43.572628509187304,0.5441542119029847,2.0,0.018049670526682098,43.42196935471089,8.34691991043298,matched_peak,111,115
null,16,LP006,132,True,133.0,1.0,42.7255050978725,7.633955214319954,3.0,0.982242458398414,36.3550529273912,6.48562084258316,matched_peak,130,134
null,16,RP004,135,True,133.0,-2.0,42.7255050978725,7.633955214319954,3.0,2.0369837236382935,29.313712012668994,6.584143461332436,matched_peak,133,137
null,16,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,17,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,17,RP002,81,True,79.0,-2.0,33.512185565494974,7.974162293271476,6.0,1.8418521622274293,27.071809660595484,3.4966844888855526,matched_peak,79,83
null,17,RP003,113,False,,,,,,,,,no_matched_peak,111,115
null,17,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,17,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,17,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,18,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,18,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,18,RP003,113,True,112.0,-1.0,25.40079568386479,0.018102095638138138,14.0,0.8943981649518268,20.959669717596203,4.965490909257186,matched_peak,111,115
null,18,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,18,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,18,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,19,RP001,45,False,,,,,,,,,no_matched_peak,43,47
null,19,RP002,81,False,,,,,,,,,no_matched_peak,79,83
null,19,RP003,113,True,115.0,2.0,43.93227620672022,34.6584147263312,2.0,2.358245534307451,24.660799330668674,8.171955198095421,matched_peak,111,115
null,19,LP006,132,False,,,,,,,,,no_matched_peak,130,134
null,19,RP004,135,False,,,,,,,,,no_matched_peak,133,137
null,19,RP005,160,False,,,,,,,,,no_matched_peak,158,162
null,20,RP001,45,True,44.0,-1.0,31.528419048617653,13.826538775113026,7.0,3.445682232234816,20.326619615856863,3.250967048995303,matched_peak,43,47
