year,raw_peak_day,mapped_peak_day,peak_score,is_near_main_window,nearest_window_id,nearest_window_center_day,day_offset_to_window_center
1979,23,23,8.8256693701293,False,W001,45,-22
1979,41,41,22.855568155099448,False,W001,45,-4
1979,77,77,34.961467754428455,False,W002,81,-4
1979,91,91,17.297790232742173,False,W002,81,10
1979,112,112,46.216527849102235,True,W003,113,-1
1979,135,135,29.66792898817714,True,W004,135,0
1979,167,167,16.563992003488032,False,W005,160,7
1980,18,18,27.002808933230583,False,W001,45,-27
1980,39,39,20.426665986453862,False,W001,45,-6
1980,66,66,18.73082210931304,False,W002,81,-15
1980,84,84,27.22765425947775,True,W002,81,3
1980,120,120,26.816493656611605,False,W003,113,7
1980,157,157,28.29778046233703,True,W005,160,-3
1981,35,35,17.67720087620576,False,W001,45,-10
1981,66,66,31.712076166006653,False,W002,81,-15
1981,79,79,39.59737142417114,True,W002,81,-2
1981,104,104,25.952030361984384,False,W003,113,-9
1981,125,125,21.41056909605779,False,W004,135,-10
1981,159,159,40.33286374231299,True,W005,160,-1
1982,18,18,16.804250351719727,False,W001,45,-27
1982,43,43,29.388677297644193,True,W001,45,-2
1982,81,81,43.06433900282269,True,W002,81,0
1982,96,96,39.50841764844724,False,W002,81,15
1982,113,113,35.98623978425035,True,W003,113,0
1982,139,139,15.64137194430375,False,W004,135,4
1982,157,157,17.470126257489518,True,W005,160,-3
1983,35,35,18.003382508250272,False,W001,45,-10
1983,70,70,19.581557583807978,False,W002,81,-11
1983,105,105,32.726630620419115,False,W003,113,-8
1983,126,126,48.84578974631426,False,W004,135,-9
1983,167,167,26.479354141460377,False,W005,160,7
1984,39,39,18.71707089489041,False,W001,45,-6
1984,73,73,36.99383211252645,False,W002,81,-8
1984,121,121,21.448076919818135,False,W003,113,8
1984,134,134,21.947168401357253,True,W004,135,-1
1984,154,154,35.89672163288009,False,W005,160,-6
1985,27,27,30.664755581242975,False,W001,45,-18
1985,52,52,21.815108818052824,False,W001,45,7
1985,71,71,30.57739484591749,False,W002,81,-10
1985,87,87,24.317437784918273,False,W002,81,6
1985,110,110,16.685616229790575,True,W003,113,-3
1985,129,129,16.013400878156162,False,W004,135,-6
1985,167,167,28.126229046301045,False,W005,160,7
1986,31,31,17.605132425783786,False,W001,45,-14
1986,70,70,15.427901909076013,False,W002,81,-11
1986,116,116,39.00324148463578,True,W003,113,3
1986,138,138,22.80201134615114,True,W004,135,3
1986,154,154,31.176071512552447,False,W005,160,-6
1987,45,45,16.491421228280192,True,W001,45,0
1987,88,88,30.809373345473634,False,W002,81,7
1987,129,129,33.073867343822506,False,W004,135,-6
1987,153,153,37.743001423964486,False,W005,160,-7
1987,167,167,27.98352477048624,False,W005,160,7
1988,27,27,31.49980535093905,False,W001,45,-18
1988,66,66,40.73754792674948,False,W002,81,-15
1988,89,89,30.354435653096267,False,W002,81,8
1988,114,114,26.51499489725567,True,W003,113,1
1988,136,136,28.699880887466033,True,W004,135,1
1988,158,158,21.186131878704508,True,W005,160,-2
1989,35,35,10.599656824280931,False,W001,45,-10
1989,62,62,26.83242178141896,False,W001,45,17
1989,75,75,22.25600106287361,False,W002,81,-6
1989,114,114,45.80765703522821,True,W003,113,1
1989,128,128,31.320328443603902,False,W004,135,-7
1989,156,156,36.619907401064644,False,W005,160,-4
1990,23,23,28.14999315388031,False,W001,45,-22
1990,40,40,15.784128205114959,False,W001,45,-5
1990,73,73,18.204183275655083,False,W002,81,-8
1990,88,88,18.214651265869946,False,W002,81,7
1990,113,113,25.113015136881494,True,W003,113,0
1990,133,133,40.24265221265858,True,W004,135,-2
1991,47,47,39.91165931994307,True,W001,45,2
1991,87,87,32.14390499474068,False,W002,81,6
1991,102,102,32.165447034878206,False,W003,113,-11
1991,119,119,23.6909288978663,False,W003,113,6
1991,131,131,21.019802635571494,False,W004,135,-4
1991,148,148,21.68834614914431,False,W005,160,-12
1992,17,17,29.82960064636538,False,W001,45,-28
1992,47,47,25.024764043787062,True,W001,45,2
1992,63,63,20.754510716183223,False,W001,45,18
1992,78,78,16.742313660247376,True,W002,81,-3
1992,99,99,34.27951493452768,False,W003,113,-14
1992,133,133,25.65321765310044,True,W004,135,-2
1992,156,156,26.302294844216263,False,W005,160,-4
1993,16,16,28.890237113543026,False,W001,45,-29
1993,49,49,21.350856064129918,False,W001,45,4
1993,75,75,17.428262484350913,False,W002,81,-6
1993,96,96,26.537450266859587,False,W002,81,15
1993,109,109,19.18572183749132,False,W003,113,-4
1993,145,145,39.734248041048915,False,W004,135,10
1994,37,37,11.24876511924749,False,W001,45,-8
1994,66,66,29.531435165039575,False,W002,81,-15
1994,82,82,32.39200427,True,W002,81,1
1994,106,106,16.827577441363477,False,W003,113,-7
1994,123,123,25.859334299650303,False,W003,113,10
1994,163,163,21.447067179620902,True,W005,160,3
1995,32,32,29.010478562179067,False,W001,45,-13
1995,63,63,20.86202981688107,False,W001,45,18
1995,75,75,22.986425348565085,False,W002,81,-6
1995,90,90,17.714759158768164,False,W002,81,9
1995,114,114,18.252657450969263,True,W003,113,1
1995,143,143,17.348990045968705,False,W004,135,8
1995,163,163,49.65669206969284,True,W005,160,3
1996,51,51,28.073751474669187,False,W001,45,6
1996,92,92,14.38055737033893,False,W002,81,11
1996,109,109,27.633666221346573,False,W003,113,-4
1996,135,135,15.325598910201865,True,W004,135,0
1996,156,156,21.410992234942277,False,W005,160,-4
1997,29,29,30.326494401839224,False,W001,45,-16
1997,44,44,38.602222484578554,True,W001,45,-1
1997,59,59,32.46648294118847,False,W001,45,14
1997,86,86,26.900038870807165,False,W002,81,5
1997,108,108,34.49173434599569,False,W003,113,-5
1997,134,134,27.93767901615756,True,W004,135,-1
1997,167,167,24.84875724735013,False,W005,160,7
1998,69,69,32.36951577865908,False,W002,81,-12
1998,84,84,32.181227851254874,True,W002,81,3
1998,103,103,26.68548227111466,False,W003,113,-10
1998,119,119,21.85205594557054,False,W003,113,6
1998,160,160,39.24099422870061,True,W005,160,0
1999,41,41,18.394414822077767,False,W001,45,-4
1999,58,58,23.84212316104678,False,W001,45,13
1999,69,69,22.799818099630173,False,W002,81,-12
1999,92,92,22.056972630470277,False,W002,81,11
1999,107,107,26.742829388872,False,W003,113,-6
1999,132,132,23.43245456990863,True,W004,135,-3
1999,162,162,30.300078931010205,True,W005,160,2
2000,29,29,21.922347583844775,False,W001,45,-16
2000,51,51,28.174100151043277,False,W001,45,6
2000,89,89,38.0790678063438,False,W002,81,8
2000,117,117,23.434177428448194,False,W003,113,4
2000,138,138,22.039992942488,True,W004,135,3
2000,167,167,34.81646530249282,False,W005,160,7
