year,point_id,point_day,nearest_yearwise_peak_day,nearest_yearwise_peak_score,day_offset,yearwise_support_type
1979,LP006,132,135,29.66792898817714,3,near_hit
1980,LP006,132,120,26.816493656611605,-12,missing
1981,LP006,132,125,21.41056909605779,-7,missing
1982,LP006,132,139,15.64137194430375,7,missing
1983,LP006,132,126,48.84578974631426,-6,missing
1984,LP006,132,134,21.947168401357253,2,exact_hit
1985,LP006,132,129,16.013400878156162,-3,near_hit
1986,LP006,132,138,22.80201134615114,6,missing
1987,LP006,132,129,33.073867343822506,-3,near_hit
1988,LP006,132,136,28.699880887466033,4,missing
1989,LP006,132,128,31.320328443603902,-4,missing
1990,LP006,132,133,40.24265221265858,1,exact_hit
1991,LP006,132,131,21.019802635571494,-1,exact_hit
1992,LP006,132,133,25.65321765310044,1,exact_hit
1993,LP006,132,145,39.734248041048915,13,missing
1994,LP006,132,123,25.859334299650303,-9,missing
1995,LP006,132,143,17.348990045968705,11,missing
1996,LP006,132,135,15.325598910201865,3,near_hit
1997,LP006,132,134,27.93767901615756,2,exact_hit
1998,LP006,132,119,21.85205594557054,-13,missing
1999,LP006,132,132,23.43245456990863,0,exact_hit
2000,LP006,132,138,22.039992942488,6,missing
2001,LP006,132,132,23.347081174735123,0,exact_hit
2002,LP006,132,129,22.81286902292257,-3,near_hit
2003,LP006,132,115,19.582864211027214,-17,missing
2004,LP006,132,140,27.651735403832575,8,missing
2005,LP006,132,139,20.548076612658146,7,missing
2006,LP006,132,125,19.62036314819138,-7,missing
2007,LP006,132,122,40.59547123148427,-10,missing
2008,LP006,132,133,39.612002176612606,1,exact_hit
2009,LP006,132,133,51.8225662788411,1,exact_hit
2010,LP006,132,142,19.837779986306966,10,missing
2011,LP006,132,129,25.426588962877148,-3,near_hit
2012,LP006,132,151,21.028842323047023,19,missing
2013,LP006,132,132,33.64705435761579,0,exact_hit
2014,LP006,132,130,33.112204704451784,-2,exact_hit
2015,LP006,132,129,27.224047505314005,-3,near_hit
2016,LP006,132,129,25.094632269365555,-3,near_hit
2017,LP006,132,138,32.43580066606669,6,missing
2018,LP006,132,126,22.895487160047914,-6,missing
2019,LP006,132,136,36.7327370055148,4,missing
2020,LP006,132,145,19.842523176170527,13,missing
2021,LP006,132,127,32.143726266386636,-5,missing
2022,LP006,132,120,20.938956966133752,-12,missing
2023,LP006,132,123,26.958842101920187,-9,missing
1979,RP001,45,41,22.855568155099448,-4,missing
1980,RP001,45,39,20.426665986453862,-6,missing
1981,RP001,45,35,17.67720087620576,-10,missing
1982,RP001,45,43,29.388677297644193,-2,exact_hit
1983,RP001,45,35,18.003382508250272,-10,missing
1984,RP001,45,39,18.71707089489041,-6,missing
1985,RP001,45,52,21.815108818052824,7,missing
1986,RP001,45,31,17.605132425783786,-14,missing
1987,RP001,45,45,16.491421228280192,0,exact_hit
1988,RP001,45,27,31.49980535093905,-18,missing
1989,RP001,45,35,10.599656824280931,-10,missing
1990,RP001,45,40,15.784128205114959,-5,missing
1991,RP001,45,47,39.91165931994307,2,exact_hit
1992,RP001,45,47,25.024764043787062,2,exact_hit
1993,RP001,45,49,21.350856064129918,4,missing
1994,RP001,45,37,11.24876511924749,-8,missing
1995,RP001,45,32,29.010478562179067,-13,missing
1996,RP001,45,51,28.073751474669187,6,missing
1997,RP001,45,44,38.602222484578554,-1,exact_hit
1998,RP001,45,69,32.36951577865908,24,missing
1999,RP001,45,41,18.394414822077767,-4,missing
2000,RP001,45,51,28.174100151043277,6,missing
2001,RP001,45,35,15.364674114417028,-10,missing
2002,RP001,45,47,18.188419466308556,2,exact_hit
2003,RP001,45,51,42.07910499261587,6,missing
2004,RP001,45,45,22.560060579575506,0,exact_hit
2005,RP001,45,52,13.524445063965581,7,missing
2006,RP001,45,51,23.725119629588523,6,missing
2007,RP001,45,60,18.562382439861807,15,missing
2008,RP001,45,47,30.430159079722493,2,exact_hit
2009,RP001,45,39,31.9258290682386,-6,missing
2010,RP001,45,53,18.553514526137924,8,missing
2011,RP001,45,60,27.06611957901066,15,missing
2012,RP001,45,40,12.66302466902749,-5,missing
2013,RP001,45,40,18.92438532502213,-5,missing
2014,RP001,45,34,31.278464814418882,-11,missing
2015,RP001,45,34,19.914280636277848,-11,missing
2016,RP001,45,49,22.90818259733657,4,missing
2017,RP001,45,42,16.216820937753848,-3,near_hit
2018,RP001,45,40,14.461372422281023,-5,missing
2019,RP001,45,41,11.022355457063545,-4,missing
2020,RP001,45,44,21.16225516342154,-1,exact_hit
2021,RP001,45,45,19.310425994960056,0,exact_hit
2022,RP001,45,49,11.957257508934521,4,missing
2023,RP001,45,52,29.90966669980525,7,missing
1979,RP002,81,77,34.961467754428455,-4,missing
1980,RP002,81,84,27.22765425947775,3,near_hit
1981,RP002,81,79,39.59737142417114,-2,exact_hit
1982,RP002,81,81,43.06433900282269,0,exact_hit
1983,RP002,81,70,19.581557583807978,-11,missing
1984,RP002,81,73,36.99383211252645,-8,missing
1985,RP002,81,87,24.317437784918273,6,missing
1986,RP002,81,70,15.427901909076013,-11,missing
1987,RP002,81,88,30.809373345473634,7,missing
1988,RP002,81,89,30.354435653096267,8,missing
1989,RP002,81,75,22.25600106287361,-6,missing
1990,RP002,81,88,18.214651265869946,7,missing
1991,RP002,81,87,32.14390499474068,6,missing
1992,RP002,81,78,16.742313660247376,-3,near_hit
1993,RP002,81,75,17.428262484350913,-6,missing
1994,RP002,81,82,32.39200427,1,exact_hit
1995,RP002,81,75,22.986425348565085,-6,missing
1996,RP002,81,92,14.38055737033893,11,missing
1997,RP002,81,86,26.900038870807165,5,missing
1998,RP002,81,84,32.181227851254874,3,near_hit
1999,RP002,81,92,22.056972630470277,11,missing
2000,RP002,81,89,38.0790678063438,8,missing
2001,RP002,81,88,20.77326320353844,7,missing
