year,point_id,point_day,nearest_yearwise_peak_day,nearest_yearwise_peak_score,day_offset,yearwise_support_type
2002,RP002,81,91,52.44037383657884,10,missing
2003,RP002,81,79,37.75254207408934,-2,exact_hit
2004,RP002,81,72,13.97108225123888,-9,missing
2005,RP002,81,84,31.747315835703454,3,near_hit
2006,RP002,81,73,26.691949465095377,-8,missing
2007,RP002,81,74,25.999422119978465,-7,missing
2008,RP002,81,67,22.51715950878515,-14,missing
2009,RP002,81,74,13.873266897159942,-7,missing
2010,RP002,81,86,20.74855011016331,5,missing
2011,RP002,81,77,30.122279123401814,-4,missing
2012,RP002,81,81,40.152159120870635,0,exact_hit
2013,RP002,81,79,21.830827650492473,-2,exact_hit
2014,RP002,81,74,41.187895781190555,-7,missing
2015,RP002,81,92,57.96898219278152,11,missing
2016,RP002,81,76,30.18746369779931,-5,missing
2017,RP002,81,59,23.988385567474122,-22,missing
2018,RP002,81,78,36.24207891535008,-3,near_hit
2019,RP002,81,93,14.158493973451543,12,missing
2020,RP002,81,66,22.004123894034556,-15,missing
2021,RP002,81,88,26.16998190234945,7,missing
2022,RP002,81,78,27.833626729870215,-3,near_hit
2023,RP002,81,64,27.376958989115856,-17,missing
1979,RP003,113,112,46.216527849102235,-1,exact_hit
1980,RP003,113,120,26.816493656611605,7,missing
1981,RP003,113,104,25.952030361984384,-9,missing
1982,RP003,113,113,35.98623978425035,0,exact_hit
1983,RP003,113,105,32.726630620419115,-8,missing
1984,RP003,113,121,21.448076919818135,8,missing
1985,RP003,113,110,16.685616229790575,-3,near_hit
1986,RP003,113,116,39.00324148463578,3,near_hit
1987,RP003,113,129,33.073867343822506,16,missing
1988,RP003,113,114,26.51499489725567,1,exact_hit
1989,RP003,113,114,45.80765703522821,1,exact_hit
1990,RP003,113,113,25.113015136881494,0,exact_hit
1991,RP003,113,119,23.6909288978663,6,missing
1992,RP003,113,99,34.27951493452768,-14,missing
1993,RP003,113,109,19.18572183749132,-4,missing
1994,RP003,113,106,16.827577441363477,-7,missing
1995,RP003,113,114,18.252657450969263,1,exact_hit
1996,RP003,113,109,27.633666221346573,-4,missing
1997,RP003,113,108,34.49173434599569,-5,missing
1998,RP003,113,119,21.85205594557054,6,missing
1999,RP003,113,107,26.742829388872,-6,missing
2000,RP003,113,117,23.434177428448194,4,missing
2001,RP003,113,132,23.347081174735123,19,missing
2002,RP003,113,105,35.90570937453769,-8,missing
2003,RP003,113,115,19.582864211027214,2,exact_hit
2004,RP003,113,110,28.57347498434453,-3,near_hit
2005,RP003,113,103,39.951853220119965,-10,missing
2006,RP003,113,125,19.62036314819138,12,missing
2007,RP003,113,122,40.59547123148427,9,missing
2008,RP003,113,118,20.037045177331194,5,missing
2009,RP003,113,112,31.04576205203663,-1,exact_hit
2010,RP003,113,121,27.41755660061174,8,missing
2011,RP003,113,109,25.046020271247567,-4,missing
2012,RP003,113,110,30.91762131518209,-3,near_hit
2013,RP003,113,132,33.64705435761579,19,missing
2014,RP003,113,107,25.784261216859523,-6,missing
2015,RP003,113,110,37.32952891591648,-3,near_hit
2016,RP003,113,114,26.34121256577305,1,exact_hit
2017,RP003,113,110,25.22863587719661,-3,near_hit
2018,RP003,113,100,28.739838778037726,-13,missing
2019,RP003,113,93,14.158493973451543,-20,missing
2020,RP003,113,117,23.42543252932039,4,missing
2021,RP003,113,106,52.67765623246624,-7,missing
2022,RP003,113,120,20.938956966133752,7,missing
2023,RP003,113,123,26.958842101920187,10,missing
1979,RP004,135,135,29.66792898817714,0,exact_hit
1980,RP004,135,120,26.816493656611605,-15,missing
1981,RP004,135,125,21.41056909605779,-10,missing
1982,RP004,135,139,15.64137194430375,4,missing
1983,RP004,135,126,48.84578974631426,-9,missing
1984,RP004,135,134,21.947168401357253,-1,exact_hit
1985,RP004,135,129,16.013400878156162,-6,missing
1986,RP004,135,138,22.80201134615114,3,near_hit
1987,RP004,135,129,33.073867343822506,-6,missing
1988,RP004,135,136,28.699880887466033,1,exact_hit
1989,RP004,135,128,31.320328443603902,-7,missing
1990,RP004,135,133,40.24265221265858,-2,exact_hit
1991,RP004,135,131,21.019802635571494,-4,missing
1992,RP004,135,133,25.65321765310044,-2,exact_hit
1993,RP004,135,145,39.734248041048915,10,missing
1994,RP004,135,123,25.859334299650303,-12,missing
1995,RP004,135,143,17.348990045968705,8,missing
1996,RP004,135,135,15.325598910201865,0,exact_hit
1997,RP004,135,134,27.93767901615756,-1,exact_hit
1998,RP004,135,119,21.85205594557054,-16,missing
1999,RP004,135,132,23.43245456990863,-3,near_hit
2000,RP004,135,138,22.039992942488,3,near_hit
2001,RP004,135,132,23.347081174735123,-3,near_hit
2002,RP004,135,129,22.81286902292257,-6,missing
2003,RP004,135,152,16.828176514667796,17,missing
2004,RP004,135,140,27.651735403832575,5,missing
2005,RP004,135,139,20.548076612658146,4,missing
2006,RP004,135,142,22.473738437533065,7,missing
2007,RP004,135,122,40.59547123148427,-13,missing
2008,RP004,135,133,39.612002176612606,-2,exact_hit
2009,RP004,135,133,51.8225662788411,-2,exact_hit
2010,RP004,135,142,19.837779986306966,7,missing
2011,RP004,135,129,25.426588962877148,-6,missing
2012,RP004,135,151,21.028842323047023,16,missing
2013,RP004,135,132,33.64705435761579,-3,near_hit
2014,RP004,135,130,33.112204704451784,-5,missing
2015,RP004,135,129,27.224047505314005,-6,missing
2016,RP004,135,129,25.094632269365555,-6,missing
2017,RP004,135,138,32.43580066606669,3,near_hit
2018,RP004,135,126,22.895487160047914,-9,missing
2019,RP004,135,136,36.7327370055148,1,exact_hit
2020,RP004,135,145,19.842523176170527,10,missing
2021,RP004,135,127,32.143726266386636,-8,missing
2022,RP004,135,149,28.35906202839486,14,missing
2023,RP004,135,142,32.83735277617945,7,missing
1979,RP005,160,167,16.563992003488032,7,missing
1980,RP005,160,157,28.29778046233703,-3,near_hit
1981,RP005,160,159,40.33286374231299,-1,exact_hit
1982,RP005,160,157,17.470126257489518,-3,near_hit
1983,RP005,160,167,26.479354141460377,7,missing
1984,RP005,160,154,35.89672163288009,-6,missing
1985,RP005,160,167,28.126229046301045,7,missing
1986,RP005,160,154,31.176071512552447,-6,missing
1987,RP005,160,153,37.743001423964486,-7,missing
1988,RP005,160,158,21.186131878704508,-2,exact_hit
1989,RP005,160,156,36.619907401064644,-4,missing
1990,RP005,160,133,40.24265221265858,-27,missing
1991,RP005,160,148,21.68834614914431,-12,missing
1992,RP005,160,156,26.302294844216263,-4,missing
1993,RP005,160,145,39.734248041048915,-15,missing
1994,RP005,160,163,21.447067179620902,3,near_hit
1995,RP005,160,163,49.65669206969284,3,near_hit
1996,RP005,160,156,21.410992234942277,-4,missing
1997,RP005,160,167,24.84875724735013,7,missing
1998,RP005,160,160,39.24099422870061,0,exact_hit
1999,RP005,160,162,30.300078931010205,2,exact_hit
2000,RP005,160,167,34.81646530249282,7,missing
2001,RP005,160,160,24.17237241522133,0,exact_hit
2002,RP005,160,161,29.349943292407563,1,exact_hit
2003,RP005,160,152,16.828176514667796,-8,missing
2004,RP005,160,167,24.2527402130436,7,missing
2005,RP005,160,162,29.030541106562115,2,exact_hit
2006,RP005,160,157,28.22589051235816,-3,near_hit
2007,RP005,160,151,24.393624936687466,-9,missing
2008,RP005,160,167,17.91073669053759,7,missing
2009,RP005,160,133,51.8225662788411,-27,missing
2010,RP005,160,163,24.50062735404598,3,near_hit
2011,RP005,160,157,18.52490140487052,-3,near_hit
2012,RP005,160,162,20.111996278362152,2,exact_hit
2013,RP005,160,164,25.938707480672328,4,missing
2014,RP005,160,161,15.30949977686744,1,exact_hit
2015,RP005,160,158,16.684378985076386,-2,exact_hit
2016,RP005,160,161,21.557941322150768,1,exact_hit
2017,RP005,160,152,27.742352416719605,-8,missing
2018,RP005,160,154,25.76934314215362,-6,missing
2019,RP005,160,167,37.60173790097125,7,missing
2020,RP005,160,161,21.96075307504829,1,exact_hit
2021,RP005,160,155,14.84423276902155,-5,missing
2022,RP005,160,149,28.35906202839486,-11,missing
2023,RP005,160,164,30.54445899898943,4,missing
