replicate_id,replicate_kind,point_id,point_day,month_day,point_role,related_window_id,neighbor_group_id,nearest_peak_day,nearest_peak_score,day_offset,match_type,matched_flag,strict_match_flag,near_support_flag,no_match_flag,ambiguous_match
0,bootstrap,RP001,45,05-16,formal_primary_point,W001,,45,6.248354777689636,0,strict_match,True,True,False,False,False
0,bootstrap,RP002,81,06-21,formal_primary_point,W002,,84,10.89438441226427,3,matched_point,True,False,False,False,False
0,bootstrap,RP003,113,07-23,formal_primary_point,W003,,111,7.666162492925463,-2,strict_match,True,True,False,False,False
0,bootstrap,LP006,132,08-11,neighbor_local_peak,W004,NG001,136,4.653724935050353,4,matched_point,True,False,False,False,True
0,bootstrap,RP004,135,08-14,formal_primary_point,W004,NG001,136,4.653724935050353,1,strict_match,True,True,False,False,True
0,bootstrap,RP005,160,09-08,formal_primary_point,W005,,161,9.024159365068193,1,strict_match,True,True,False,False,False
1,bootstrap,RP001,45,05-16,formal_primary_point,W001,,41,3.5416767336473596,-4,matched_point,True,False,False,False,False
1,bootstrap,RP002,81,06-21,formal_primary_point,W002,,86,10.728476023075292,5,near_support_only,False,False,True,False,False
1,bootstrap,RP003,113,07-23,formal_primary_point,W003,,113,9.398850167135958,0,strict_match,True,True,False,False,False
1,bootstrap,LP006,132,08-11,neighbor_local_peak,W004,NG001,136,5.791870231221048,4,matched_point,True,False,False,False,True
1,bootstrap,RP004,135,08-14,formal_primary_point,W004,NG001,136,5.791870231221048,1,strict_match,True,True,False,False,True
1,bootstrap,RP005,160,09-08,formal_primary_point,W005,,157,6.57425999771372,-3,matched_point,True,False,False,False,False
2,bootstrap,RP001,45,05-16,formal_primary_point,W001,,44,6.059878783692528,-1,strict_match,True,True,False,False,False
2,bootstrap,RP002,81,06-21,formal_primary_point,W002,,83,8.875474615155937,2,strict_match,True,True,False,False,False
2,bootstrap,RP003,113,07-23,formal_primary_point,W003,,109,7.814235432350312,-4,matched_point,True,False,False,False,False
