rep,window_id,legacy_match_flag,legacy_matched_window_id,legacy_matched_center_day,legacy_overlap_ratio,strict_match_flag,strict_matched_window_id,strict_matched_center_day,overlap_days,union_days,overlap_ratio,center_close_flag,match_decision_source
0,W001,True,RW01,44.0,0.8,True,RW01,44,4,5,0.8,True,strict_overlap
0,W002,True,RW02,82.0,0.4,False,RW02,82,10,25,0.4,True,center_close_but_not_match
0,W003,True,RW03,114.0,0.6666666666666666,True,RW03,114,6,9,0.6666666666666666,True,strict_overlap
0,W004,False,,,0.0,False,RW03,114,0,25,0.0,False,best_nonmatch_candidate
0,W005,True,RW04,163.0,0.2727272727272727,False,RW04,163,3,11,0.2727272727272727,True,center_close_but_not_match
1,W001,True,RW01,43.0,0.4,False,RW01,43,4,10,0.4,True,center_close_but_not_match
1,W002,True,RW02,77.0,0.5454545454545454,True,RW02,77,6,11,0.5454545454545454,False,strict_overlap
1,W003,True,RW04,113.0,0.8888888888888888,True,RW04,113,8,9,0.8888888888888888,True,strict_overlap
1,W004,True,RW05,133.0,0.0,False,RW05,133,0,3,0.0,True,center_close_but_not_match
1,W005,True,RW06,161.0,0.375,False,RW06,161,3,8,0.375,True,center_close_but_not_match
2,W001,True,RW01,45.0,0.8333333333333334,True,RW01,45,5,6,0.8333333333333334,True,strict_overlap
2,W002,True,RW02,76.0,0.5833333333333334,True,RW02,76,7,12,0.5833333333333334,False,strict_overlap
2,W003,True,RW03,112.0,0.8888888888888888,True,RW03,112,8,9,0.8888888888888888,True,strict_overlap
2,W004,True,RW04,132.0,0.16666666666666666,False,RW04,132,1,6,0.16666666666666666,True,center_close_but_not_match
2,W005,True,RW05,159.0,0.125,False,RW05,159,1,8,0.125,True,center_close_but_not_match
3,W001,True,RW01,45.0,0.8,True,RW01,45,4,5,0.8,True,strict_overlap
3,W002,True,RW03,84.0,0.4166666666666667,False,RW03,84,5,12,0.4166666666666667,True,center_close_but_not_match
3,W003,False,,,0.0,False,RW04,101,0,20,0.0,False,best_nonmatch_candidate
3,W004,True,RW05,137.0,0.0,False,RW05,137,0,3,0.0,True,center_close_but_not_match
3,W005,True,RW06,161.0,0.8888888888888888,True,RW06,161,8,9,0.8888888888888888,True,strict_overlap
4,W001,False,,,0.0,False,RW01,41,0,7,0.0,False,best_nonmatch_candidate
4,W002,True,RW02,90.0,0.5263157894736842,True,RW02,90,10,19,0.5263157894736842,False,strict_overlap
4,W003,True,RW03,114.0,0.8,True,RW03,114,8,10,0.8,True,strict_overlap
4,W004,True,RW04,137.0,0.16666666666666666,False,RW04,137,1,6,0.16666666666666666,True,center_close_but_not_match
4,W005,True,RW05,163.0,0.3,False,RW05,163,3,10,0.3,True,center_close_but_not_match
5,W001,True,RW01,46.0,0.2,False,RW01,46,1,5,0.2,True,center_close_but_not_match
5,W002,True,RW02,83.0,0.625,True,RW02,83,10,16,0.625,True,strict_overlap
5,W003,True,RW03,112.0,0.625,True,RW03,112,5,8,0.625,True,strict_overlap
5,W004,False,,,0.0,False,RW04,139,0,5,0.0,False,best_nonmatch_candidate
5,W005,True,RW05,158.0,0.7777777777777778,True,RW05,158,7,9,0.7777777777777778,True,strict_overlap
6,W001,True,RW01,44.0,0.7142857142857143,True,RW01,44,5,7,0.7142857142857143,True,strict_overlap
6,W002,True,RW02,81.0,0.8,True,RW02,81,8,10,0.8,True,strict_overlap
6,W003,True,RW03,110.0,0.6,True,RW03,110,6,10,0.6,True,strict_overlap
6,W004,True,RW04,137.0,0.0,False,RW04,137,0,3,0.0,True,center_close_but_not_match
6,W005,True,RW05,161.0,0.75,True,RW05,161,6,8,0.75,True,strict_overlap
7,W001,True,RW01,45.0,0.5555555555555556,True,RW01,45,5,9,0.5555555555555556,True,strict_overlap
7,W002,False,,,0.0,False,RW02,76,6,13,0.46153846153846156,False,best_nonmatch_candidate
7,W003,True,RW04,115.0,0.5,True,RW04,115,5,10,0.5,True,strict_overlap
7,W004,False,,,0.0,False,RW04,115,0,24,0.0,False,best_nonmatch_candidate
7,W005,False,,,0.0,False,RW05,164,1,11,0.09090909090909091,False,best_nonmatch_candidate
8,W001,True,RW01,43.0,0.3333333333333333,False,RW01,43,2,6,0.3333333333333333,True,center_close_but_not_match
8,W002,True,RW02,81.0,0.6,True,RW02,81,6,10,0.6,True,strict_overlap
8,W003,True,RW04,112.0,0.7272727272727273,True,RW04,112,8,11,0.7272727272727273,True,strict_overlap
8,W004,True,RW05,136.0,0.0,False,RW05,136,0,2,0.0,True,center_close_but_not_match
