width,pen,point_id,present_flag,nearest_peak_day,nearest_peak_score,day_offset
12,1.0,RP001,True,45,1.9324603454993492,0
12,1.0,RP002,True,83,2.394492993755488,2
12,1.0,RP003,True,113,2.9564262412053965,0
12,1.0,LP006,True,134,1.1098760339628302,2
12,1.0,RP004,True,134,1.1098760339628302,-1
12,1.0,RP005,True,161,1.9431751909984238,1
12,2.0,RP001,True,45,1.9324603454993492,0
12,2.0,RP002,True,83,2.394492993755488,2
12,2.0,RP003,True,113,2.9564262412053965,0
12,2.0,LP006,True,134,1.1098760339628302,2
12,2.0,RP004,True,134,1.1098760339628302,-1
12,2.0,RP005,True,161,1.9431751909984238,1
12,4.0,RP001,True,45,1.9324603454993492,0
12,4.0,RP002,True,83,2.394492993755488,2
12,4.0,RP003,True,113,2.9564262412053965,0
12,4.0,LP006,True,134,1.1098760339628302,2
12,4.0,RP004,True,134,1.1098760339628302,-1
12,4.0,RP005,True,161,1.9431751909984238,1
12,8.0,RP001,True,45,1.9324603454993492,0
12,8.0,RP002,True,83,2.394492993755488,2
12,8.0,RP003,True,113,2.9564262412053965,0
12,8.0,LP006,True,134,1.1098760339628302,2
12,8.0,RP004,True,134,1.1098760339628302,-1
12,8.0,RP005,True,161,1.9431751909984238,1
16,1.0,RP001,True,45,3.711217956015139,0
16,1.0,RP002,True,80,5.169094393335747,-1
16,1.0,RP003,True,113,5.889721986854356,0
16,1.0,LP006,True,130,2.184562381311342,-2
16,1.0,RP004,True,135,2.2069828612871003,0
16,1.0,RP005,True,160,4.172076280440698,0
16,2.0,RP001,True,45,3.711217956015139,0
16,2.0,RP002,True,80,5.169094393335747,-1
16,2.0,RP003,True,113,5.889721986854356,0
16,2.0,LP006,True,130,2.184562381311342,-2
16,2.0,RP004,True,135,2.2069828612871003,0
16,2.0,RP005,True,160,4.172076280440698,0
16,4.0,RP001,True,45,3.711217956015139,0
16,4.0,RP002,True,80,5.169094393335747,-1
16,4.0,RP003,True,113,5.889721986854356,0
16,4.0,LP006,True,130,2.184562381311342,-2
16,4.0,RP004,True,135,2.2069828612871003,0
16,4.0,RP005,True,160,4.172076280440698,0
16,8.0,RP001,True,45,3.711217956015139,0
16,8.0,RP002,True,80,5.169094393335747,-1
16,8.0,RP003,True,113,5.889721986854356,0
16,8.0,LP006,True,130,2.184562381311342,-2
16,8.0,RP004,True,135,2.2069828612871003,0
16,8.0,RP005,True,160,4.172076280440698,0
20,1.0,RP001,True,45,5.878578493131532,0
20,1.0,RP002,True,81,9.238311473412097,0
20,1.0,RP003,True,113,9.678099825113602,0
20,1.0,LP006,True,132,3.7541518352022365,0
20,1.0,RP004,True,135,3.7666081070788318,0
20,1.0,RP005,True,160,7.120567750300529,0
20,2.0,RP001,True,45,5.878578493131532,0
20,2.0,RP002,True,81,9.238311473412097,0
20,2.0,RP003,True,113,9.678099825113602,0
20,2.0,LP006,True,132,3.7541518352022365,0
20,2.0,RP004,True,135,3.7666081070788318,0
20,2.0,RP005,True,160,7.120567750300529,0
20,4.0,RP001,True,45,5.878578493131532,0
20,4.0,RP002,True,81,9.238311473412097,0
20,4.0,RP003,True,113,9.678099825113602,0
20,4.0,LP006,True,132,3.7541518352022365,0
20,4.0,RP004,True,135,3.7666081070788318,0
20,4.0,RP005,True,160,7.120567750300529,0
20,8.0,RP001,True,45,5.878578493131532,0
20,8.0,RP002,True,81,9.238311473412097,0
20,8.0,RP003,True,113,9.678099825113602,0
20,8.0,LP006,True,132,3.7541518352022365,0
20,8.0,RP004,True,135,3.7666081070788318,0
20,8.0,RP005,True,160,7.120567750300529,0
24,1.0,RP001,True,44,8.255855539428058,-1
24,1.0,RP002,True,81,14.23606045729994,0
24,1.0,RP003,True,113,14.017654817441791,0
24,1.0,LP006,True,134,5.924194977336668,2
24,1.0,RP004,True,134,5.924194977336668,-1
24,1.0,RP005,True,159,10.993570331656452,-1
24,2.0,RP001,True,44,8.255855539428058,-1
24,2.0,RP002,True,81,14.23606045729994,0
24,2.0,RP003,True,113,14.017654817441791,0
24,2.0,LP006,True,134,5.924194977336668,2
24,2.0,RP004,True,134,5.924194977336668,-1
24,2.0,RP005,True,159,10.993570331656452,-1
24,4.0,RP001,True,44,8.255855539428058,-1
24,4.0,RP002,True,81,14.23606045729994,0
24,4.0,RP003,True,113,14.017654817441791,0
24,4.0,LP006,True,134,5.924194977336668,2
24,4.0,RP004,True,134,5.924194977336668,-1
24,4.0,RP005,True,159,10.993570331656452,-1
24,8.0,RP001,True,44,8.255855539428058,-1
24,8.0,RP002,True,81,14.23606045729994,0
24,8.0,RP003,True,113,14.017654817441791,0
24,8.0,LP006,True,134,5.924194977336668,2
24,8.0,RP004,True,134,5.924194977336668,-1
24,8.0,RP005,True,159,10.993570331656452,-1
28,1.0,RP001,True,44,11.075417564680858,-1
28,1.0,RP002,True,80,19.78600148998944,-1
28,1.0,RP003,True,111,19.175323693889425,-2
28,1.0,LP006,False,136,8.61591965978937,4
28,1.0,RP004,True,136,8.61591965978937,1
28,1.0,RP005,True,160,15.975064686421351,0
28,2.0,RP001,True,44,11.075417564680858,-1
28,2.0,RP002,True,80,19.78600148998944,-1
28,2.0,RP003,True,111,19.175323693889425,-2
28,2.0,LP006,False,136,8.61591965978937,4
28,2.0,RP004,True,136,8.61591965978937,1
28,2.0,RP005,True,160,15.975064686421351,0
28,4.0,RP001,True,44,11.075417564680858,-1
28,4.0,RP002,True,80,19.78600148998944,-1
28,4.0,RP003,True,111,19.175323693889425,-2
28,4.0,LP006,False,136,8.61591965978937,4
28,4.0,RP004,True,136,8.61591965978937,1
28,4.0,RP005,True,160,15.975064686421351,0
28,8.0,RP001,True,44,11.075417564680858,-1
28,8.0,RP002,True,80,19.78600148998944,-1
28,8.0,RP003,True,111,19.175323693889425,-2
28,8.0,LP006,False,136,8.61591965978937,4
28,8.0,RP004,True,136,8.61591965978937,1
28,8.0,RP005,True,160,15.975064686421351,0
