window_id,width,pen,matched_flag,matched_window_id,matched_center_day,overlap_ratio
W001,12,1.0,True,RW02,45.0,1.0
W002,12,1.0,True,RW03,83.0,1.0
W003,12,1.0,True,RW05,113.0,0.875
W004,12,1.0,False,,,0.0
W005,12,1.0,True,RW07,161.0,1.0
W001,12,2.0,True,RW02,45.0,1.0
W002,12,2.0,True,RW03,83.0,1.0
W003,12,2.0,True,RW05,113.0,0.875
W004,12,2.0,False,,,0.0
W005,12,2.0,True,RW07,161.0,1.0
W001,12,4.0,True,RW02,45.0,1.0
W002,12,4.0,True,RW03,83.0,1.0
W003,12,4.0,True,RW05,113.0,0.875
W004,12,4.0,False,,,0.0
W005,12,4.0,True,RW07,161.0,1.0
W001,12,8.0,True,RW02,45.0,1.0
W002,12,8.0,True,RW03,83.0,1.0
W003,12,8.0,True,RW05,113.0,0.875
W004,12,8.0,False,,,0.0
W005,12,8.0,True,RW07,161.0,1.0
W001,16,1.0,True,RW01,45.0,1.0
W002,16,1.0,True,RW02,80.0,1.0
W003,16,1.0,True,RW04,113.0,1.0
W004,16,1.0,True,RW05,135.0,1.0
W005,16,1.0,True,RW06,160.0,1.0
W001,16,2.0,True,RW01,45.0,1.0
W002,16,2.0,True,RW02,80.0,1.0
W003,16,2.0,True,RW04,113.0,1.0
W004,16,2.0,True,RW05,135.0,1.0
W005,16,2.0,True,RW06,160.0,1.0
W001,16,4.0,True,RW01,45.0,1.0
W002,16,4.0,True,RW02,80.0,1.0
W003,16,4.0,True,RW04,113.0,1.0
W004,16,4.0,True,RW05,135.0,1.0
W005,16,4.0,True,RW06,160.0,1.0
W001,16,8.0,True,RW01,45.0,1.0
W002,16,8.0,True,RW02,80.0,1.0
W003,16,8.0,True,RW04,113.0,1.0
W004,16,8.0,True,RW05,135.0,1.0
W005,16,8.0,True,RW06,160.0,1.0
W001,20,1.0,True,RW01,45.0,1.0
W002,20,1.0,True,RW02,81.0,1.0
W003,20,1.0,True,RW03,113.0,1.0
W004,20,1.0,True,RW04,135.0,1.0
W005,20,1.0,True,RW05,160.0,1.0
W001,20,2.0,True,RW01,45.0,1.0
W002,20,2.0,True,RW02,81.0,1.0
W003,20,2.0,True,RW03,113.0,1.0
W004,20,2.0,True,RW04,135.0,1.0
W005,20,2.0,True,RW05,160.0,1.0
W001,20,4.0,True,RW01,45.0,1.0
W002,20,4.0,True,RW02,81.0,1.0
W003,20,4.0,True,RW03,113.0,1.0
W004,20,4.0,True,RW04,135.0,1.0
W005,20,4.0,True,RW05,160.0,1.0
W001,20,8.0,True,RW01,45.0,1.0
W002,20,8.0,True,RW02,81.0,1.0
W003,20,8.0,True,RW03,113.0,1.0
W004,20,8.0,True,RW04,135.0,1.0
W005,20,8.0,True,RW05,160.0,1.0
W001,24,1.0,True,RW01,44.0,0.2
W002,24,1.0,True,RW02,81.0,1.0
W003,24,1.0,True,RW03,113.0,0.875
W004,24,1.0,True,RW04,134.0,0.0
W005,24,1.0,True,RW05,159.0,0.875
W001,24,2.0,True,RW01,44.0,0.2
W002,24,2.0,True,RW02,81.0,1.0
W003,24,2.0,True,RW03,113.0,0.875
W004,24,2.0,True,RW04,134.0,0.0
W005,24,2.0,True,RW05,159.0,0.875
W001,24,4.0,True,RW01,44.0,0.2
W002,24,4.0,True,RW02,81.0,1.0
W003,24,4.0,True,RW03,113.0,0.875
W004,24,4.0,True,RW04,134.0,0.0
W005,24,4.0,True,RW05,159.0,0.875
W001,24,8.0,True,RW01,44.0,0.2
W002,24,8.0,True,RW02,81.0,1.0
W003,24,8.0,True,RW03,113.0,0.875
W004,24,8.0,True,RW04,134.0,0.0
W005,24,8.0,True,RW05,159.0,0.875
W001,28,1.0,True,RW01,44.0,0.2
W002,28,1.0,True,RW02,80.0,1.0
W003,28,1.0,True,RW03,111.0,0.75
W004,28,1.0,False,,,0.0
W005,28,1.0,True,RW04,160.0,0.5
W001,28,2.0,True,RW01,44.0,0.2
W002,28,2.0,True,RW02,80.0,1.0
W003,28,2.0,True,RW03,111.0,0.75
W004,28,2.0,False,,,0.0
W005,28,2.0,True,RW04,160.0,0.5
W001,28,4.0,True,RW01,44.0,0.2
W002,28,4.0,True,RW02,80.0,1.0
W003,28,4.0,True,RW03,111.0,0.75
W004,28,4.0,False,,,0.0
W005,28,4.0,True,RW04,160.0,0.5
W001,28,8.0,True,RW01,44.0,0.2
W002,28,8.0,True,RW02,80.0,1.0
W003,28,8.0,True,RW03,111.0,0.75
W004,28,8.0,False,,,0.0
W005,28,8.0,True,RW04,160.0,0.5
