rep,window_id,matched_flag,matched_window_id,matched_center_day,overlap_ratio
0,W001,True,RW01,44.0,0.8
0,W002,True,RW02,82.0,1.0
0,W003,True,RW03,114.0,0.75
0,W004,False,,,0.0
0,W005,True,RW04,163.0,0.375
1,W001,True,RW01,43.0,0.8
1,W002,True,RW02,77.0,0.6
1,W003,True,RW04,113.0,1.0
1,W004,True,RW05,133.0,0.0
1,W005,True,RW06,161.0,0.375
2,W001,True,RW01,45.0,1.0
2,W002,True,RW02,76.0,0.7
2,W003,True,RW03,112.0,1.0
2,W004,True,RW04,132.0,1.0
2,W005,True,RW05,159.0,0.125
3,W001,True,RW01,45.0,0.8
3,W002,True,RW03,84.0,0.5
3,W003,False,,,0.0
3,W004,True,RW05,137.0,0.0
3,W005,True,RW06,161.0,1.0
4,W001,False,,,0.0
4,W002,True,RW02,90.0,1.0
4,W003,True,RW03,114.0,1.0
4,W004,True,RW04,137.0,1.0
4,W005,True,RW05,163.0,0.375
5,W001,True,RW01,46.0,0.2
5,W002,True,RW02,83.0,1.0
5,W003,True,RW03,112.0,0.625
5,W004,False,,,0.0
5,W005,True,RW05,158.0,0.875
6,W001,True,RW01,44.0,1.0
6,W002,True,RW02,81.0,0.8
6,W003,True,RW03,110.0,0.75
6,W004,True,RW04,137.0,0.0
6,W005,True,RW05,161.0,0.75
7,W001,True,RW01,45.0,1.0
7,W002,True,RW02,76.0,0.6
7,W003,True,RW04,115.0,0.625
7,W004,False,,,0.0
7,W005,False,,,0.0
8,W001,True,RW01,43.0,0.4
8,W002,True,RW02,81.0,0.6
8,W003,True,RW04,112.0,1.0
8,W004,True,RW05,136.0,0.0
8,W005,True,RW06,160.0,1.0
9,W001,True,RW01,45.0,1.0
9,W002,True,RW02,82.0,1.0
9,W003,True,RW03,114.0,0.75
9,W004,True,RW04,137.0,1.0
9,W005,True,RW05,156.0,0.875
10,W001,True,RW01,44.0,1.0
10,W002,True,RW02,80.0,1.0
10,W003,True,RW03,113.0,1.0
10,W004,False,,,0.0
10,W005,True,RW04,162.0,0.625
11,W001,True,RW01,45.0,1.0
11,W002,True,RW02,82.0,0.8
