object,window_id,main_peak_day,main_peak_candidate_id,main_peak_bootstrap_match_fraction,n_returned_replicates_for_interval,return_day_median,return_day_q02_5,return_day_q97_5,return_day_p10,return_day_p90,return_day_iqr,return_day_width95,return_day_width80
H,W001,19,CP001,0.784,839,19.0,15.0,26.049999999999955,17.0,23.0,2.0,11.049999999999955,6.0
H,W002,35,CP002,0.908,940,34.0,28.0,38.0,32.0,37.0,3.0,10.0,5.0
H,W003,57,CP003,0.724,860,55.0,50.0,64.0,51.0,61.0,4.0,14.0,10.0
H,W004,77,CP004,0.942,999,77.0,71.0,82.0,74.0,80.0,2.0,11.0,6.0
H,W005,95,CP005,0.889,907,95.0,90.0,99.0,92.0,98.0,3.0,9.0,6.0
H,W006,115,CP006,0.996,1000,115.0,110.0,117.0,112.0,116.0,2.0,7.0,4.0
H,W007,129,CP007,0.887,941,129.0,126.0,135.0,127.0,133.0,3.0,9.0,6.0
H,W008,155,CP008,0.936,981,155.0,148.0,160.0,152.0,157.0,2.0,12.0,5.0
