feature_index,object_name,lat_value
0,H,15.0
1,H,17.0
2,H,19.0
3,H,21.0
4,H,23.0
5,H,25.0
6,H,27.0
7,H,29.0
8,H,31.0
9,H,33.0
10,H,35.0
