object,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,object_support_class
H,CP001,19,0.623,0.784,0.055,0.161,19.259514432021046,2.0,object_weak_candidate
H,CP002,35,0.734,0.908,0.032,0.06,12.091400365609125,1.0,object_candidate
H,CP003,57,0.419,0.724,0.136,0.14,5.448642399694845,3.0,object_weak_candidate
H,CP004,77,0.73,0.942,0.057,0.001,15.33332424279672,1.0,object_candidate
H,CP005,95,0.663,0.889,0.018,0.093,16.54195292505463,2.0,object_candidate
H,CP006,115,0.854,0.996,0.004,0.0,35.04591756724116,1.0,object_strong_candidate
H,CP007,129,0.645,0.887,0.054,0.059,6.884640926412253,2.0,object_candidate
H,CP008,155,0.798,0.936,0.045,0.019,11.537571951131884,1.0,object_candidate
