feature_index,object_name,lat_value,raw_mean_day,raw_std_day,z_mean_day,z_std_day
0,H,15.0,5870.418355375374,8.200365797725865,3.808509063674137e-14,1.0
1,H,17.0,5871.317577770058,7.897507690111094,-1.2034563821673925e-13,0.9999999999999998
2,H,19.0,5871.484450855163,6.622382104244315,2.7479732774996333e-13,0.9999999999999998
3,H,21.0,5870.404372055525,5.82885083135065,-2.416251326004775e-13,0.9999999999999997
4,H,23.0,5867.385909924233,9.634557797507854,6.252776074688882e-14,0.9999999999999998
5,H,25.0,5861.770874685085,17.430760071962855,-6.825270507501305e-14,1.0
6,H,27.0,5852.869333764397,27.28880907074987,1.1920876983952308e-13,1.0
7,H,29.0,5840.384353867296,37.99920245075669,-6.325860470367063e-14,1.0000000000000002
8,H,31.0,5824.281293020788,48.57676017181103,3.467448550509289e-14,0.9999999999999998
9,H,33.0,5804.725033061952,58.38493273769546,-1.9326762412674726e-14,1.0000000000000004
10,H,35.0,5782.461845107938,67.10960018010626,4.8722930452121156e-15,0.9999999999999999
