object,replicate_id,status,n_valid_days,sampled_year_indices
H,0,success,175,"[4, 34, 29, 19, 19, 38, 3, 31, 9, 4, 23, 43, 33, 34, 32, 35, 23, 5, 37, 20, 22, 16, 8, 41, 35, 28, 18, 37, 24, 19, 20, 10, 4, 24, 39, 2, 38, 37, 12, 28, 7, 34, 31, 15, 3]"
H,1,success,175,"[43, 20, 40, 30, 35, 34, 8, 16, 21, 22, 1, 24, 6, 33, 30, 41, 33, 16, 43, 18, 14, 40, 16, 3, 21, 35, 8, 20, 5, 30, 21, 14, 10, 25, 30, 42, 19, 7, 37, 28, 31, 4, 14, 34, 37]"
H,2,success,175,"[19, 36, 37, 17, 40, 12, 10, 30, 28, 6, 37, 8, 36, 0, 35, 35, 35, 29, 21, 31, 12, 35, 25, 20, 22, 25, 1, 6, 11, 5, 19, 30, 29, 21, 38, 25, 3, 34, 25, 28, 25, 24, 4, 25, 35]"
H,3,success,175,"[13, 27, 1, 15, 19, 44, 9, 12, 18, 44, 38, 1, 10, 36, 2, 38, 12, 41, 13, 19, 29, 5, 25, 22, 35, 44, 29, 18, 18, 18, 36, 14, 7, 15, 1, 4, 4, 34, 32, 31, 20, 32, 7, 40, 22]"
H,4,success,175,"[42, 6, 22, 31, 22, 20, 7, 17, 10, 13, 30, 28, 27, 16, 43, 3, 15, 5, 15, 43, 16, 40, 22, 31, 20, 11, 34, 43, 11, 35, 11, 32, 35, 20, 33, 12, 3, 4, 20, 40, 5, 20, 31, 9, 32]"
H,5,success,175,"[13, 36, 26, 24, 7, 20, 38, 0, 34, 22, 32, 29, 19, 13, 28, 6, 26, 4, 29, 28, 3, 34, 18, 35, 1, 8, 22, 8, 14, 29, 6, 30, 4, 7, 26, 35, 7, 13, 41, 44, 26, 20, 15, 27, 26]"
H,6,success,175,"[13, 1, 6, 43, 18, 21, 21, 35, 2, 3, 12, 21, 30, 22, 19, 42, 7, 25, 24, 21, 36, 12, 42, 14, 24, 23, 38, 19, 12, 0, 16, 37, 0, 40, 24, 6, 13, 24, 14, 4, 29, 30, 5, 12, 10]"
H,7,success,175,"[29, 32, 32, 42, 34, 14, 4, 27, 41, 43, 10, 10, 1, 6, 24, 24, 16, 13, 37, 20, 36, 43, 14, 9, 42, 28, 13, 27, 23, 40, 11, 44, 42, 8, 7, 23, 2, 13, 19, 43, 44, 6, 40, 4, 33]"
H,8,success,175,"[38, 40, 10, 40, 5, 23, 21, 14, 0, 34, 15, 29, 18, 16, 39, 4, 33, 33, 17, 11, 0, 42, 42, 10, 1, 5, 3, 37, 40, 6, 33, 8, 16, 26, 32, 39, 2, 8, 12, 13, 44, 34, 14, 43, 22]"
H,9,success,175,"[22, 19, 6, 42, 0, 7, 10, 12, 5, 0, 30, 43, 5, 13, 22, 41, 31, 34, 26, 18, 8, 38, 36, 1, 32, 3, 33, 37, 5, 19, 5, 25, 41, 3, 17, 43, 13, 5, 21, 22, 29, 14, 43, 23, 12]"
H,10,success,175,"[43, 41, 22, 1, 26, 24, 6, 28, 37, 4, 32, 6, 33, 18, 0, 43, 7, 26, 8, 41, 33, 36, 19, 21, 28, 35, 38, 0, 29, 4, 12, 37, 11, 35, 20, 10, 15, 23, 34, 27, 41, 39, 33, 27, 13]"
H,11,success,175,"[18, 5, 16, 41, 19, 5, 29, 43, 39, 12, 20, 23, 11, 12, 10, 44, 33, 37, 36, 43, 4, 39, 2, 21, 26, 16, 6, 8, 37, 14, 13, 41, 6, 41, 41, 26, 7, 7, 12, 25, 6, 20, 5, 24, 0]"
H,12,success,175,"[31, 2, 8, 7, 37, 2, 19, 26, 23, 30, 36, 17, 37, 14, 44, 22, 33, 39, 35, 38, 24, 1, 22, 8, 40, 10, 10, 11, 28, 25, 42, 18, 12, 2, 0, 16, 41, 23, 40, 4, 4, 37, 4, 2, 18]"
H,13,success,175,"[41, 31, 4, 37, 37, 36, 40, 10, 44, 14, 36, 26, 35, 28, 28, 27, 35, 33, 6, 37, 24, 14, 23, 43, 38, 37, 20, 35, 17, 30, 28, 11, 11, 2, 6, 19, 21, 7, 18, 27, 10, 15, 16, 22, 16]"
