object,candidate_id,point_day,month_day,band_start_day,band_end_day,band_center_day,peak_score,peak_prominence,support_floor,global_floor,left_stop_reason,right_stop_reason,is_formal_primary
H,CP001,19,04-20,17,21,19,18.08402735192542,4.598182544472039,15.784936079689402,3.3876431147608175,support_floor,support_floor,True
H,CP002,35,05-06,32,37,34,10.10918859242761,2.7174480345794594,8.750464575137881,3.3876431147608175,support_floor,support_floor,True
H,CP003,57,05-28,55,59,57,3.066305324426809,0.3353298556509663,3.3876431147608175,3.3876431147608175,support_floor,support_floor,False
H,CP004,77,06-17,72,82,77,13.498661553176767,7.605537770951037,9.695892667701248,3.3876431147608175,support_floor,support_floor,True
H,CP005,95,07-05,91,98,94,13.787305052806543,9.529727098226754,9.022441503693166,3.3876431147608175,support_floor,support_floor,True
H,CP006,115,07-25,110,118,114,34.607065236011024,34.03240521836985,17.590862626826098,3.3876431147608175,support_floor,support_floor,True
H,CP007,129,08-08,127,131,129,4.241067494898854,3.690235040788872,3.3876431147608175,3.3876431147608175,support_floor,support_floor,False
H,CP008,155,09-03,151,158,154,9.746850391531572,9.19946629316152,5.147117244950812,3.3876431147608175,support_floor,support_floor,True
