object,replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
H,7,bootstrap,7,CP001,19,04-20,19,29.459730383821388,11.489339106341195,0,0,strict
H,7,bootstrap,7,CP002,35,05-06,35,9.734479108519821,0.8758790858448151,0,0,strict
H,7,bootstrap,7,CP003,57,05-28,47,1.6308429752920475,0.7107444124156421,-10,10,no_match
H,7,bootstrap,7,CP004,77,06-17,74,15.310481056174464,11.509944911143146,-3,3,matched
H,7,bootstrap,7,CP005,95,07-05,98,18.684580011954946,14.526832616610353,3,3,matched
H,7,bootstrap,7,CP006,115,07-25,116,35.00940349265385,34.15380049347182,1,1,strict
H,7,bootstrap,7,CP007,129,08-08,131,6.453810812748964,5.815081751668519,2,2,strict
H,7,bootstrap,7,CP008,155,09-03,156,4.530275846542734,3.640467354334236,1,1,strict
H,8,bootstrap,8,CP001,19,04-20,21,17.28889635895499,8.80939259980613,2,2,strict
H,8,bootstrap,8,CP002,35,05-06,36,8.59043014137375,3.124196100675266,1,1,strict
H,8,bootstrap,8,CP003,57,05-28,56,7.346067397042285,5.30612363808317,-1,1,strict
H,8,bootstrap,8,CP004,77,06-17,79,12.656414264518144,7.839180416596766,2,2,strict
H,8,bootstrap,8,CP005,95,07-05,79,12.656414264518144,7.839180416596766,-16,16,no_match
H,8,bootstrap,8,CP006,115,07-25,113,34.347444488966666,32.47864615884443,-2,2,strict
H,8,bootstrap,8,CP007,129,08-08,127,3.221463329707592,2.9436157713339606,-2,2,strict
H,8,bootstrap,8,CP008,155,09-03,153,12.62226376309875,12.386261684218116,-2,2,strict
H,9,bootstrap,9,CP001,19,04-20,19,27.341301230663596,18.8282552682057,0,0,strict
H,9,bootstrap,9,CP002,35,05-06,35,18.002988505458767,9.208791056890336,0,0,strict
H,9,bootstrap,9,CP003,57,05-28,57,14.835921903369599,8.151926333565774,0,0,strict
H,9,bootstrap,9,CP004,77,06-17,76,18.41729240288037,17.288762355129297,-1,1,strict
H,9,bootstrap,9,CP005,95,07-05,114,32.252312360569164,31.865715707556966,19,19,no_match
H,9,bootstrap,9,CP006,115,07-25,114,32.252312360569164,31.865715707556966,-1,1,strict
H,9,bootstrap,9,CP007,129,08-08,126,0.564245045271154,0.4182156974864184,-3,3,matched
H,9,bootstrap,9,CP008,155,09-03,154,30.724493480966068,30.472509211734092,-1,1,strict
H,10,bootstrap,10,CP001,19,04-20,16,33.106862840572276,3.8717552632286036,-3,3,matched
H,10,bootstrap,10,CP002,35,05-06,34,10.566084486361625,4.944841438418733,-1,1,strict
H,10,bootstrap,10,CP003,57,05-28,55,3.9826545476024457,2.223954938578365,-2,2,strict
H,10,bootstrap,10,CP004,77,06-17,76,20.317218572745325,18.817725097127575,-1,1,strict
H,10,bootstrap,10,CP005,95,07-05,93,12.836263930522149,7.215677026858813,-2,2,strict
H,10,bootstrap,10,CP006,115,07-25,115,35.616320567945934,35.00159454575273,0,0,strict
H,10,bootstrap,10,CP007,129,08-08,115,35.616320567945934,35.00159454575273,-14,14,no_match
H,10,bootstrap,10,CP008,155,09-03,154,12.472769997331476,11.79567638442274,-1,1,strict
H,11,bootstrap,11,CP001,19,04-20,16,26.530187121039344,4.2055213500788255,-3,3,matched
H,11,bootstrap,11,CP002,35,05-06,35,6.024830807533813,0.9844941248794354,0,0,strict
H,11,bootstrap,11,CP003,57,05-28,55,6.509940010435505,2.871724769161442,-2,2,strict
H,11,bootstrap,11,CP004,77,06-17,78,12.210713175299587,8.824045254932349,1,1,strict
H,11,bootstrap,11,CP005,95,07-05,98,7.098290858966477,2.1061303896980696,3,3,matched
H,11,bootstrap,11,CP006,115,07-25,115,24.368713824977284,23.569705683968255,0,0,strict
H,11,bootstrap,11,CP007,129,08-08,133,3.5702111311852223,1.6017237837527842,4,4,matched
H,11,bootstrap,11,CP008,155,09-03,155,36.063754295945,35.14354213340345,0,0,strict
H,12,bootstrap,12,CP001,19,04-20,18,22.608149905892844,1.823355235735626,-1,1,strict
H,12,bootstrap,12,CP002,35,05-06,33,5.324792534908987,1.4337103811207328,-2,2,strict
H,12,bootstrap,12,CP003,57,05-28,53,6.347432625763709,4.365177071250524,-4,4,matched
H,12,bootstrap,12,CP004,77,06-17,77,24.49793216052396,17.46603354536217,0,0,strict
H,12,bootstrap,12,CP005,95,07-05,94,17.6152414184641,9.891959556519817,-1,1,strict
H,12,bootstrap,12,CP006,115,07-25,116,24.944275853397983,24.258999085361737,1,1,strict
H,12,bootstrap,12,CP007,129,08-08,133,0.10667315275334355,0.023383455285511,4,4,matched
H,12,bootstrap,12,CP008,155,09-03,154,8.786967676597284,7.52935101050444,-1,1,strict
H,13,bootstrap,13,CP001,19,04-20,15,24.944293448591203,0.8753720869235124,-4,4,matched
H,13,bootstrap,13,CP002,35,05-06,36,9.557996425427387,4.60962761988425,1,1,strict
H,13,bootstrap,13,CP003,57,05-28,54,1.4100174490136252,0.02340618598277766,-3,3,matched
H,13,bootstrap,13,CP004,77,06-17,76,28.146538205891225,21.29122335242625,-1,1,strict
H,13,bootstrap,13,CP005,95,07-05,93,29.642868934970206,28.658870081629413,-2,2,strict
H,13,bootstrap,13,CP006,115,07-25,115,42.582986482453975,41.84816500547683,0,0,strict
H,13,bootstrap,13,CP007,129,08-08,129,2.97401651548176,2.269482485328571,0,0,strict
H,13,bootstrap,13,CP008,155,09-03,154,6.285644204346392,0.5786023812257914,-1,1,strict
H,14,bootstrap,14,CP001,19,04-20,15,16.676768191546106,0.10485071698132487,-4,4,matched
H,14,bootstrap,14,CP002,35,05-06,35,17.634929198366887,10.129906229260088,0,0,strict
H,14,bootstrap,14,CP003,57,05-28,47,1.1463158770300268,0.2302739872532129,-10,10,no_match
H,14,bootstrap,14,CP004,77,06-17,77,9.755403715524258,0.01882408185239548,0,0,strict
H,14,bootstrap,14,CP005,95,07-05,95,25.519870667161427,22.945057775584075,0,0,strict
H,14,bootstrap,14,CP006,115,07-25,115,37.03498401335256,36.35991399209136,0,0,strict
H,14,bootstrap,14,CP007,129,08-08,130,14.135235962803437,13.469233984231124,1,1,strict
H,14,bootstrap,14,CP008,155,09-03,155,4.521328715873333,4.255730702346579,0,0,strict
H,15,bootstrap,15,CP001,19,04-20,28,10.386136077726384,1.517076395050779,9,9,no_match
H,15,bootstrap,15,CP002,35,05-06,31,10.369068000808628,0.019135539573699845,-4,4,matched
H,15,bootstrap,15,CP003,57,05-28,62,7.765084753365421,1.570402807533756,5,5,matched
H,15,bootstrap,15,CP004,77,06-17,74,16.146812601102106,11.49531613706047,-3,3,matched
H,15,bootstrap,15,CP005,95,07-05,93,11.063964410194734,5.866678897890182,-2,2,strict
H,15,bootstrap,15,CP006,115,07-25,116,38.71266535533378,37.5945406755576,1,1,strict
H,15,bootstrap,15,CP007,129,08-08,129,23.062097941185822,21.97424468909306,0,0,strict
H,15,bootstrap,15,CP008,155,09-03,158,36.02670521244854,34.16806452724602,3,3,matched
H,16,bootstrap,16,CP001,19,04-20,32,26.164099113394585,21.20604377029599,13,13,no_match
H,16,bootstrap,16,CP002,35,05-06,32,26.164099113394585,21.20604377029599,-3,3,matched
H,16,bootstrap,16,CP003,57,05-28,58,6.091639577289467,2.8958776226815774,1,1,strict
H,16,bootstrap,16,CP004,77,06-17,74,13.289706637135954,6.4771906688669585,-3,3,matched
H,16,bootstrap,16,CP005,95,07-05,96,13.737331154713981,7.933339477346083,1,1,strict
H,16,bootstrap,16,CP006,115,07-25,115,41.289664680739975,39.9761364828665,0,0,strict
H,16,bootstrap,16,CP007,129,08-08,129,27.377580843550945,25.99116253564184,0,0,strict
H,16,bootstrap,16,CP008,155,09-03,155,30.26053108221401,29.32636708571788,0,0,strict
H,17,bootstrap,17,CP001,19,04-20,19,16.700727621019542,2.850441651938457,0,0,strict
H,17,bootstrap,17,CP002,35,05-06,32,8.161374342056796,0.4675651619861627,-3,3,matched
H,17,bootstrap,17,CP003,57,05-28,57,4.9921895380042525,0.8512036383789647,0,0,strict
H,17,bootstrap,17,CP004,77,06-17,78,16.392103899240453,12.104065540845282,1,1,strict
H,17,bootstrap,17,CP005,95,07-05,94,11.889443914367577,7.484435232179385,-1,1,strict
H,17,bootstrap,17,CP006,115,07-25,114,40.01202587800656,39.82238468400792,-1,1,strict
H,17,bootstrap,17,CP007,129,08-08,132,8.724198945698534,7.5709577635330785,3,3,matched
H,17,bootstrap,17,CP008,155,09-03,155,15.495376708637195,15.104437389798365,0,0,strict
H,18,bootstrap,18,CP001,19,04-20,19,29.35785370332257,14.74861064299592,0,0,strict
H,18,bootstrap,18,CP002,35,05-06,35,9.51197186886174,5.658499416058644,0,0,strict
H,18,bootstrap,18,CP003,57,05-28,50,3.185277952761453,1.0613085968874016,-7,7,near
H,18,bootstrap,18,CP004,77,06-17,76,13.983724977072711,11.03394209124307,-1,1,strict
H,18,bootstrap,18,CP005,95,07-05,95,21.473127321292527,17.80014728594359,0,0,strict
H,18,bootstrap,18,CP006,115,07-25,118,44.81396325525048,42.70953609228822,3,3,matched
H,18,bootstrap,18,CP007,129,08-08,133,13.180651345263737,11.372688021832019,4,4,matched
H,18,bootstrap,18,CP008,155,09-03,158,0.89092898051889,0.5361638040572447,3,3,matched
H,19,bootstrap,19,CP001,19,04-20,18,8.948609066993917,2.4174614603516993,-1,1,strict
H,19,bootstrap,19,CP002,35,05-06,34,14.956112366273336,8.720317839282163,-1,1,strict
H,19,bootstrap,19,CP003,57,05-28,77,13.638496425249862,8.537752417261062,20,20,no_match
H,19,bootstrap,19,CP004,77,06-17,77,13.638496425249862,8.537752417261062,0,0,strict
H,19,bootstrap,19,CP005,95,07-05,95,23.87077216121822,22.06914069355672,0,0,strict
H,19,bootstrap,19,CP006,115,07-25,116,37.436667286801054,37.078417993971854,1,1,strict
H,19,bootstrap,19,CP007,129,08-08,129,6.284605444533113,5.8176104442971805,0,0,strict
H,19,bootstrap,19,CP008,155,09-03,154,29.84453519604126,28.799505114207246,-1,1,strict
H,20,bootstrap,20,CP001,19,04-20,41,5.299726777782782,2.181623213893963,22,22,no_match
H,20,bootstrap,20,CP002,35,05-06,41,5.299726777782782,2.181623213893963,6,6,near
H,20,bootstrap,20,CP003,57,05-28,55,3.6768086973558236,1.3442845272432717,-2,2,strict
H,20,bootstrap,20,CP004,77,06-17,76,18.80303684519337,15.811023176208257,-1,1,strict
H,20,bootstrap,20,CP005,95,07-05,109,39.487106789881814,37.800001060369986,14,14,no_match
H,20,bootstrap,20,CP006,115,07-25,109,39.487106789881814,37.800001060369986,-6,6,near
H,20,bootstrap,20,CP007,129,08-08,127,3.9146966983788998,2.97942865491136,-2,2,strict
H,20,bootstrap,20,CP008,155,09-03,155,16.703976175428625,16.204561609166458,0,0,strict
H,21,bootstrap,21,CP001,19,04-20,19,28.676705704945583,6.7655309032726585,0,0,strict
H,21,bootstrap,21,CP002,35,05-06,33,19.37076343262406,4.804875348933058,-2,2,strict
H,21,bootstrap,21,CP003,57,05-28,76,20.084520295590963,18.11370609290381,19,19,no_match
H,21,bootstrap,21,CP004,77,06-17,76,20.084520295590963,18.11370609290381,-1,1,strict
H,21,bootstrap,21,CP005,95,07-05,110,34.72995360794664,34.28474873904338,15,15,no_match
H,21,bootstrap,21,CP006,115,07-25,110,34.72995360794664,34.28474873904338,-5,5,matched
H,21,bootstrap,21,CP007,129,08-08,142,5.60996318866426,2.1347263899023075,13,13,no_match
H,21,bootstrap,21,CP008,155,09-03,156,8.036323233599106,0.06553463780625624,1,1,strict
H,22,bootstrap,22,CP001,19,04-20,16,23.995352323766607,1.8405169256062273,-3,3,matched
H,22,bootstrap,22,CP002,35,05-06,33,11.708154874700863,3.8257779421201352,-2,2,strict
H,22,bootstrap,22,CP003,57,05-28,55,9.719924311964483,6.32372758968802,-2,2,strict
H,22,bootstrap,22,CP004,77,06-17,79,19.596659006620733,9.252749938167504,2,2,strict
H,22,bootstrap,22,CP005,95,07-05,92,43.6912490497261,43.1832792595893,-3,3,matched
H,22,bootstrap,22,CP006,115,07-25,115,25.91243258931208,25.267441561522233,0,0,strict
H,22,bootstrap,22,CP007,129,08-08,127,0.9199313400440015,0.15690520456315138,-2,2,strict
H,22,bootstrap,22,CP008,155,09-03,155,20.08695503216036,18.96637173643498,0,0,strict
H,23,bootstrap,23,CP001,19,04-20,19,13.63252484608936,5.513011657437419,0,0,strict
H,23,bootstrap,23,CP002,35,05-06,37,10.843483910320755,4.647158308439945,2,2,strict
H,23,bootstrap,23,CP003,57,05-28,77,18.68725808193686,17.983074275745054,20,20,no_match
H,23,bootstrap,23,CP004,77,06-17,77,18.68725808193686,17.983074275745054,0,0,strict
H,23,bootstrap,23,CP005,95,07-05,94,8.306384314981027,2.514212413143067,-1,1,strict
H,23,bootstrap,23,CP006,115,07-25,115,58.89490221226307,58.41111621071027,0,0,strict
H,23,bootstrap,23,CP007,129,08-08,127,8.399341754208418,7.233426913285882,-2,2,strict
H,23,bootstrap,23,CP008,155,09-03,154,26.55236121052987,25.704846121971375,-1,1,strict
H,24,bootstrap,24,CP001,19,04-20,20,22.562655692952696,12.007883087213694,1,1,strict
H,24,bootstrap,24,CP002,35,05-06,34,14.063571437973922,2.2964392477424873,-1,1,strict
H,24,bootstrap,24,CP003,57,05-28,56,9.249356513247193,7.031659902450088,-1,1,strict
