object,peak_id,peak_day,peak_score,peak_prominence,peak_rank,source_type
P,LP005,82,59.21762425438138,57.01919573862771,1,local_peak
P,LP006,95,33.259216108942724,2.697079011936019,2,local_peak
P,LP007,113,26.616812351441734,13.671071573827309,3,local_peak
P,LP003,45,26.563465838769993,23.644273666339963,4,local_peak
P,LP010,158,21.186921722771807,15.203520896940669,5,local_peak
P,LP004,65,17.206599258152806,1.8098269116812347,6,local_peak
P,LP002,34,13.170076876576445,0.055415345836280494,7,local_peak
P,LP008,126,5.946778876241709,2.2733764861211645,8,local_peak
P,LP009,138,5.071550450487186,1.9478064100064794,9,local_peak
P,LP001,18,4.698734265329099,0.2983249254912179,10,local_peak
