feature_index,object_name,lat_value
0,P,15.0
1,P,17.0
2,P,19.0
3,P,21.0
4,P,23.0
5,P,25.0
6,P,27.0
7,P,29.0
8,P,31.0
9,P,33.0
10,P,35.0
11,P,37.0
12,P,39.0
