variable_name,valid_count,nan_count,valid_ratio,mean,std,min,max
P_main_band_share,8055,180,0.9781420765027322,0.3962862144450932,0.1786067462468144,0.02461998082055202,0.9150835227479824
P_south_band_share_18_24,8055,180,0.9781420765027322,0.23522467431264277,0.11523233061858662,0.013750413277543897,0.6573152343834849
P_main_minus_south,8055,180,0.9781420765027322,0.16106154013245041,0.25558295130109104,-0.5961014905860107,0.8773173218190116
P_spread_lat,8055,180,0.9781420765027322,7.355550763817135,1.322478184938756,3.583138917094534,11.635180896273424
P_north_band_share_35_45,8055,180,0.9781420765027322,0.11875189329245969,0.07549166999153818,0.0005769689225766703,0.49077693291008606
P_north_minus_main_35_45,8055,180,0.9781420765027322,-0.24101593398748042,0.19258611074981777,-0.880896062570026,0.3969582632030412
P_total_centroid_lat_10_50,8055,180,0.9781420765027322,25.230898038170395,2.9441519491538206,15.07217465588535,35.179254999721415
V_strength,8055,180,0.9781420765027322,2.1368327958630804,1.70122331252871,-4.462722024454494,6.6449164557047595
V_pos_centroid_lat,7964,271,0.9670916818457802,20.32964854933658,3.3136887192455586,10.0,29.788701611306873
V_NS_diff,8055,180,0.9781420765027322,115.51307052004518,121.08714961776285,-389.1008102709609,425.8997988307537
H_strength,8055,180,0.9781420765027322,5891.29075027466,15.491824130996417,5841.276594563247,5957.788776997121
H_centroid_lat,8055,180,0.9781420765027322,22.96503141260092,6.222511806456079,11.048103221111122,38.96799908916033
H_west_extent_lon,8055,180,0.9781420765027322,125.67700186219739,7.822257926473474,110.25,138.0
H_zonal_width,8055,180,0.9781420765027322,9.978988206083178,5.097782301065842,2.0,29.5
Je_strength,8055,180,0.9781420765027322,38.63057375590446,10.787445302886146,8.44391972253634,77.18618041545969
Je_axis_lat,8055,180,0.9781420765027322,39.293753777529574,5.345769131058212,23.048254310376056,49.41815675070469
Je_meridional_width,8055,180,0.9781420765027322,1.92991930477964,0.8436283588697542,1.0,28.5
Jw_strength,8055,180,0.9781420765027322,36.971474832334515,7.2345909268264315,13.259752225179094,62.21731190811808
Jw_axis_lat,8055,180,0.9781420765027322,38.20114439765321,5.761091139831252,20.619192539134946,49.43084893142876
Jw_meridional_width,8055,180,0.9781420765027322,2.0012725015518313,1.5054030336880737,1.25,29.0
