day,P_main_band_share,P_south_band_share_18_24,P_main_minus_south,P_spread_lat,P_north_band_share_35_45,P_north_minus_main_35_45,P_total_centroid_lat_10_50,V_strength,V_pos_centroid_lat,V_NS_diff,H_strength,H_centroid_lat,H_west_extent_lon,H_zonal_width,Je_strength,Je_axis_lat,Je_meridional_width,Jw_strength,Jw_axis_lat,Jw_meridional_width
14,0.5287247637856619,0.21065946890362994,0.3180652948820318,6.451288165999136,0.08331685863605602,-0.4109571534677022,25.54955763803679,1.2623369950858372,22.135582594429835,109.03838802968792,5884.881166488976,15.800877036334242,121.03333333333333,13.1,53.50943474613309,32.34070580701617,1.8666666666666667,41.80427755127893,28.74919114410075,1.9222222222222223
15,0.5246954986650529,0.21530421264185115,0.30939128602320193,6.410610599967071,0.08054090392143767,-0.4086277023270719,25.554332103010317,1.47301750464495,22.088512531123627,123.59786020994235,5885.045792018313,15.809464719703374,120.9,13.36111111111111,52.67292996600193,31.854770579869914,1.85,41.42088298785318,30.059097319503344,2.3055555555555554
16,0.5374311832229722,0.21137534045680179,0.3260558427661705,6.346235253823722,0.08471405058127855,-0.4165065529701044,25.875052723287943,1.7032403948705008,22.226002596140432,138.86511824200915,5885.138182379064,15.768664309274335,120.6,13.4,51.92459145228471,32.369785592629114,1.9166666666666667,41.13896120474502,30.916948919688114,1.8611111111111112
17,0.5616909030728772,0.20019231960010495,0.36149858347277203,6.3937289268047275,0.09878082093942303,-0.41971710496588965,26.49787759470926,1.9216954614822297,22.420316557423053,150.29886700273656,5885.277370210802,15.872409878656532,121.28333333333333,12.555555555555555,51.33185424346478,32.529786822575595,1.8777777777777778,40.441456625885124,31.589647194000403,2.2888888888888888
18,0.5862900406240329,0.19167322792750652,0.3946168126965264,6.299169523521552,0.10541374117680632,-0.43219451280932863,27.04360737995224,2.1382124751333165,22.36788614459224,161.66624488821031,5885.839933847055,16.019788324090623,121.88333333333334,11.78888888888889,50.21626675054399,32.69436644737495,1.8611111111111112,39.174775173287685,31.13514804233651,3.0166666666666666
19,0.5994595248531512,0.19376457280692871,0.4056949520462224,6.167142268875155,0.10647474928378989,-0.44330029060406956,27.17961382227407,2.1859334029710267,22.079017876801473,159.13672053437105,5886.396189302772,16.10021736290622,122.62222222222222,10.944444444444445,48.94030077658004,34.16624805194551,1.9111111111111112,38.795581482201065,32.05095075206926,1.8777777777777778
20,0.5958168091510908,0.19656971995135136,0.39924708919973945,6.163356267399925,0.10721751212020122,-0.4398096469668274,27.149407725485197,2.0639563021419285,21.95710357140894,147.94890728734487,5886.558762701421,16.125548339191376,122.03888888888889,11.261111111111111,48.42350914645736,34.987542312028964,2.1555555555555554,39.016645976091695,32.54149004389641,1.8388888888888888
21,0.587732644715306,0.20005121579099072,0.38768142892431523,6.152514712118153,0.10484663726946422,-0.43739353430865047,26.94027004495707,1.9406749017413034,21.89912577549883,138.79057688389383,5886.45508765883,16.121027133662633,122.27222222222223,11.294444444444444,48.472381338781,34.82746932804246,1.8666666666666667,39.15207281261209,32.534163020368524,2.338888888888889
22,0.5791892976769175,0.20240549627998083,0.37678380139693674,6.159301904099236,0.10031537514911049,-0.4369484527586106,26.70274490064542,1.8405464713076425,22.182834846705006,133.17665182543388,5886.658368969322,16.18558135080377,122.07777777777778,11.294444444444444,49.08935625619806,34.732394805577236,2.05,39.0261348754642,32.82477896005757,1.8777777777777778
23,0.564692914774412,0.2090499143111147,0.3556430004632973,6.1884307386724675,0.10080161586520345,-0.4226311751695088,26.39985024304373,1.6934091841088152,22.085917668645347,124.6393992339829,5887.027806272516,16.246716071489395,122.23333333333333,10.605555555555556,49.239723242349626,34.339745759609215,1.8611111111111112,39.04562325811659,32.66706606160709,1.8833333333333333
