year,year_index,day,P_main_band_share,P_south_band_share_18_24,P_main_minus_south,P_spread_lat,P_north_band_share_35_45,P_north_minus_main_35_45,P_total_centroid_lat_10_50,V_strength,V_pos_centroid_lat,V_NS_diff,H_strength,H_centroid_lat,H_west_extent_lon,H_zonal_width,Je_strength,Je_axis_lat,Je_meridional_width,Jw_strength,Jw_axis_lat,Jw_meridional_width
1984,5,20,-0.09952108729843978,0.05806643150461854,-0.15758751880305832,0.08897110489760962,-0.0626512042393911,0.011564183397145156,-3.4390514014802243,-0.6918293320671867,-3.981380010242553,-104.23994626532502,-16.064028539730316,-3.5974622653865254,-11.038888888888891,0.48888888888888893,-8.566273927771462,5.199174335500757,-0.40555555555555545,7.080806582654944,-2.9097214320911604,-0.0888888888888888
1984,5,21,-0.15654802820212305,0.04924583316124548,-0.20579386136336852,0.5513198594861706,-0.050400595825823555,0.08463530036087175,-3.761533200115185,-1.1258677247320232,-3.01437835232986,-102.43196980981956,-14.232055915548699,-3.2803383006519304,-11.522222222222226,-1.0444444444444443,-12.991027954907352,-6.688102259992242,-0.6166666666666667,4.8614463589408174,-2.8689883301461236,-0.588888888888889
1984,5,22,-0.15630391419664452,0.04933325937177285,-0.20563717356841743,0.4739647118378292,-0.06633921118246895,0.058100697914073796,-4.438543701841041,-1.4057786354474133,-1.686113488488406,-104.67880913258819,-13.291965252384216,-3.0611173707139745,-11.577777777777783,-2.0444444444444443,-12.92621185949313,-7.117171449081827,-0.2999999999999998,4.059026428767169,-2.8676725388487725,0.12222222222222223
1984,5,23,-0.2555685002083288,0.05574808577239193,-0.3113165859807207,0.7824928629726973,-0.054492050684676795,0.1720628082075224,-4.879513040675224,-1.443136137525109,1.7919901699064091,-98.99952263749017,-14.188703443483973,-2.971570728743961,-11.733333333333334,-1.855555555555556,-13.12721363054932,-6.532162723467529,-0.11111111111111116,3.6290228008481265,-2.248858186055333,-0.1333333333333333
1984,5,24,-0.13713911678189455,0.002403258972846989,-0.13954237575474143,1.034917483874735,-0.007178181983022738,0.11734162440182822,-2.5511381092263825,-0.7393980324857579,1.9509927411176236,-46.39655600698832,-18.08656099793734,-3.227391118703766,-11.105555555555554,-2.3166666666666664,-13.907121184509428,-7.501692368210559,-0.1499999999999999,2.8845874545174865,-2.2186733172603894,-0.13888888888888884
1984,5,25,-0.08008741133124847,0.06270144389950322,-0.1427888552307518,0.3343618413875644,-0.0070299036966492146,0.05831743014559809,-1.5759954819959248,0.03965292968344469,0.1384328621039188,-9.08471491711478,-20.638949903008324,-3.86388674533033,-11.072222222222223,-0.344444444444445,-14.765071159685426,-7.02442204315556,0.11111111111111116,2.1589752151343475,-2.661076080287337,-0.08333333333333326
1984,5,26,-0.12380616107524534,0.11931059385618589,-0.2431167549314312,0.11650471700947485,-0.01717905146036322,0.08607631544532185,-2.05996056126936,0.4348023893908941,-1.8968439557628045,-19.304896857509874,-20.538881683530235,-4.20935443775751,-2.37222222222222,4.53888888888889,-13.743125008321485,-5.811013340894835,-0.09444444444444455,0.8015823877241317,-2.2229715822248757,-0.4166666666666665
1984,5,27,-0.17593993133263902,0.15606184249655386,-0.3320017738291927,-0.10296234201841958,-0.020281875287931336,0.1328820391819373,-2.592502832354679,0.5029107865104885,-3.2051170732616505,-42.797689023785395,-17.62458527218405,-3.763798581891722,2.7388888888888943,2.1944444444444446,-10.164375744218276,-5.980750001276672,-0.10000000000000009,-1.2818981243814136,-2.6963657519853435,-1.5333333333333332
1984,5,28,-0.20958413173556256,0.1800447152405434,-0.38962884697610595,-0.16404103032847672,-0.015446737719390619,0.16672349104404566,-2.9106592313676742,0.5504407402226583,-3.8465875016599007,-56.259533649316865,-14.34181252235976,-3.7942808296222523,2.566666666666663,1.9722222222222214,-5.614732479423644,-5.892931643268657,-0.1166666666666667,-3.510648657707179,-2.6670489579203576,-0.6444444444444444
1984,5,29,-0.27152758099175905,0.19995187106079168,-0.47147945205255076,0.22675724469750946,-0.015912107418990795,0.22201336368499736,-3.4693057533203913,0.294764889117491,-3.5651978945799243,-70.87767802717272,-12.346698948314952,-4.125187480424204,0.7222222222222285,4.85,-3.0742081861623944,-6.19670576749456,0.12777777777777777,-5.028725708607858,-3.052695647027633,-0.5555555555555554
1984,5,30,-0.26847892245455657,0.13492553832153126,-0.40340446077608794,0.6455751072782521,-0.015484177584645153,0.22052340141717078,-3.650964232926615,0.2356254893366163,-2.861194796706421,-68.69979156949368,-11.48362855402047,-4.29054247757959,1.9055555555555515,3.522222222222222,-3.7155690307401628,-6.968276481773152,-0.26111111111111107,-5.540482285634397,-3.73575449919673,-0.12222222222222223
