year,year_index,point_id,reference_day,detected_day,offset,match_type,hit,peak_score
1979,0,LP006,132,136.0,4.0,matched_point,near_hit,29.749484779894427
1980,1,LP006,132,,,no_match,missing,
1981,2,LP006,132,126.0,-6.0,near_support_only,near_hit,21.86525842231496
1982,3,LP006,132,140.0,8.0,near_support_only,near_hit,15.706486056990402
1983,4,LP006,132,127.0,-5.0,near_support_only,near_hit,51.396124745163526
1984,5,LP006,132,135.0,3.0,matched_point,near_hit,22.6434260190726
1985,6,LP006,132,130.0,-2.0,strict_match,exact_hit,16.137115179613044
1986,7,LP006,132,139.0,7.0,near_support_only,near_hit,24.369720300364417
1987,8,LP006,132,130.0,-2.0,strict_match,exact_hit,33.96905528912429
1988,9,LP006,132,137.0,5.0,near_support_only,near_hit,29.12747595206931
1989,10,LP006,132,129.0,-3.0,matched_point,near_hit,31.40385240209426
1990,11,LP006,132,134.0,2.0,strict_match,exact_hit,41.35342300175
1991,12,LP006,132,132.0,0.0,strict_match,exact_hit,22.639466985749646
1992,13,LP006,132,134.0,2.0,strict_match,exact_hit,26.230985154541873
1993,14,LP006,132,,,no_match,missing,
1994,15,LP006,132,124.0,-8.0,near_support_only,near_hit,25.941204098642245
1995,16,LP006,132,,,no_match,missing,
1996,17,LP006,132,136.0,4.0,matched_point,near_hit,15.511350005089515
1997,18,LP006,132,135.0,3.0,matched_point,near_hit,28.10164630281883
1998,19,LP006,132,,,no_match,missing,
1999,20,LP006,132,133.0,1.0,strict_match,exact_hit,24.087999732481478
2000,21,LP006,132,139.0,7.0,near_support_only,near_hit,22.61933073551474
2001,22,LP006,132,133.0,1.0,strict_match,exact_hit,24.573893243385026
2002,23,LP006,132,130.0,-2.0,strict_match,exact_hit,24.928262543343074
2003,24,LP006,132,,,no_match,missing,
2004,25,LP006,132,,,no_match,missing,
2005,26,LP006,132,140.0,8.0,near_support_only,near_hit,20.87271501184611
2006,27,LP006,132,126.0,-6.0,near_support_only,near_hit,19.62094082559141
2007,28,LP006,132,,,no_match,missing,
2008,29,LP006,132,134.0,2.0,strict_match,exact_hit,41.302080334648
2009,30,LP006,132,134.0,2.0,strict_match,exact_hit,52.69133205451611
2010,31,LP006,132,,,no_match,missing,
2011,32,LP006,132,130.0,-2.0,strict_match,exact_hit,27.341788933763198
2012,33,LP006,132,,,no_match,missing,
2013,34,LP006,132,133.0,1.0,strict_match,exact_hit,36.22037811775135
2014,35,LP006,132,131.0,-1.0,strict_match,exact_hit,33.82621768183137
2015,36,LP006,132,130.0,-2.0,strict_match,exact_hit,27.25235831005579
2016,37,LP006,132,130.0,-2.0,strict_match,exact_hit,26.949514202221394
2017,38,LP006,132,139.0,7.0,near_support_only,near_hit,34.141329333402055
2018,39,LP006,132,127.0,-5.0,near_support_only,near_hit,23.096808625803575
2019,40,LP006,132,137.0,5.0,near_support_only,near_hit,37.21549971424185
2020,41,LP006,132,,,no_match,missing,
2021,42,LP006,132,128.0,-4.0,matched_point,near_hit,32.38714663594722
2022,43,LP006,132,,,no_match,missing,
2023,44,LP006,132,124.0,-8.0,near_support_only,near_hit,27.721926231609636
1979,0,RP001,45,42.0,-3.0,matched_point,near_hit,23.893267422185893
1980,1,RP001,45,40.0,-5.0,near_support_only,near_hit,21.03889074558996
1981,2,RP001,45,,,no_match,missing,
1982,3,RP001,45,44.0,-1.0,strict_match,exact_hit,30.824528681697913
1983,4,RP001,45,,,no_match,missing,
1984,5,RP001,45,40.0,-5.0,near_support_only,near_hit,19.24016790570068
1985,6,RP001,45,53.0,8.0,near_support_only,near_hit,22.979090454081685
1986,7,RP001,45,,,no_match,missing,
1987,8,RP001,45,46.0,1.0,strict_match,exact_hit,17.077694474017267
1988,9,RP001,45,,,no_match,missing,
1989,10,RP001,45,,,no_match,missing,
1990,11,RP001,45,41.0,-4.0,matched_point,near_hit,16.76455664248971
1991,12,RP001,45,48.0,3.0,matched_point,near_hit,43.51778573401103
1992,13,RP001,45,48.0,3.0,matched_point,near_hit,25.70603988279949
1993,14,RP001,45,50.0,5.0,near_support_only,near_hit,21.382226819907856
1994,15,RP001,45,38.0,-7.0,near_support_only,near_hit,11.28800743046272
1995,16,RP001,45,,,no_match,missing,
1996,17,RP001,45,52.0,7.0,near_support_only,near_hit,28.275779236115817
1997,18,RP001,45,45.0,0.0,strict_match,exact_hit,38.84315264138908
1998,19,RP001,45,,,no_match,missing,
1999,20,RP001,45,45.0,0.0,strict_match,exact_hit,18.45486825485709
2000,21,RP001,45,52.0,7.0,near_support_only,near_hit,29.803400356856294
2001,22,RP001,45,,,no_match,missing,
2002,23,RP001,45,48.0,3.0,matched_point,near_hit,18.503568978427758
2003,24,RP001,45,52.0,7.0,near_support_only,near_hit,42.98248118041947
2004,25,RP001,45,46.0,1.0,strict_match,exact_hit,23.857287742551613
2005,26,RP001,45,53.0,8.0,near_support_only,near_hit,13.949512629848675
2006,27,RP001,45,52.0,7.0,near_support_only,near_hit,24.485597220295404
2007,28,RP001,45,,,no_match,missing,
2008,29,RP001,45,48.0,3.0,matched_point,near_hit,31.99400455239229
2009,30,RP001,45,40.0,-5.0,near_support_only,near_hit,32.45901784192237
2010,31,RP001,45,,,no_match,missing,
2011,32,RP001,45,,,no_match,missing,
2012,33,RP001,45,41.0,-4.0,matched_point,near_hit,12.939496100559419
2013,34,RP001,45,41.0,-4.0,matched_point,near_hit,20.144520611336468
2014,35,RP001,45,,,no_match,missing,
2015,36,RP001,45,,,no_match,missing,
2016,37,RP001,45,50.0,5.0,near_support_only,near_hit,25.200515799814475
2017,38,RP001,45,43.0,-2.0,strict_match,exact_hit,16.74227476391525
2018,39,RP001,45,41.0,-4.0,matched_point,near_hit,15.660318201752087
2019,40,RP001,45,42.0,-3.0,matched_point,near_hit,11.087331710349586
2020,41,RP001,45,45.0,0.0,strict_match,exact_hit,22.00703007093861
2021,42,RP001,45,46.0,1.0,strict_match,exact_hit,19.386744201466975
2022,43,RP001,45,50.0,5.0,near_support_only,near_hit,12.364869857527575
2023,44,RP001,45,53.0,8.0,near_support_only,near_hit,31.26268724878555
1979,0,RP002,81,78.0,-3.0,matched_point,near_hit,36.2209214859994
1980,1,RP002,81,85.0,4.0,matched_point,near_hit,27.725520144037013
1981,2,RP002,81,80.0,-1.0,strict_match,exact_hit,40.93380650636702
1982,3,RP002,81,82.0,1.0,strict_match,exact_hit,44.713867833185425
1983,4,RP002,81,,,no_match,missing,
1984,5,RP002,81,74.0,-7.0,near_support_only,near_hit,38.16777327147549
1985,6,RP002,81,88.0,7.0,near_support_only,near_hit,24.943419789989754
1986,7,RP002,81,,,no_match,missing,
1987,8,RP002,81,89.0,8.0,near_support_only,near_hit,34.14506443953559
1988,9,RP002,81,,,no_match,missing,
1989,10,RP002,81,76.0,-5.0,near_support_only,near_hit,23.104484522228326
1990,11,RP002,81,74.0,-7.0,near_support_only,near_hit,19.74496694230139
1991,12,RP002,81,88.0,7.0,near_support_only,near_hit,32.63958982410307
1992,13,RP002,81,79.0,-2.0,strict_match,exact_hit,16.82919299479439
1993,14,RP002,81,76.0,-5.0,near_support_only,near_hit,17.460089938085368
1994,15,RP002,81,83.0,2.0,strict_match,exact_hit,32.399639353679234
1995,16,RP002,81,76.0,-5.0,near_support_only,near_hit,23.056453552201624
1996,17,RP002,81,,,no_match,missing,
1997,18,RP002,81,87.0,6.0,near_support_only,near_hit,27.144107646184224
1998,19,RP002,81,85.0,4.0,matched_point,near_hit,33.15069925227208
1999,20,RP002,81,,,no_match,missing,
2000,21,RP002,81,,,no_match,missing,
2001,22,RP002,81,89.0,8.0,near_support_only,near_hit,21.82010734653609
2002,23,RP002,81,,,no_match,missing,
2003,24,RP002,81,80.0,-1.0,strict_match,exact_hit,40.20082734786133
2004,25,RP002,81,73.0,-8.0,near_support_only,near_hit,15.512118633194449
2005,26,RP002,81,85.0,4.0,matched_point,near_hit,32.74531084541037
2006,27,RP002,81,74.0,-7.0,near_support_only,near_hit,27.98191627922258
2007,28,RP002,81,75.0,-6.0,near_support_only,near_hit,27.76382708761372
2008,29,RP002,81,,,no_match,missing,
2009,30,RP002,81,75.0,-6.0,near_support_only,near_hit,13.96942917292517
2010,31,RP002,81,87.0,6.0,near_support_only,near_hit,21.514546418428534
2011,32,RP002,81,78.0,-3.0,matched_point,near_hit,32.2117106776446
2012,33,RP002,81,82.0,1.0,strict_match,exact_hit,42.824567989952214
2013,34,RP002,81,80.0,-1.0,strict_match,exact_hit,22.589335651927648
2014,35,RP002,81,75.0,-6.0,near_support_only,near_hit,45.17139525491857
2015,36,RP002,81,,,no_match,missing,
2016,37,RP002,81,77.0,-4.0,matched_point,near_hit,32.125107610045724
2017,38,RP002,81,,,no_match,missing,
2018,39,RP002,81,79.0,-2.0,strict_match,exact_hit,37.000608170814075
2019,40,RP002,81,,,no_match,missing,
2020,41,RP002,81,,,no_match,missing,
2021,42,RP002,81,89.0,8.0,near_support_only,near_hit,27.208264000525038
2022,43,RP002,81,79.0,-2.0,strict_match,exact_hit,29.443712402225962
2023,44,RP002,81,,,no_match,missing,
1979,0,RP003,113,113.0,0.0,strict_match,exact_hit,48.11864929843393
1980,1,RP003,113,121.0,8.0,near_support_only,near_hit,27.110546009286168
1981,2,RP003,113,105.0,-8.0,near_support_only,near_hit,27.32022421176658
1982,3,RP003,113,114.0,1.0,strict_match,exact_hit,39.03368154242337
1983,4,RP003,113,106.0,-7.0,near_support_only,near_hit,33.00530972022566
1984,5,RP003,113,,,no_match,missing,
1985,6,RP003,113,111.0,-2.0,strict_match,exact_hit,16.86158996962564
1986,7,RP003,113,117.0,4.0,matched_point,near_hit,39.058178962346034
1987,8,RP003,113,,,no_match,missing,
1988,9,RP003,113,115.0,2.0,strict_match,exact_hit,27.797360344380344
1989,10,RP003,113,115.0,2.0,strict_match,exact_hit,47.936415571203874
1990,11,RP003,113,114.0,1.0,strict_match,exact_hit,26.001540976374436
1991,12,RP003,113,120.0,7.0,near_support_only,near_hit,25.600746345560044
1992,13,RP003,113,,,no_match,missing,
1993,14,RP003,113,110.0,-3.0,matched_point,near_hit,19.72001860411485
1994,15,RP003,113,107.0,-6.0,near_support_only,near_hit,17.352068226455888
1995,16,RP003,113,115.0,2.0,strict_match,exact_hit,18.66432863140547
1996,17,RP003,113,110.0,-3.0,matched_point,near_hit,29.10135758894409
1997,18,RP003,113,109.0,-4.0,matched_point,near_hit,34.9401258831186
1998,19,RP003,113,120.0,7.0,near_support_only,near_hit,21.865346005387238
1999,20,RP003,113,108.0,-5.0,near_support_only,near_hit,26.88167454876831
2000,21,RP003,113,118.0,5.0,near_support_only,near_hit,23.994920765617746
2001,22,RP003,113,,,no_match,missing,
2002,23,RP003,113,106.0,-7.0,near_support_only,near_hit,38.27146972024291
2003,24,RP003,113,116.0,3.0,matched_point,near_hit,19.88173723580581
2004,25,RP003,113,111.0,-2.0,strict_match,exact_hit,29.3094509971342
2005,26,RP003,113,,,no_match,missing,
2006,27,RP003,113,,,no_match,missing,
