window_id,anchor_day,n_pairs,n_pass_95,n_pass_90,n_central_overlap,n_tail_uncertainty,n_field_timing_instability_flags,n_quality_bottleneck,n_loyo_conflict,n_method_resolution_limit_risk,dominant_failure_type,usable_confirmed_edges_95,usable_edges_90_only,candidate_edges_tail_uncertainty,indistinguishable_pairs_central_overlap,window_failure_interpretation,recommended_window_next_action
W002,45,10,0,0,3,7,6,0,0,7,tail_uncertainty,none,none,P<V; H<P; P<Je; H<V; H<Je; H<Jw; Jw<Je,P/Jw; V<Je; Jw<V,Most failures are tail-uncertainty failures; direction exists in the distribution center but does not pass 90%.,inspect_tail_samples_and_consider_region_level_progress
W003,81,10,0,0,7,3,6,0,0,3,central_overlap,none,none,H<P; H<Je; H<Jw,V<P; P<Je; P<Jw; H<V; V<Je; V<Jw; Je/Jw,Most failures are central-overlap failures; current whole-field progress does not separate many fields in this window.,accept_indistinguishable_pairs_or_move_to_region_level_only_if_scientifically_needed
W005,113,10,1,2,4,4,8,0,0,4,central_overlap,Jw<V,Jw<H,Jw<P; Je<V; Je<H; Jw<Je,P<V; P<H; Je<P; V/H,Window has accepted 90% edges plus tail-uncertain candidate relations.,keep_confirmed_edges_and_audit_tail_uncertainty
W007,160,10,0,0,4,2,9,4,0,2,quality_bottleneck,none,none,P<V; P<Je,P<Jw; V/Je; Jw<V; Jw<Je,Progress-quality bottlenecks dominate or tie for the dominant limitation; field progress curves should be inspected before interpretation.,inspect_field_progress_quality
