window_id,field_a,field_b,bootstrap_id,delta_b_minus_a,tail_type
W002,P,V,1,0.0,non_positive_tail_against_A_before_B
W002,P,V,5,0.0,non_positive_tail_against_A_before_B
W002,P,V,8,0.0,non_positive_tail_against_A_before_B
W002,P,V,10,0.0,non_positive_tail_against_A_before_B
W002,P,V,15,0.0,non_positive_tail_against_A_before_B
W002,P,V,17,0.0,non_positive_tail_against_A_before_B
W002,P,V,19,0.0,non_positive_tail_against_A_before_B
W002,P,V,25,-1.0,non_positive_tail_against_A_before_B
W002,P,V,28,0.0,non_positive_tail_against_A_before_B
W002,P,V,33,0.0,non_positive_tail_against_A_before_B
W002,P,V,41,0.0,non_positive_tail_against_A_before_B
W002,P,V,50,0.0,non_positive_tail_against_A_before_B
W002,P,V,52,0.0,non_positive_tail_against_A_before_B
W002,P,V,53,0.0,non_positive_tail_against_A_before_B
W002,P,V,55,0.0,non_positive_tail_against_A_before_B
W002,P,V,56,0.0,non_positive_tail_against_A_before_B
W002,P,V,65,0.0,non_positive_tail_against_A_before_B
W002,P,V,76,-2.0,non_positive_tail_against_A_before_B
W002,P,V,83,0.0,non_positive_tail_against_A_before_B
W002,P,V,99,0.0,non_positive_tail_against_A_before_B
W002,P,V,105,0.0,non_positive_tail_against_A_before_B
W002,P,V,108,0.0,non_positive_tail_against_A_before_B
W002,P,V,113,0.0,non_positive_tail_against_A_before_B
W002,P,V,115,0.0,non_positive_tail_against_A_before_B
W002,P,V,121,0.0,non_positive_tail_against_A_before_B
W002,P,V,122,0.0,non_positive_tail_against_A_before_B
W002,P,V,128,-2.0,non_positive_tail_against_A_before_B
W002,P,V,130,-1.0,non_positive_tail_against_A_before_B
W002,P,V,133,0.0,non_positive_tail_against_A_before_B
W002,P,V,134,0.0,non_positive_tail_against_A_before_B
W002,P,V,136,0.0,non_positive_tail_against_A_before_B
W002,P,V,140,0.0,non_positive_tail_against_A_before_B
W002,P,V,142,0.0,non_positive_tail_against_A_before_B
W002,P,V,147,0.0,non_positive_tail_against_A_before_B
W002,P,V,150,-1.0,non_positive_tail_against_A_before_B
W002,P,V,151,-1.0,non_positive_tail_against_A_before_B
W002,P,V,157,0.0,non_positive_tail_against_A_before_B
W002,P,V,160,0.0,non_positive_tail_against_A_before_B
W002,P,V,161,0.0,non_positive_tail_against_A_before_B
W002,P,V,162,0.0,non_positive_tail_against_A_before_B
W002,P,V,163,-1.0,non_positive_tail_against_A_before_B
W002,P,V,165,0.0,non_positive_tail_against_A_before_B
W002,P,V,168,0.0,non_positive_tail_against_A_before_B
W002,P,V,184,-2.0,non_positive_tail_against_A_before_B
W002,P,V,186,-1.0,non_positive_tail_against_A_before_B
W002,P,V,188,-1.0,non_positive_tail_against_A_before_B
W002,P,V,190,0.0,non_positive_tail_against_A_before_B
W002,P,V,195,-1.0,non_positive_tail_against_A_before_B
W002,P,V,196,-1.0,non_positive_tail_against_A_before_B
W002,P,V,198,0.0,non_positive_tail_against_A_before_B
W002,P,V,202,0.0,non_positive_tail_against_A_before_B
W002,P,V,205,0.0,non_positive_tail_against_A_before_B
W002,P,V,207,0.0,non_positive_tail_against_A_before_B
W002,P,V,208,-2.0,non_positive_tail_against_A_before_B
W002,P,V,214,0.0,non_positive_tail_against_A_before_B
W002,P,V,224,-1.0,non_positive_tail_against_A_before_B
W002,P,V,226,0.0,non_positive_tail_against_A_before_B
W002,P,V,228,0.0,non_positive_tail_against_A_before_B
W002,P,V,235,0.0,non_positive_tail_against_A_before_B
W002,P,V,246,-2.0,non_positive_tail_against_A_before_B
W002,P,V,247,-1.0,non_positive_tail_against_A_before_B
W002,P,V,254,-1.0,non_positive_tail_against_A_before_B
W002,P,V,259,0.0,non_positive_tail_against_A_before_B
W002,P,V,275,0.0,non_positive_tail_against_A_before_B
W002,P,V,279,0.0,non_positive_tail_against_A_before_B
W002,P,V,285,-1.0,non_positive_tail_against_A_before_B
W002,P,V,287,0.0,non_positive_tail_against_A_before_B
W002,P,V,288,0.0,non_positive_tail_against_A_before_B
W002,P,V,292,0.0,non_positive_tail_against_A_before_B
W002,P,V,295,0.0,non_positive_tail_against_A_before_B
W002,P,V,296,-1.0,non_positive_tail_against_A_before_B
W002,P,V,299,-1.0,non_positive_tail_against_A_before_B
