day,field,score
14,P,4.400409339837881
15,P,4.624876231128891
16,P,4.633617612722337
17,P,4.596128332582877
18,P,4.698734265329099
19,P,4.627286357049675
20,P,4.0901604217348435
21,P,3.411590916371882
22,P,3.0920880814504024
23,P,2.919192172430031
24,P,2.9757658785910523
25,P,3.4490179645195065
26,P,4.294728687263761
27,P,5.253232844084997
28,P,6.174662722672269
29,P,7.100196860497216
30,P,8.389789530196829
31,P,9.815016554538133
32,P,11.145659761972743
33,P,12.462368205611261
34,P,13.170076876576445
35,P,13.114661530740165
36,P,13.15575449419936
37,P,13.809761551829801
38,P,15.011627201822623
39,P,17.080891456966242
40,P,19.606601774515653
41,P,21.79119492278679
42,P,23.51065727098314
43,P,24.99091024803176
44,P,26.249595777159243
45,P,26.563465838769993
46,P,24.791612115879776
47,P,20.931446314397853
48,P,16.08892037930392
49,P,11.20824222418974
50,P,7.393165815863778
51,P,4.783355078776255
52,P,2.8933462785328246
53,P,1.7931582192807323
54,P,1.5953803456584774
55,P,2.0799144253422295
56,P,2.9928667429706213
57,P,3.7408248717407524
58,P,4.206564344173297
59,P,4.748904709708889
60,P,5.970888744511425
61,P,8.161413244438695
62,P,11.043894375736285
63,P,13.974412313273014
64,P,16.25150029251228
65,P,17.206599258152806
66,P,16.442026226089567
67,P,15.652891658139161
68,P,15.396772346471572
69,P,15.603562636796514
70,P,16.519254054800943
71,P,18.615251456416885
72,P,22.354239563128925
73,P,28.01234876973806
74,P,34.430005012433526
75,P,40.62255928180666
76,P,45.725257719434694
77,P,49.44429681814528
78,P,52.333653359340815
79,P,54.95677182721146
80,P,57.09541841398471
81,P,58.71217332743492
82,P,59.21762425438138
83,P,58.00973149781387
84,P,55.83504790998616
85,P,52.70639802808164
86,P,48.87683040567832
87,P,44.62173444681972
88,P,39.976874062524615
89,P,36.251938447045816
90,P,33.413095917496236
91,P,31.270637153828254
92,P,30.562137097006705
93,P,30.702665346380595
94,P,31.94510795982129
95,P,33.259216108942724
96,P,32.994221043483265
97,P,31.677416192088824
98,P,29.902456617930497
99,P,27.51516719871219
100,P,24.64531199323807
101,P,21.611810490018666
102,P,18.50314315134385
103,P,15.772442171278987
104,P,13.740892948490607
105,P,12.945740777614425
106,P,13.455465940622437
107,P,14.710068210967837
108,P,16.69232731530477
109,P,19.532468537395868
110,P,22.61836252400773
111,P,25.13601319028118
112,P,26.589265892094993
113,P,26.616812351441734
114,P,25.430997477767583
115,P,23.211290500824617
116,P,20.29151449874449
117,P,16.49916859590669
118,P,12.54963409782051
119,P,9.193929744315138
120,P,6.415011750851125
121,P,4.440561909888679
122,P,3.673402390120544
123,P,4.114930349490551
124,P,5.063082738573638
125,P,5.803192241952834
126,P,5.946778876241709
127,P,5.6047712228159
128,P,4.976338133502907
129,P,4.418438035861691
130,P,4.01229578232779
131,P,3.472644540900264
132,P,3.123744040480706
133,P,3.1785202058177564
134,P,3.3285695403759714
135,P,3.597728155159995
136,P,4.132054575827651
137,P,4.864621967165027
138,P,5.071550450487186
139,P,4.697837904270265
140,P,4.249051020777699
141,P,3.8144560575975386
142,P,3.2109972201100785
143,P,2.559288599236856
144,P,2.201961555151513
145,P,2.198428515753669
146,P,2.543575497183328
147,P,3.1405372567094716
148,P,3.833110468817182
149,P,5.07149493603472
150,P,7.084108572219209
151,P,9.520710598123664
152,P,12.349912490840335
153,P,14.93534115250964
154,P,17.103740042524826
155,P,18.739719715808558
156,P,20.038379639918126
157,P,21.02810941477442
158,P,21.186921722771807
159,P,19.749519002548524
160,P,17.76029095214629
161,P,15.618548639594898
162,P,13.572455514006393
163,P,11.92922475353723
164,P,10.320547307747235
165,P,8.885666155393693
166,P,7.470763330079012
167,P,6.3463306988578285
168,P,5.983400825831138
14,V,4.689069360033319
15,V,5.101033195704611
16,V,5.335538519795408
17,V,5.272810501572227
18,V,4.950908114829897
19,V,4.3845330545052486
20,V,3.797568801469305
21,V,3.4946978650071223
22,V,3.5091585762373683
23,V,3.692783586566124
24,V,3.942859910022266
25,V,4.265022094404673
26,V,4.738527422782342
27,V,5.312876198471043
28,V,5.957652183946038
29,V,6.6102859603440285
30,V,6.941599316355871
31,V,6.741751054745135
32,V,6.23685485209638
33,V,5.74252157315015
34,V,5.488306559140682
35,V,5.5231952285900725
36,V,5.97766501711585
37,V,6.867710033578259
38,V,8.126451448039939
39,V,9.79089190044655
40,V,11.723371554917993
41,V,13.619042058255335
42,V,15.454294380933383
43,V,17.17299025462375
44,V,18.575540197036105
45,V,19.235007755373612
46,V,18.753834070287763
47,V,17.231841496314843
48,V,15.223386141224116
49,V,13.123626056626083
50,V,10.972375391612863
51,V,8.69287070272132
52,V,6.349150896157054
53,V,4.260674462028415
54,V,2.7155623208435875
55,V,1.9209870931078865
56,V,1.7768464571194142
57,V,2.0186809542074986
58,V,2.4136398197494975
59,V,2.9836851507702806
60,V,4.029921852067707
61,V,5.722740604235266
62,V,7.830137499468828
63,V,10.031855075586051
64,V,12.039528952666217
65,V,13.475085311113489
66,V,14.387973451048428
67,V,15.067933633308899
68,V,15.52234266736076
69,V,15.678308096706484
70,V,15.483832580479003
71,V,15.376277492229582
72,V,15.666766019545522
73,V,16.40613533870948
74,V,17.391488270211497
75,V,18.574462746294607
76,V,19.52154228642429
77,V,20.14945937845848
78,V,20.606371017910877
79,V,20.893911808495147
80,V,20.958436491781047
81,V,20.60992109511487
82,V,19.813936480235007
83,V,18.50567658893936
84,V,16.876986976424295
85,V,14.92834023071871
86,V,12.784746065475893
87,V,10.686603613825113
88,V,8.862263422625851
89,V,7.463613671055438
90,V,6.7579498191746525
91,V,6.913889703464083
92,V,7.882447395766093
93,V,9.180749220866156
94,V,10.254025291210144
95,V,10.70290382054478
96,V,10.428302967570835
97,V,9.638267164645955
98,V,8.620580567302197
99,V,7.415420181661165
100,V,6.115400808223223
101,V,4.910423923142234
102,V,3.9083507680690843
103,V,3.2931147581878255
104,V,3.310156757879513
105,V,4.083709405694646
106,V,5.524400956982682
107,V,7.3658308048829895
108,V,9.380851088340549
109,V,11.699134803640984
110,V,14.277789757541305
111,V,16.650406213534104
112,V,18.494079195534308
113,V,19.59434522224982
114,V,20.004865865386734
115,V,19.743516174760764
116,V,18.926013726039233
117,V,17.878941440245736
118,V,16.6755871013496
119,V,15.352789043376896
120,V,14.26555932340824
121,V,13.507099109014508
122,V,12.779736687982352
123,V,11.806308605857426
124,V,10.505037043596552
125,V,8.96149651115969
126,V,7.17056149794948
127,V,5.285658467481652
128,V,3.927745459460759
129,V,3.3617180024645705
130,V,3.4190251240350555
131,V,3.874254144604839
132,V,4.58666703490997
133,V,5.5031504187055695
134,V,6.653392937766398
135,V,7.837632064477557
136,V,8.498506242322458
137,V,8.277366218978703
138,V,7.554137883974091
139,V,6.7707832662312075
140,V,6.1305428147278604
141,V,5.588357771188993
142,V,5.1089790752996
143,V,4.673339226731834
144,V,4.3633699145939895
145,V,4.257472817570308
146,V,4.384161402889835
147,V,4.953999420495874
148,V,6.060419802693465
149,V,7.378682481401112
150,V,8.59316664770476
151,V,9.905125175237888
152,V,11.801109714904982
153,V,14.729375434145773
154,V,18.565749147048223
155,V,22.37029727573204
156,V,25.227418961709308
157,V,27.139169207696106
158,V,28.818893059905392
159,V,30.857005968908307
160,V,32.95904552211712
161,V,34.08042868585578
162,V,33.59825982364314
163,V,31.582649697346206
164,V,29.00517277605967
165,V,26.62284114777471
166,V,24.428359717363843
167,V,22.46992797355086
168,V,20.733141945033893
14,H,13.485844807453383
15,H,14.658745903228548
16,H,15.758662787648024
17,H,16.707266075316635
18,H,17.550833454525677
19,H,18.08402735192542
20,H,17.76800036369331
21,H,16.442538537983282
22,H,14.61782147815967
23,H,12.813381443550638
24,H,11.139045042133596
25,H,9.735758200987881
26,H,8.643750231614934
27,H,7.887581806376361
28,H,7.452971374901028
29,H,7.391740557848151
30,H,7.748701945639219
31,H,8.376155020388756
32,H,9.05635146451737
33,H,9.65073110730752
34,H,10.048112697425328
35,H,10.10918859242761
36,H,9.766157573926874
37,H,8.994747711942265
38,H,7.824404603741401
39,H,6.339217246253232
40,H,4.76587438338236
41,H,3.3780985969383193
42,H,2.2921681004408727
43,H,1.4852926382610656
44,H,0.94827276664101
45,H,0.6708649510050593
46,H,0.5746600176411749
47,H,0.5764487734934733
48,H,0.6542623819586404
49,H,0.8484935139938596
50,H,1.168880632324901
51,H,1.5143388854078481
52,H,1.8277777592836175
53,H,2.168576863630527
54,H,2.5403301870463695
55,H,2.853548327958142
56,H,3.029478959876314
57,H,3.066305324426809
58,H,2.9855063606041794
59,H,2.828793291951
60,H,2.7309754687758425
61,H,2.7688805332373847
62,H,2.9139712502757074
63,H,3.1202989649057935
64,H,3.388703616741095
65,H,3.7694038052573773
66,H,4.280685153171373
67,H,4.931499107623527
68,H,5.800557331894736
69,H,6.911416450159935
70,H,8.04791025505957
71,H,9.08877036998779
72,H,10.095353460487463
73,H,11.082671441961097
74,H,12.001298240670767
75,H,12.777374006839231
76,H,13.312640589011737
77,H,13.498661553176767
78,H,13.241060062281143
79,H,12.645042336160685
80,H,11.906781007858935
81,H,11.086424097084208
82,H,10.143048281828067
83,H,9.075358969592168
84,H,7.995089720806907
85,H,7.036577395562967
86,H,6.308832465588756
87,H,5.901292114095188
88,H,5.89312378222573
89,H,6.463499920293229
