window_id,window_start_day,window_end_day,window_anchor_day,window_anchor_month_day,field,field_peak_day,field_peak_month_day,relative_to_anchor,field_peak_score,window_median_score,peak_sharpness,second_peak_day,second_peak_score,second_peak_ratio,n_window_score_days,n_high_plateau_days,is_detector_local_peak_day,local_peak_prominence,local_peak_rank,peak_position_label,peak_confidence_label,method
W002,40,48,45,05-16,H,40,05-11,-5,4.76587438338236,0.94827276664101,5.025847573651336,43,1.4852926382610656,0.31165165482329554,9,1,False,,,near_left_edge,edge_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W002,40,48,45,05-16,Je,46,05-17,1,12.201986759874023,10.463693053711147,1.1661262134926977,43,8.58232030548438,0.7033543368287499,9,3,True,9.170480551400946,4.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W002,40,48,45,05-16,Jw,41,05-12,-4,11.770966007882706,10.94054628142348,1.0759029490025775,44,10.94054628142348,0.9294518626675911,9,5,True,9.626541282615204,4.0,near_left_edge,edge_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W002,40,48,45,05-16,P,45,05-16,0,26.563465838769993,23.51065727098314,1.129847861444292,42,23.51065727098314,0.8850749150613016,9,4,True,23.644273666339963,4.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W002,40,48,45,05-16,V,45,05-16,0,19.235007755373612,17.17299025462375,1.120073293595137,42,15.454294380933383,0.8034462256255641,9,3,True,15.74030989036649,4.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W003,75,86,81,06-21,H,77,06-17,-4,13.498661553176767,11.496602552471572,1.1741435342804634,80,11.906781007858935,0.8820712306144753,12,5,True,7.605537770951037,4.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W003,75,86,81,06-21,Je,86,06-26,5,6.121295556100941,5.796210298034853,1.0560858287312842,81,5.948923321784777,0.971840563368262,12,10,False,,,near_right_edge,edge_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W003,75,86,81,06-21,Jw,83,06-23,2,14.807843176914874,13.108068507279892,1.1296739232550523,80,13.58982804331006,0.9177452705939192,12,6,True,7.124378951803968,3.0,inside,multi_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W003,75,86,81,06-21,P,82,06-22,1,59.21762425438138,53.831584927646546,1.1000535156818074,79,54.95677182721146,0.9280475621773249,12,6,True,57.01919573862771,1.0,inside,multi_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W003,75,86,81,06-21,V,80,06-20,-1,20.958436491781047,19.667739383329646,1.0656250870166295,77,20.14945937845848,0.9614008843818187,12,7,True,17.66532173359322,2.0,inside,multi_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W005,107,117,113,07-23,H,115,07-25,2,34.607065236011024,28.10977856347503,1.2311397316013855,112,28.10977856347503,0.8122554851667941,11,4,True,34.03240521836985,1.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W005,107,117,113,07-23,Je,111,07-21,-2,16.652666002833563,15.954546190829195,1.043756795314282,108,15.954546190829195,0.9580775947895923,11,7,True,13.926051816558019,2.0,inside,multi_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W005,107,117,113,07-23,Jw,107,07-17,-6,24.717924468339127,19.549915189674103,1.2643494474796837,110,23.169081002425564,0.9373392588889307,11,4,False,,,near_left_edge,edge_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W005,107,117,113,07-23,P,113,07-23,0,26.616812351441734,22.61836252400773,1.1767789256711199,110,22.61836252400773,0.849777284573394,11,4,True,13.671071573827309,3.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W005,107,117,113,07-23,V,114,07-24,1,20.004865865386734,17.878941440245736,1.1189066160458199,117,17.878941440245736,0.8937296336078233,11,5,True,16.643147862922163,3.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W007,155,164,160,09-08,H,155,09-03,-5,9.746850391531572,3.2101286941668064,3.0362802616738644,158,5.456963500980963,0.559869422610834,10,1,True,9.19946629316152,6.0,near_left_edge,edge_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W007,155,164,160,09-08,Je,162,09-10,2,20.266046161694703,17.569005962922596,1.1535112575215642,159,17.098626751221754,0.8437080728425579,10,4,True,9.530648597165301,1.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W007,155,164,160,09-08,Jw,155,09-03,-5,10.813803603691476,9.167447118479917,1.1795872355666825,158,9.631445444758638,0.8906621386642144,10,3,False,,,near_left_edge,edge_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W007,155,164,160,09-08,P,158,09-06,-2,21.186921722771807,18.250005333977423,1.160926878378852,155,18.739719715808558,0.8844946878558113,10,4,True,15.203520896940669,5.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
W007,155,164,160,09-08,V,161,09-09,1,34.08042868585578,29.93108937248399,1.1386297458717398,164,29.00517277605967,0.8510800448967807,10,5,True,13.347286740821886,1.0,inside,broad_peak,field_only_ruptures_window_score_profile_peak_within_accepted_window
