object,window_id,candidate_id,point_day,is_main_peak,bootstrap_match_fraction_5d
P,W001,CP001,18,True,0.793
P,W002,CP002,34,True,0.6
P,W003,CP003,45,True,0.985
P,W004,CP004,65,True,0.811
P,W005,CP005,82,True,0.916
P,W006,CP006,95,True,0.695
P,W007,CP007,113,True,0.938
P,W008,CP008,126,True,0.839
P,W009,CP009,138,True,0.918
P,W010,CP010,158,True,0.957
V,W001,CP001,16,True,0.589
V,W002,CP002,30,True,0.669
V,W003,CP003,45,True,0.984
V,W004,CP005,80,True,0.901
V,W004,CP004,69,False,0.712
V,W005,CP006,95,True,0.943
V,W006,CP007,114,True,0.933
V,W007,CP008,136,True,0.833
V,W008,CP009,161,True,0.879
H,W001,CP001,19,True,0.784
H,W002,CP002,35,True,0.908
H,W003,CP003,57,True,0.724
H,W004,CP004,77,True,0.942
H,W005,CP005,95,True,0.889
H,W006,CP006,115,True,0.996
H,W007,CP007,129,True,0.887
H,W008,CP008,155,True,0.936
Je,W001,CP001,26,True,0.825
Je,W002,CP002,33,True,0.763
Je,W003,CP003,46,True,0.978
Je,W004,CP004,81,True,0.714
Je,W005,CP005,94,True,0.606
Je,W006,CP006,111,True,0.986
Je,W007,CP007,136,True,0.842
Je,W008,CP008,162,True,0.981
Jw,W001,CP001,41,True,0.913
Jw,W002,CP002,83,True,0.806
Jw,W003,CP003,104,True,0.898
Jw,W004,CP004,130,True,0.923
Jw,W005,CP005,152,True,0.729
