point_id,point_day,bootstrap_local_peak_strict_fraction,bootstrap_local_peak_match_fraction,bootstrap_local_peak_near_fraction,bootstrap_local_peak_no_match_fraction,median_bootstrap_local_peak_matched_peak_score,median_bootstrap_local_peak_abs_offset_days
RP001,45,0.915,0.98,0.02,0.0,6.823666909314939,1.0
RP002,81,0.64,0.875,0.12,0.005,10.484405501365952,2.0
RP003,113,0.84,0.995,0.005,0.0,10.553246050250351,1.0
RP004,135,0.49,0.785,0.2,0.015,5.03279263087153,3.0
RP005,160,0.74,0.905,0.08,0.015,8.311442763490716,2.0
