replicate_id,replicate_kind,replicate_label,point_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
0,bootstrap,0,RP001,45,05-16,44,6.229902609142303,4.1475398337767695,-1,1,strict
0,bootstrap,0,RP002,81,06-21,82,10.613924003306003,7.521145263970898,1,1,strict
0,bootstrap,0,RP003,113,07-23,114,10.715881430147164,8.133987590754547,1,1,strict
0,bootstrap,0,RP004,135,08-14,133,3.1052356391802762,0.24315521877280766,-2,2,strict
0,bootstrap,0,RP005,160,09-08,163,8.74969231338544,2.8550221493886188,3,3,matched
1,bootstrap,1,RP001,45,05-16,43,7.77178922946298,5.841763864708788,-2,2,strict
1,bootstrap,1,RP002,81,06-21,77,13.387272685699102,10.882049149719702,-4,4,matched
1,bootstrap,1,RP003,113,07-23,113,11.45187727770097,8.148557321760972,0,0,strict
1,bootstrap,1,RP004,135,08-14,133,5.117564658934013,2.292485587723567,-2,2,strict
1,bootstrap,1,RP005,160,09-08,161,7.809150808052667,1.0211138596401703,1,1,strict
2,bootstrap,2,RP001,45,05-16,45,7.960635858838331,6.200475967689875,0,0,strict
2,bootstrap,2,RP002,81,06-21,76,10.026331204030843,4.43970267443721,-5,5,near
2,bootstrap,2,RP003,113,07-23,112,11.861810639408718,9.288302797818556,-1,1,strict
2,bootstrap,2,RP004,135,08-14,132,6.591128437916307,2.4978565870331657,-3,3,matched
2,bootstrap,2,RP005,160,09-08,159,4.99535739170474,0.37625545787521375,-1,1,strict
3,bootstrap,3,RP001,45,05-16,45,6.587774617520926,4.084868698874203,0,0,strict
3,bootstrap,3,RP002,81,06-21,84,11.584607952517862,8.945177827456433,3,3,matched
3,bootstrap,3,RP003,113,07-23,110,7.604499738036319,0.6748954822373587,-3,3,matched
3,bootstrap,3,RP004,135,08-14,137,5.279601181319453,2.551007706852552,2,2,strict
3,bootstrap,3,RP005,160,09-08,161,11.567599330021398,5.336923251718796,1,1,strict
4,bootstrap,4,RP001,45,05-16,41,5.015570846416682,3.253894889149427,-4,4,matched
4,bootstrap,4,RP002,81,06-21,82,6.808406931854945,0.11196581414861839,1,1,strict
4,bootstrap,4,RP003,113,07-23,114,12.726232138469758,10.713679110210307,1,1,strict
4,bootstrap,4,RP004,135,08-14,137,6.662563706585314,2.6702500440828,2,2,strict
4,bootstrap,4,RP005,160,09-08,163,10.812173427790338,3.834799446704814,3,3,matched
5,bootstrap,5,RP001,45,05-16,46,4.265562537054566,1.3028615627212567,1,1,strict
5,bootstrap,5,RP002,81,06-21,83,9.922754764146658,6.949392816345511,2,2,strict
5,bootstrap,5,RP003,113,07-23,112,8.138031753106254,2.402756374460095,-1,1,strict
5,bootstrap,5,RP004,135,08-14,139,4.894621340832291,1.6218788303491296,4,4,matched
5,bootstrap,5,RP005,160,09-08,158,7.793892749582007,2.6353224936163375,-2,2,strict
6,bootstrap,6,RP001,45,05-16,44,8.03958545346999,6.1660599352491,-1,1,strict
6,bootstrap,6,RP002,81,06-21,81,10.670441775707053,6.760669617684457,0,0,strict
6,bootstrap,6,RP003,113,07-23,110,12.26084262205866,9.867767067281576,-3,3,matched
6,bootstrap,6,RP004,135,08-14,137,4.156846652089934,1.1998438156552398,2,2,strict
6,bootstrap,6,RP005,160,09-08,161,8.083491864688622,2.9749029009539125,1,1,strict
7,bootstrap,7,RP001,45,05-16,45,6.397941492495352,3.5086500735322788,0,0,strict
7,bootstrap,7,RP002,81,06-21,76,10.537241491033235,7.487571041820441,-5,5,near
7,bootstrap,7,RP003,113,07-23,115,10.554698215779053,7.517591487942925,2,2,strict
7,bootstrap,7,RP004,135,08-14,130,4.91629609351005,1.7928822567575526,-5,5,near
7,bootstrap,7,RP005,160,09-08,164,7.352032595469481,0.9420682827417126,4,4,matched
8,bootstrap,8,RP001,45,05-16,43,4.92838967431383,3.0384051059904142,-2,2,strict
8,bootstrap,8,RP002,81,06-21,81,9.07660118626995,3.530855182397339,0,0,strict
8,bootstrap,8,RP003,113,07-23,112,10.55755108593569,8.538367580109766,-1,1,strict
8,bootstrap,8,RP004,135,08-14,136,4.821334747068958,1.8605790876833925,1,1,strict
8,bootstrap,8,RP005,160,09-08,160,10.040756725331388,5.39216196314367,0,0,strict
9,bootstrap,9,RP001,45,05-16,45,10.907159609830563,8.294997345214668,0,0,strict
9,bootstrap,9,RP002,81,06-21,82,7.880707992882987,5.456085546119662,1,1,strict
9,bootstrap,9,RP003,113,07-23,114,9.365675198880133,7.0452347715311765,1,1,strict
9,bootstrap,9,RP004,135,08-14,137,6.401919385720536,2.58892231335482,2,2,strict
9,bootstrap,9,RP005,160,09-08,156,7.534020863607469,3.6163709447217522,-4,4,matched
10,bootstrap,10,RP001,45,05-16,44,7.500783275679777,4.954888995039774,-1,1,strict
10,bootstrap,10,RP002,81,06-21,80,13.067808638411567,10.920366283307482,-1,1,strict
10,bootstrap,10,RP003,113,07-23,113,11.018218471027794,6.869871658093495,0,0,strict
10,bootstrap,10,RP004,135,08-14,137,3.659551634495715,0.1505479704143795,2,2,strict
10,bootstrap,10,RP005,160,09-08,162,7.594146296841198,2.5399711183339733,2,2,strict
11,bootstrap,11,RP001,45,05-16,45,7.615067446382155,5.135039445842166,0,0,strict
11,bootstrap,11,RP002,81,06-21,82,9.668630349029073,6.227641270246616,1,1,strict
11,bootstrap,11,RP003,113,07-23,113,9.74457276806572,7.8539538625489405,0,0,strict
11,bootstrap,11,RP004,135,08-14,135,5.437647661444426,2.514841442390735,0,0,strict
11,bootstrap,11,RP005,160,09-08,161,9.802042502125836,4.148659761763735,1,1,strict
12,bootstrap,12,RP001,45,05-16,44,7.364348263434719,5.7450477857433215,-1,1,strict
12,bootstrap,12,RP002,81,06-21,79,12.458436545146759,9.843169595326437,-2,2,strict
12,bootstrap,12,RP003,113,07-23,112,9.609724125258007,5.197734009663499,-1,1,strict
