replicate_id,replicate_kind,replicate_label,point_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type,year
0,yearwise,1979,RP001,45,05-16,42,23.893267422185893,16.52890635331581,-3,3,matched,1979
0,yearwise,1979,RP002,81,06-21,78,36.2209214859994,32.30345104845593,-3,3,matched,1979
0,yearwise,1979,RP003,113,07-23,113,48.11864929843393,38.13084383957239,0,0,strict,1979
0,yearwise,1979,RP004,135,08-14,136,29.749484779894427,13.57902056490499,1,1,strict,1979
0,yearwise,1979,RP005,160,09-08,151,14.816582728449397,2.608900801016672,-9,9,no_match,1979
1,yearwise,1980,RP001,45,05-16,40,21.03889074558996,11.77741232311945,-5,5,near,1980
1,yearwise,1980,RP002,81,06-21,85,27.725520144037013,20.989137967564012,4,4,matched,1980
1,yearwise,1980,RP003,113,07-23,107,16.645742160468878,3.787621350585791,-6,6,near,1980
1,yearwise,1980,RP004,135,08-14,134,16.333801706152983,4.300138624217201,-1,1,strict,1980
1,yearwise,1980,RP005,160,09-08,158,29.172472608423586,21.055894303882486,-2,2,strict,1980
2,yearwise,1981,RP001,45,05-16,42,17.300190060280883,1.0694781725485036,-3,3,matched,1981
2,yearwise,1981,RP002,81,06-21,80,40.93380650636702,31.938745734539552,-1,1,strict,1981
2,yearwise,1981,RP003,113,07-23,120,20.56851904634119,0.2093368639728972,7,7,near,1981
2,yearwise,1981,RP004,135,08-14,126,21.86525842231496,11.889609132259437,-9,9,no_match,1981
2,yearwise,1981,RP005,160,09-08,160,41.133336400465936,27.932961470794858,0,0,strict,1981
3,yearwise,1982,RP001,45,05-16,44,30.824528681697913,20.392994102507075,-1,1,strict,1982
3,yearwise,1982,RP002,81,06-21,82,44.713867833185425,36.3019213007657,1,1,strict,1982
3,yearwise,1982,RP003,113,07-23,114,39.03368154242337,32.62916987878296,1,1,strict,1982
3,yearwise,1982,RP004,135,08-14,140,15.706486056990402,1.7680563660782287,5,5,near,1982
3,yearwise,1982,RP005,160,09-08,158,17.754072797937187,11.176201453949197,-2,2,strict,1982
4,yearwise,1983,RP001,45,05-16,45,9.789719154147967,0.34922200348251664,0,0,strict,1983
4,yearwise,1983,RP002,81,06-21,82,15.212492225952136,6.621798222446145,1,1,strict,1983
4,yearwise,1983,RP003,113,07-23,116,25.51221797682083,3.2835994827033304,3,3,matched,1983
4,yearwise,1983,RP004,135,08-14,139,27.3320043956046,10.641179716616232,4,4,matched,1983
4,yearwise,1983,RP005,160,09-08,150,14.932860206983005,0.37461188604737217,-10,10,no_match,1983
5,yearwise,1984,RP001,45,05-16,40,19.24016790570068,12.978222728191454,-5,5,near,1984
5,yearwise,1984,RP002,81,06-21,74,38.16777327147549,31.465007512922554,-7,7,near,1984
5,yearwise,1984,RP003,113,07-23,122,21.626694099604734,8.734744668992292,9,9,no_match,1984
5,yearwise,1984,RP004,135,08-14,135,22.6434260190726,8.357979483756093,0,0,strict,1984
5,yearwise,1984,RP005,160,09-08,163,36.46429777946739,5.018428916302547,3,3,matched,1984
6,yearwise,1985,RP001,45,05-16,45,19.32236287687666,5.043867860813123,0,0,strict,1985
6,yearwise,1985,RP002,81,06-21,82,21.149485948062015,0.2821772636638187,1,1,strict,1985
6,yearwise,1985,RP003,113,07-23,111,16.86158996962564,5.840552951650917,-2,2,strict,1985
6,yearwise,1985,RP004,135,08-14,130,16.137115179613044,9.129146633608535,-5,5,near,1985
6,yearwise,1985,RP005,160,09-08,156,16.586630768597168,0.36479093191049117,-4,4,matched,1985
7,yearwise,1986,RP001,45,05-16,43,16.020646455585506,5.759145475063274,-2,2,strict,1986
7,yearwise,1986,RP002,81,06-21,76,14.681619276951466,0.5994959252694549,-5,5,near,1986
7,yearwise,1986,RP003,113,07-23,117,39.058178962346034,29.604898505875433,4,4,matched,1986
7,yearwise,1986,RP004,135,08-14,139,24.369720300364417,13.52772823203615,4,4,matched,1986
7,yearwise,1986,RP005,160,09-08,155,32.06027606839001,10.847709726076747,-5,5,near,1986
8,yearwise,1987,RP001,45,05-16,46,17.077694474017267,9.849692207489177,1,1,strict,1987
8,yearwise,1987,RP002,81,06-21,78,19.504687371999097,9.39789040098401,-3,3,matched,1987
8,yearwise,1987,RP003,113,07-23,109,20.300031952411132,4.92941506032275,-4,4,matched,1987
8,yearwise,1987,RP004,135,08-14,138,20.454493122180345,0.3927746557651872,3,3,matched,1987
8,yearwise,1987,RP005,160,09-08,154,38.403668250976345,25.209877903678713,-6,6,near,1987
9,yearwise,1988,RP001,45,05-16,55,29.17417504109038,11.037556091798244,10,10,no_match,1988
9,yearwise,1988,RP002,81,06-21,90,30.74424014772305,16.533224856250282,9,9,no_match,1988
9,yearwise,1988,RP003,113,07-23,115,27.797360344380344,20.390866064266664,2,2,strict,1988
9,yearwise,1988,RP004,135,08-14,137,29.12747595206931,23.139580741045705,2,2,strict,1988
9,yearwise,1988,RP005,160,09-08,159,22.158391616929688,2.7153175632695437,-1,1,strict,1988
10,yearwise,1989,RP001,45,05-16,43,10.633958016783325,0.5014757028183254,-2,2,strict,1989
10,yearwise,1989,RP002,81,06-21,76,23.104484522228326,18.582409840051884,-5,5,near,1989
10,yearwise,1989,RP003,113,07-23,115,47.936415571203874,42.09006627181267,2,2,strict,1989
10,yearwise,1989,RP004,135,08-14,129,31.40385240209426,23.8086674363421,-6,6,near,1989
10,yearwise,1989,RP005,160,09-08,157,38.22207341444475,24.68428382761614,-3,3,matched,1989
11,yearwise,1990,RP001,45,05-16,41,16.76455664248971,6.305231632220128,-4,4,matched,1990
11,yearwise,1990,RP002,81,06-21,74,19.74496694230139,15.145902703286556,-7,7,near,1990
11,yearwise,1990,RP003,113,07-23,114,26.001540976374436,10.972693593145621,1,1,strict,1990
11,yearwise,1990,RP004,135,08-14,134,41.35342300175,35.355848365463395,-1,1,strict,1990
11,yearwise,1990,RP005,160,09-08,156,15.318012560830052,0.4932070109628981,-4,4,matched,1990
12,yearwise,1991,RP001,45,05-16,48,43.51778573401103,37.136306279055304,3,3,matched,1991
12,yearwise,1991,RP002,81,06-21,77,20.1156806334661,7.773617579931511,-4,4,matched,1991
12,yearwise,1991,RP003,113,07-23,120,25.600746345560044,17.862997599840558,7,7,near,1991
12,yearwise,1991,RP004,135,08-14,132,22.639466985749646,12.386112467738556,-3,3,matched,1991
12,yearwise,1991,RP005,160,09-08,162,15.795725931534474,5.224493137267993,2,2,strict,1991
13,yearwise,1992,RP001,45,05-16,48,25.70603988279949,16.24414880975634,3,3,matched,1992
13,yearwise,1992,RP002,81,06-21,79,16.82919299479439,4.965912586872385,-2,2,strict,1992
13,yearwise,1992,RP003,113,07-23,109,26.921306174890177,10.575144984146156,-4,4,matched,1992
13,yearwise,1992,RP004,135,08-14,134,26.230985154541873,16.28543630478113,-1,1,strict,1992
13,yearwise,1992,RP005,160,09-08,157,27.359863822557124,16.827359012329865,-3,3,matched,1992
14,yearwise,1993,RP001,45,05-16,50,21.382226819907856,14.27190761269096,5,5,near,1993
14,yearwise,1993,RP002,81,06-21,76,17.460089938085368,11.579541760635738,-5,5,near,1993
14,yearwise,1993,RP003,113,07-23,110,19.72001860411485,11.436378599113663,-3,3,matched,1993
14,yearwise,1993,RP004,135,08-14,133,23.040004686804174,16.648274470182276,-2,2,strict,1993
14,yearwise,1993,RP005,160,09-08,161,21.386576267492575,15.580657619999766,1,1,strict,1993
15,yearwise,1994,RP001,45,05-16,38,11.28800743046272,5.678523903820155,-7,7,near,1994
15,yearwise,1994,RP002,81,06-21,83,32.399639353679234,26.532538829843514,2,2,strict,1994
15,yearwise,1994,RP003,113,07-23,107,17.352068226455888,6.554437155208667,-6,6,near,1994
15,yearwise,1994,RP004,135,08-14,134,20.80956821223818,4.5142202881032,-1,1,strict,1994
15,yearwise,1994,RP005,160,09-08,164,21.780788228116432,6.703791484019144,4,4,matched,1994
16,yearwise,1995,RP001,45,05-16,44,27.577166225834038,6.415231082313003,-1,1,strict,1995
16,yearwise,1995,RP002,81,06-21,76,23.056453552201624,16.070510845525003,-5,5,near,1995
16,yearwise,1995,RP003,113,07-23,115,18.66432863140547,9.96454960512975,2,2,strict,1995
16,yearwise,1995,RP004,135,08-14,144,17.869378042614272,2.9682231511240964,9,9,no_match,1995
16,yearwise,1995,RP005,160,09-08,164,50.764710180316314,25.769353733558944,4,4,matched,1995
17,yearwise,1996,RP001,45,05-16,39,18.6394252791196,9.5471979294027,-6,6,near,1996
17,yearwise,1996,RP002,81,06-21,74,15.996878744000512,6.160372390382726,-7,7,near,1996
17,yearwise,1996,RP003,113,07-23,110,29.10135758894409,19.483741856475557,-3,3,matched,1996
17,yearwise,1996,RP004,135,08-14,136,15.511350005089515,5.219467464606055,1,1,strict,1996
17,yearwise,1996,RP005,160,09-08,157,21.467512913601944,9.516760676899494,-3,3,matched,1996
18,yearwise,1997,RP001,45,05-16,45,38.84315264138908,30.440272505874905,0,0,strict,1997
18,yearwise,1997,RP002,81,06-21,87,27.144107646184224,14.639520289188646,6,6,near,1997
18,yearwise,1997,RP003,113,07-23,109,34.9401258831186,22.736233249294457,-4,4,matched,1997
18,yearwise,1997,RP004,135,08-14,135,28.10164630281883,9.439828818945823,0,0,strict,1997
18,yearwise,1997,RP005,160,09-08,161,26.025108822660265,2.4415421438729297,1,1,strict,1997
