window,family,n_indices,n_strong,n_moderate,n_weak_but_usable,n_high_risk,n_not_supported,n_usable,best_index,best_index_score,best_index_tier,family_collapse_risk,recommended_use,guardrail_interpretation
S1,P,7,7,0,0,0,0,7,P_total_centroid_lat_10_50,0.9915758324744184,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S1,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S1,H,4,3,1,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S1,Je,3,2,0,1,0,0,3,Je_axis_lat,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S1,Jw,3,2,1,0,0,0,3,Jw_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T1,P,7,7,0,0,0,0,7,P_main_band_share,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T1,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T1,H,4,3,1,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T1,Je,3,2,1,0,0,0,3,Je_axis_lat,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T1,Jw,3,2,1,0,0,0,3,Jw_axis_lat,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S2,P,7,7,0,0,0,0,7,P_total_centroid_lat_10_50,0.9724294843403893,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S2,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S2,H,4,3,1,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S2,Je,3,2,1,0,0,0,3,Je_axis_lat,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S2,Jw,3,2,1,0,0,0,3,Jw_axis_lat,0.9777679075330277,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T2,P,7,7,0,0,0,0,7,P_main_band_share,0.9805690252288457,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T2,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T2,H,4,4,0,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T2,Je,3,2,1,0,0,0,3,Je_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T2,Jw,3,2,1,0,0,0,3,Jw_axis_lat,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S3,P,7,7,0,0,0,0,7,P_main_band_share,0.9591815529025678,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S3,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S3,H,4,4,0,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S3,Je,3,2,1,0,0,0,3,Je_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S3,Jw,3,2,1,0,0,0,3,Jw_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T3,P,7,7,0,0,0,0,7,P_main_band_share,0.978112719728031,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T3,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T3,H,4,3,1,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T3,Je,3,2,1,0,0,0,3,Je_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T3,Jw,3,2,1,0,0,0,3,Jw_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S4,P,7,7,0,0,0,0,7,P_main_band_share,0.9127006439259047,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S4,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S4,H,4,4,0,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S4,Je,3,2,1,0,0,0,3,Je_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S4,Jw,3,2,1,0,0,0,3,Jw_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
