window,family,index_name,field_name,kind,expected_meaning,expected_type,expected_note,n_samples,n_high_samples,n_low_samples,high_threshold,low_threshold,expected_contrast,expected_contrast_z,expected_sign_pass,composite_effect_size,field_r2_weighted,eof_alignment_max_abs_corr,eof_alignment_best_pc,eof_cumulative_variance_topk,eof_status,bootstrap_pattern_corr_median,bootstrap_pattern_positive_rate,bootstrap_valid_reps,composite_score_0_1,field_r2_score_0_1,eof_alignment_score_0_1,bootstrap_score_0_1,overall_score,representativeness_tier,risk_flag
S1,P,P_main_band_share,precip,band_share,Main rain-band share: Main(24-35N)/Total(10-40N),main_gt_other,expected main-band positive relative to south-band,1665,417,417,0.6792156921285186,0.4389330764761661,7.003792920713975,1.912632623334788,True,1.1156323841130198,0.1029143668671302,0.8025635840558936,1,0.4980946528265422,ok,0.9912659090389628,1.0,200,1.0,0.8576197238927517,1.0,1.0,0.9715239447785504,strong,low
S1,P,P_south_band_share_18_24,precip,band_share,South rain-band share: South(18-24N)/Total(10-40N),south_gt_main,expected south-band positive relative to main-band,1665,417,417,0.2806395963687113,0.1247210483910645,6.916476543894868,2.1781863754769066,True,0.967407045019194,0.07483409250484863,0.8049169119882118,2,0.4980946528265422,ok,0.9905942726190834,1.0,200,1.0,0.6236174375404052,1.0,1.0,0.924723487508081,strong,low
S1,P,P_main_minus_south,precip,band_difference,Main-band minus south-band share,main_gt_south,expected main-band positive relative to south-band,1665,417,417,0.5333248648376983,0.1665298986066013,7.837394043905999,2.178772315816906,True,1.0959208984370203,0.09796085920296686,0.6541048651642917,1,0.4980946528265422,ok,0.9915473969793518,1.0,200,1.0,0.8163404933580573,1.0,1.0,0.9632680986716113,strong,low
S1,P,P_spread_lat,precip,spread,Latitudinal spread of precipitation over 10-40N,spread_like,spread-like index; use absolute edge-vs-center contrast,1665,417,417,7.111423083280452,5.49041110530714,1.5085445666714528,0.6176624007067886,True,0.7440915187374157,0.042432511228845865,0.5041820096749742,1,0.4980946528265422,ok,0.985711922074803,1.0,200,0.7,0.3536042602403822,0.9166945630454075,1.0,0.7448944928094283,strong,low
S1,P,P_north_band_share_35_45,precip,band_share,North rain-band share: North(35-45N)/Total(10-50N),north_gt_main,expected north-band positive relative to main-band,1665,417,417,0.1327519680898631,0.0463384217082542,0.8261941114874598,0.4446457114155191,True,0.566092448959808,0.08191540552909182,0.4086931529917355,4,0.4980946528265422,ok,0.9768298774013235,1.0,200,0.6604411904531093,0.6826283794090986,0.7430784599849736,1.0,0.7534497075366513,strong,low
S1,P,P_north_minus_main_35_45,precip,band_difference,North-band share minus main-band share,north_gt_main,expected north-band positive relative to main-band,1665,417,417,-0.2982416138600789,-0.5314182517012798,4.484076309712849,1.3953820940590618,True,0.9790372672441524,0.07435176909092056,0.7198436998416483,1,0.4980946528265422,ok,0.9904476980072336,1.0,200,1.0,0.6195980757576713,1.0,1.0,0.9239196151515343,strong,low
S1,P,P_total_centroid_lat_10_50,precip,position,Precipitation centroid latitude over 10-50N,north_gt_south,expected northern part positive relative to southern part,1665,417,417,28.206842553371644,24.227491798315786,4.476684867601805,1.426455186166761,True,0.9561318071461422,0.11494549948465103,0.6166871210785833,1,0.4980946528265422,ok,0.9896083200445384,1.0,200,1.0,0.957879162372092,1.0,1.0,0.9915758324744184,strong,low
S1,V,V_strength,v850,strength,Mean V over 10-30N,domain_mean_positive,expected domain-mean high-low composite to be positive,1665,417,417,2.84645891636142,0.8795601254731449,3.6949128875051427,2.19102178621183,True,0.7808351745096224,0.44688738872639155,0.9900635554301501,1,0.8438233944302964,ok,0.9933471564291715,1.0,200,1.0,1.0,1.0,1.0,1.0,strong,low
S1,V,V_pos_centroid_lat,v850,position,Positive-v850 centroid latitude over 10-30N,north_gt_south,expected northern part positive relative to southern part,1636,409,409,23.11402337934308,20.978163671798026,,,False,1.022906900841643,0.13474356865323178,0.8088742036896285,2,0.8377926122013178,ok,0.9966775602752072,1.0,200,0.7,1.0,1.0,1.0,0.895,strong,low
S1,V,V_NS_diff,v850,lat_difference,North minus south V: sum 15-30N minus sum 10-15N,north_gt_south_v,expected northern part positive relative to southern part,1665,417,417,197.86128445377423,76.28221621670937,,,False,0.9241323221659028,0.3741924912053149,0.9593124061147277,1,0.8438233944302964,ok,0.9950581690533857,1.0,200,0.7,1.0,1.0,1.0,0.895,strong,low
S1,H,H_strength,z500,strength,H/z500 core strength,domain_mean_positive,expected domain-mean high-low composite to be positive,1665,417,417,5893.943483095137,5876.895803580952,26.584648906618362,2.0895797132691665,True,0.40686799028160797,0.3916817047615997,0.7338814926779867,2,0.9583201882471059,ok,0.9708065112368579,1.0,200,1.0,1.0,1.0,1.0,1.0,strong,low
S1,H,H_centroid_lat,z500,position,Latitude centroid of H core,north_gt_south,expected northern part positive relative to southern part,1665,417,417,17.555885238326997,14.770471173618418,11.811889283404305,0.70214340636799,True,0.5379910905354033,0.19033633421932503,0.5358839151539624,2,0.9583201882471059,ok,0.9864356303453152,1.0,200,0.70214340636799,1.0,0.9743343911890224,1.0,0.8893337900260521,strong,low
S1,H,H_west_extent_lon,z500,extent,Western extent longitude of H core; direction is definition-sensitive,generic_pattern,"generic/boundary-sensitive index; use composite amplitude, not sign",1665,428,432,128.5,112.75,10.224605859463908,1.0,True,0.326985213187454,0.0354334414588468,0.4963995727535113,5,0.9583201882471059,ok,0.9721127669864074,1.0,200,1.0,0.29527867882372333,0.9025446777336569,1.0,0.834691905198159,strong,low
S1,H,H_zonal_width,z500,width,Zonal width of H core; boundary-sensitive,generic_pattern,"generic/boundary-sensitive index; use composite amplitude, not sign",1665,430,452,12.75,9.0,13.55306736112045,1.0,True,0.4334301665347766,0.014070748576675542,0.15458568239448164,1,0.9583201882471059,ok,0.9897358767547331,1.0,200,1.0,0.11725623813896285,0.2810648770808757,1.0,0.6437174668980115,moderate,low
S1,Je,Je_strength,u200,strength,Downstream jet strength,domain_mean_positive,expected domain-mean high-low composite to be positive,1665,417,417,54.84098811092001,42.822438493111456,9.079772967964084,0.7752551899954464,True,1.1472439233851803,0.253092832870905,0.7162863614043948,1,0.8978700358603174,ok,0.9971608177245674,1.0,200,0.7752551899954464,1.0,1.0,1.0,0.9213393164984063,strong,low
