task,window,index_name,seconds
input_audit,__pipeline__,__all__,0.006174
load_inputs,__pipeline__,__all__,13.257493
compute_metrics_total,__pipeline__,__all__,230.304827
build_guardrail_tables,__pipeline__,__all__,0.020291
compute_joint_family_coverage,__pipeline__,__all__,500.414025
plot_figures,__pipeline__,__all__,29.36259
index_metrics,S1,P_main_band_share,11.472944
index_metrics,S1,P_south_band_share_18_24,0.81
index_metrics,S1,P_main_minus_south,0.793368
index_metrics,S1,P_spread_lat,0.782791
index_metrics,S1,P_north_band_share_35_45,0.799936
index_metrics,S1,P_north_minus_main_35_45,0.803117
index_metrics,S1,P_total_centroid_lat_10_50,0.781917
index_metrics,S1,V_strength,3.159885
index_metrics,S1,V_pos_centroid_lat,2.251964
index_metrics,S1,V_NS_diff,0.439415
index_metrics,S1,H_strength,11.203914
index_metrics,S1,H_centroid_lat,0.903072
index_metrics,S1,H_west_extent_lon,0.908976
index_metrics,S1,H_zonal_width,0.919318
index_metrics,S1,Je_strength,11.33534
index_metrics,S1,Je_axis_lat,0.903501
index_metrics,S1,Je_meridional_width,1.113398
index_metrics,S1,Jw_strength,14.179864
index_metrics,S1,Jw_axis_lat,0.878464
index_metrics,S1,Jw_meridional_width,1.080529
window_metrics_total,S1,__all__,65.522848
index_metrics,T1,P_main_band_share,0.572012
index_metrics,T1,P_south_band_share_18_24,0.320511
index_metrics,T1,P_main_minus_south,0.310697
index_metrics,T1,P_spread_lat,0.31208
index_metrics,T1,P_north_band_share_35_45,0.317803
index_metrics,T1,P_north_minus_main_35_45,0.327441
index_metrics,T1,P_total_centroid_lat_10_50,0.299083
index_metrics,T1,V_strength,0.375839
index_metrics,T1,V_pos_centroid_lat,0.358465
index_metrics,T1,V_NS_diff,0.179508
index_metrics,T1,H_strength,0.623228
index_metrics,T1,H_centroid_lat,0.304869
index_metrics,T1,H_west_extent_lon,0.317661
index_metrics,T1,H_zonal_width,0.356112
index_metrics,T1,Je_strength,0.634826
index_metrics,T1,Je_axis_lat,0.344004
index_metrics,T1,Je_meridional_width,0.462853
index_metrics,T1,Jw_strength,0.592807
index_metrics,T1,Jw_axis_lat,0.335782
index_metrics,T1,Jw_meridional_width,0.478732
window_metrics_total,T1,__all__,7.825114
index_metrics,S2,P_main_band_share,4.886111
index_metrics,S2,P_south_band_share_18_24,0.609167
index_metrics,S2,P_main_minus_south,0.637017
