window,family,n_indices,indices,n_samples,joint_field_R2_in_sample,joint_field_R2_year_cv,joint_eof_coverage_top5_in_sample,joint_eof_coverage_top5_year_cv,joint_eof_coverage_top3_in_sample,joint_eof_coverage_top3_year_cv,best_single_index_R2,mean_single_index_R2,joint_gain_over_best_single,coverage_tier,collapse_risk_update,n_valid_gridpoints,n_cv_year_folds,eof_coverage_status,interpretation_guardrail
S1,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,1665,0.30113795521402975,0.26892500923045826,0.5566895075356281,0.5303741521300452,0.6063338758417769,0.583714009323037,0.11494549948465103,0.08419350055835072,0.1539795097458072,high_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S1,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,1636,0.6345238220580347,0.6231950439848629,0.7517847199158382,0.7432498833841911,0.8148705433912264,0.8081084670244834,0.44688738872639155,0.3186078161949794,0.17630765525847136,very_high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S1,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,1665,0.263700156483494,0.23476195003454303,0.2706425779442538,0.24162416284562466,0.26337905943079826,0.23385922922880087,0.3916817047615997,0.15788055725411176,-0.15691975472705666,moderate_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S1,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,1665,0.48094328160376676,0.4674971889617344,0.5349318701252535,0.5227883564667911,0.6030579689224116,0.5921783691895106,0.253092832870905,0.16553522630312173,0.21440435609082942,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S1,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,1665,0.2852938471027957,0.2673392530052655,0.3326492675233233,0.31486274422752947,0.4004812744008291,0.383533358734916,0.14752706624363243,0.09676168446611862,0.11981218676163308,moderate_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T1,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,405,0.3642589968467511,0.2762208671740438,0.6060851496880735,0.5451843723921777,0.7215712266537961,0.6774191499876646,0.14620450207508082,0.107283635569367,0.130016365098963,high_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T1,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,404,0.5259713706951977,0.4699906547679795,0.630107696524066,0.5813338056100746,0.6827987424876156,0.636898847827188,0.3352012052764624,0.2875226249097084,0.1347894494915171,high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T1,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,405,0.4254823559529459,0.363049442589894,0.4509687554731298,0.3912362895524612,0.4525916893144394,0.39211402621033253,0.3458342147849055,0.14632022623319216,0.01721522780498852,moderate_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T1,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,405,0.4425782413932198,0.3926365349379288,0.496309916263058,0.44791323140573724,0.5592578125142109,0.5152636685466954,0.280838348343066,0.14948574769108827,0.11179818659486285,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T1,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,405,0.28688776378404357,0.22431437811386357,0.33368548729171643,0.27226801121195704,0.3852662302517135,0.32388976956337956,0.152108766099193,0.09421280847371083,0.07220561201467057,moderate_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S2,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,1170,0.35071255760276066,0.31509497254512897,0.640043597219475,0.6171746378245765,0.7468010367240189,0.7297764004772437,0.10345769060423363,0.08506442813482729,0.21163728194089534,very_high_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S2,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,1169,0.484179808146865,0.4631672269546758,0.5953439997519958,0.5775025584765694,0.6501112808213912,0.6339160986647315,0.30008350253062177,0.2662527874767157,0.16308372442405406,high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
